ndex_id,name_english,name_german,name_french,name_spanish,name_italian,name_japanese,name_japanese_romanized,name_korean,name_korean_romanized,name_chinese_traditional,name_chinese_simplified,name_chinese_romanized,identifier
50,Diglett,Digda,Taupiqueur,Diglett,Diglett,ディグダ,Diguda,디그다,Digeuda,地鼠,地鼠,Dìshǔ,diglett
51,Dugtrio,Digdri,Triopikeur,Dugtrio,Dugtrio,ダグトリオ,Dagutorio,닥트리오,Dakteurio,三地鼠,三地鼠,Sāndìshǔ,dugtrio
52,Meowth,Mauzi,Miaouss,Meowth,Meowth,ニャース,Nyāsu,나옹,Naong,喵喵,喵喵,Miāomiāo,meowth
53,Persian,Snobilikat,Persian,Persian,Persian,ペルシアン,Perushian,페르시온,Pereusion,貓老大,猫老大,Māolǎodà,persian
54,Psyduck,Enton,Psykokwak,Psyduck,Psyduck,コダック,Kodakku,고라파덕,Gorapadeok,可達鴨,可达鸭,Kědáyā,psyduck
55,Golduck,Entoron,Akwakwak,Golduck,Golduck,ゴルダック,Gorudakku,골덕,Goldeok,哥達鴨,哥达鸭,Gēdáyā,golduck
56,Mankey,Menki,Férosinge,Mankey,Mankey,マンキー,Mankī,망키,Mangki,猴怪,猴怪,Hóuguài,mankey
57,Primeape,Rasaff,Colossinge,Primeape,Primeape,オコリザル,Okorizaru,성원숭,Seongwonsung,火爆猴,火暴猴,Huǒbàohóu,primeape
58,Growlithe,Fukano,Caninos,Growlithe,Growlithe,ガーディ,Gādi,가디,Gadi,卡蒂狗,卡蒂狗,Kǎdìgǒu,growlithe
59,Arcanine,Arkani,Arcanin,Arcanine,Arcanine,ウインディ,Uindi,윈디,Windi,風速狗,风速狗,Fēngsùgǒu,arcanine
60,Poliwag,Quapsel,Ptitard,Poliwag,Poliwag,ニョロモ,Nyoromo,발챙이,Balchaengi,蚊香蝌蚪,蚊香蝌蚪,Wénxiāngkēdǒu,poliwag
61,Poliwhirl,Quaputzi,Têtarte,Poliwhirl,Poliwhirl,ニョロゾ,Nyorozo,슈륙챙이,Syuryukchaengi,蚊香君,蚊香君,Wénxiāngjūn,poliwhirl
62,Poliwrath,Quappo,Tartard,Poliwrath,Poliwrath,ニョロボン,Nyorobon,강챙이,Gangchaengi,蚊香泳士,蚊香泳士,Wénxiāngyǒngshì,poliwrath
63,Abra,Abra,Abra,Abra,Abra,ケーシィ,Kēshī,캐이시,Kaeisi,凱西,凯西,Kǎixī,abra
64,Kadabra,Kadabra,Kadabra,Kadabra,Kadabra,ユンゲラー,Yungerā,윤겔라,Yungella,勇基拉,勇基拉,Yǒngjīlā,kadabra
65,Alakazam,Simsala,Alakazam,Alakazam,Alakazam,フーディン,Fūdin,후딘,Hudin,胡地,胡地,Húdì,alakazam
66,Machop,Machollo,Machoc,Machop,Machop,ワンリキー,Wanrikī,알통몬,Altongmon,腕力,腕力,Wànlì,machop
67,Machoke,Maschock,Machopeur,Machoke,Machoke,ゴーリキー,Gōrikī,근육몬,Geunyungmon,豪力,豪力,Háolì,machoke
68,Machamp,Machomei,Mackogneur,Machamp,Machamp,カイリキー,Kairikī,괴력몬,Goeryeongmon,怪力,怪力,Guàilì,machamp
69,Bellsprout,Knofensa,Chétiflor,Bellsprout,Bellsprout,マダツボミ,Madatsubomi,모다피,Modapi,喇叭芽,喇叭芽,Lǎbāyá,bellsprout
70,Weepinbell,Ultrigaria,Boustiflor,Weepinbell,Weepinbell,ウツドン,Utsudon,우츠동,Ucheudong,口呆花,口呆花,Kǒudāihuā,weepinbell
71,Victreebel,Sarzenia,Empiflor,Victreebel,Victreebel,ウツボット,Utsubotto,우츠보트,Ucheuboteu,大食花,大食花,Dàshíhuā,victreebel
72,Tentacool,Tentacha,Tentacool,Tentacool,Tentacool,メノクラゲ,Menokurage,왕눈해,Wangnunhae,瑪瑙水母,玛瑙水母,Mǎnǎoshuǐmǔ,tentacool
73,Tentacruel,Tentoxa,Tentacruel,Tentacruel,Tentacruel,ドククラゲ,Dokukurage,독파리,Dokpari,毒刺水母,毒刺水母,Dúcìshuǐmǔ,tentacruel
74,Geodude,Kleinstein,Racaillou,Geodude,Geodude,イシツブテ,Ishitsubute,꼬마돌,Kkomadol,小拳石,小拳石,Xiǎoquánshí,geodude
75,Graveler,Georok,Gravalanch,Graveler,Graveler,ゴローン,Gorōn,데구리,Deguri,隆隆石,隆隆石,Lónglóngshí,graveler
76,Golem,Geowaz,Grolem,Golem,Golem,ゴローニャ,Gorōnya,딱구리,Ttakguri,隆隆岩,隆隆岩,Lónglóngyán,golem
77,Ponyta,Ponita,Ponyta,Ponyta,Ponyta,ポニータ,Ponīta,포니타,Ponita,小火馬,小火马,Xiǎohuǒmǎ,ponyta
78,Rapidash,Gallopa,Galopa,Rapidash,Rapidash,ギャロップ,Gyaroppu,날쌩마,Nalssaengma,烈焰馬,烈焰马,Lièyànmǎ,rapidash
79,Slowpoke,Flegmon,Ramoloss,Slowpoke,Slowpoke,ヤドン,Yadon,야돈,Yadon,呆呆獸,呆呆兽,Dāidāishòu,slowpoke
80,Slowbro,Lahmus,Flagadoss,Slowbro,Slowbro,ヤドラン,Yadoran,야도란,Yadoran,呆殼獸,呆壳兽,Dāikéshòu,slowbro
81,Magnemite,Magnetilo,Magnéti,Magnemite,Magnemite,コイル,Koiru,코일,Koil,小磁怪,小磁怪,Xiǎocíguài,magnemite
82,Magneton,Magneton,Magnéton,Magneton,Magneton,レアコイル,Reakoiru,레어코일,Reeokoil,三合一磁怪,三合一磁怪,Sānhéyīcíguài,magneton
83,Farfetch'd,Porenta,Canarticho,Farfetch'd,Farfetch'd,カモネギ,Kamonegi,파오리,Paori,大蔥鴨,大葱鸭,Dàcōngyā,farfetchd
84,Doduo,Dodu,Doduo,Doduo,Doduo,ドードー,Dōdō,두두,Dudu,嘟嘟,嘟嘟,Dūdū,doduo
85,Dodrio,Dodri,Dodrio,Dodrio,Dodrio,ドードリオ,Dōdorio,두트리오,Duteurio,嘟嘟利,嘟嘟利,Dūdūlì,dodrio
86,Seel,Jurob,Otaria,Seel,Seel,パウワウ,Pauwau,쥬쥬,Jyujyu,小海獅,小海狮,Xiǎohǎishī,seel
87,Dewgong,Jugong,Lamantine,Dewgong,Dewgong,ジュゴン,Jugon,쥬레곤,Jyuregon,白海獅,白海狮,Báihǎishī,dewgong
88,Grimer,Sleima,Tadmorv,Grimer,Grimer,ベトベター,Betobetā,질퍽이,Jilpeogi,臭泥,臭泥,Chòuní,grimer
89,Muk,Sleimok,Grotadmorv,Muk,Muk,ベトベトン,Betobeton,질뻐기,Jilppeogi,臭臭泥,臭臭泥,Chòuchòuní,muk
90,Shellder,Muschas,Kokiyas,Shellder,Shellder,シェルダー,Sherudā,셀러,Selleo,大舌貝,大舌贝,Dàshébèi,shellder
91,Cloyster,Austos,Crustabri,Cloyster,Cloyster,パルシェン,Parushen,파르셀,Pareusel,刺甲貝,刺甲贝,Cìjiǎbèi,cloyster
92,Gastly,Nebulak,Fantominus,Gastly,Gastly,ゴース,Gōsu,고오스,Gooseu,鬼斯,鬼斯,Guǐsī,gastly
93,Haunter,Alpollo,Spectrum,Haunter,Haunter,ゴースト,Gōsuto,고우스트,Gouseuteu,鬼斯通,鬼斯通,Guǐsītōng,haunter
94,Gengar,Gengar,Ectoplasma,Gengar,Gengar,ゲンガー,Gengā,팬텀,Paenteom,耿鬼,耿鬼,Gěngguǐ,gengar
95,Onix,Onix,Onix,Onix,Onix,イワーク,Iwāku,롱스톤,Rongseuton,大岩蛇,大岩蛇,Dàyánshé,onix
96,Drowzee,Traumato,Soporifik,Drowzee,Drowzee,スリープ,Surīpu,슬리프,Seullipeu,催眠貘,催眠貘,Cuīmiánmò,drowzee
97,Hypno,Hypno,Hypnomade,Hypno,Hypno,スリーパー,Surīpā,슬리퍼,Seullipeo,引夢貘人,引梦貘人,Yǐnmèngmòrén,hypno
98,Krabby,Krabby,Krabby,Krabby,Krabby,クラブ,Kurabu,크랩,Keuraep,大鉗蟹,大钳蟹,Dàqiánxiè,krabby
99,Kingler,Kingler,Krabboss,Kingler,Kingler,キングラー,Kingurā,킹크랩,Kingkeuraep,巨鉗蟹,巨钳蟹,Jùqiánxiè,kingler
100,Voltorb,Voltobal,Voltorbe,Voltorb,Voltorb,ビリリダマ,Biriridama,찌리리공,Jjiririgong,霹靂電球,霹雳电球,Pīlìdiànqiú,voltorb
101,Electrode,Lektrobal,Électrode,Electrode,Electrode,マルマイン,Marumain,붐볼,Bumbol,頑皮雷彈,顽皮雷弹,Wánpíléidàn,electrode
102,Exeggcute,Owei,Noeunoeuf,Exeggcute,Exeggcute,タマタマ,Tamatama,아라리,Arari,蛋蛋,蛋蛋,Dàndàn,exeggcute
103,Exeggutor,Kokowei,Noadkoko,Exeggutor,Exeggutor,ナッシー,Nasshī,나시,Nasi,椰蛋樹,椰蛋树,Yédànshù,exeggutor
104,Cubone,Tragosso,Osselait,Cubone,Cubone,カラカラ,Karakara,탕구리,Tangguri,卡拉卡拉,卡拉卡拉,Kǎlākǎlā,cubone
105,Marowak,Knogga,Ossatueur,Marowak,Marowak,ガラガラ,Garagara,텅구리,Teongguri,嘎啦嘎啦,嘎啦嘎啦,Gālagāla,marowak
106,Hitmonlee,Kicklee,Kicklee,Hitmonlee,Hitmonlee,サワムラー,Sawamurā,시라소몬,Sirasomon,飛腿郎,飞腿郎,Fēituǐláng,hitmonlee
107,Hitmonchan,Nockchan,Tygnon,Hitmonchan,Hitmonchan,エビワラー,Ebiwarā,홍수몬,Hongsumon,快拳郎,快拳郎,Kuàiquánláng,hitmonchan
108,Lickitung,Schlurp,Excelangue,Lickitung,Lickitung,ベロリンガ,Beroringa,내루미,Naerumi,大舌頭,大舌头,Dàshétóu,lickitung
109,Koffing,Smogon,Smogo,Koffing,Koffing,ドガース,Dogāsu,또가스,Ttogaseu,瓦斯彈,瓦斯弹,Wǎsīdàn,koffing
110,Weezing,Smogmog,Smogogo,Weezing,Weezing,マタドガス,Matadogasu,또도가스,Ttodogaseu,雙彈瓦斯,双弹瓦斯,Shuāngdànwǎsī,weezing
111,Rhyhorn,Rihorn,Rhinocorne,Rhyhorn,Rhyhorn,サイホーン,Saihōn,뿔카노,Ppulkano,獨角犀牛,独角犀牛,Dújiǎoxīniú,rhyhorn
112,Rhydon,Rizeros,Rhinoféros,Rhydon,Rhydon,サイドン,Saidon,코뿌리,Koppuri,鑽角犀獸,钻角犀兽,Zuànjiǎoxīshòu,rhydon
113,Chansey,Chaneira,Leveinard,Chansey,Chansey,ラッキー,Rakkī,럭키,Reokki,吉利蛋,吉利蛋,Jílìdàn,chansey
114,Tangela,Tangela,Saquedeneu,Tangela,Tangela,モンジャラ,Monjara,덩쿠리,Deongkuri,蔓藤怪,蔓藤怪,Mànténgguài,tangela
115,Kangaskhan,Kangama,Kangourex,Kangaskhan,Kangaskhan,ガルーラ,Garūra,캥카,Kaengka,袋獸,袋兽,Dàishòu,kangaskhan
116,Horsea,Seeper,Hypotrempe,Horsea,Horsea,タッツー,Tattsū,쏘드라,Ssodeura,墨海馬,墨海马,Mòhǎimǎ,horsea
117,Seadra,Seemon,Hypocéan,Seadra,Seadra,シードラ,Shīdora,시드라,Sideura,海刺龍,海刺龙,Hǎicìlóng,seadra
118,Goldeen,Goldini,Poissirène,Goldeen,Goldeen,トサキント,Tosakinto,콘치,Konchi,角金魚,角金鱼,Jiǎojīnyú,goldeen
119,Seaking,Golking,Poissoroy,Seaking,Seaking,アズマオウ,Azumaō,왕콘치,Wangkonchi,金魚王,金鱼王,Jīnyúwáng,seaking
120,Staryu,Sterndu,Stari,Staryu,Staryu,ヒトデマン,Hitodeman,별가사리,Byeolgasari,海星星,海星星,Hǎixīngxīng,staryu
121,Starmie,Starmie,Staross,Starmie,Starmie,スターミー,Sutāmī,아쿠스타,Akuseuta,寶石海星,宝石海星,Bǎoshíhǎixīng,starmie
122,Mr. Mime,Pantimos,M. Mime,Mr. Mime,Mr. Mime,バリヤード,Bariyādo,마임맨,Maimmaen,魔牆人偶,魔墙人偶,Móqiángrénǒu,mr-mime
123,Scyther,Sichlor,Insécateur,Scyther,Scyther,ストライク,Sutoraiku,스라크,Seurakeu,飛天螳螂,飞天螳螂,Fēitiāntángláng,scyther
124,Jynx,Rossana,Lippoutou,Jynx,Jynx,ルージュラ,Rūjura,루주라,Rujura,迷唇姐,迷唇姐,Míchúnjiě,jynx
125,Electabuzz,Elektek,Élektek,Electabuzz,Electabuzz,エレブー,Erebū,에레브,Erebeu,電擊獸,电击兽,Diànjíshòu,electabuzz
126,Magmar,Magmar,Magmar,Magmar,Magmar,ブーバー,Būbā,마그마,Mageuma,鴨嘴火獸,鸭嘴火兽,Yāzuǐhuǒshòu,magmar
127,Pinsir,Pinsir,Scarabrute,Pinsir,Pinsir,カイロス,Kairosu,쁘사이저,Ppeusaijeo,凱羅斯,凯罗斯,Kǎiluósī,pinsir
128,Tauros,Tauros,Tauros,Tauros,Tauros,ケンタロス,Kentarosu,켄타로스,Kentaroseu,肯泰羅,肯泰罗,Kěntàiluó,tauros
129,Magikarp,Karpador,Magicarpe,Magikarp,Magikarp,コイキング,Koikingu,잉어킹,Ingeoking,鯉魚王,鲤鱼王,Lǐyúwáng,magikarp
130,Gyarados,Garados,Léviator,Gyarados,Gyarados,ギャラドス,Gyaradosu,갸라도스,Gyaradoseu,暴鯉龍,暴鲤龙,Bàolǐlóng,gyarados
131,Lapras,Lapras,Lokhlass,Lapras,Lapras,ラプラス,Rapurasu,라프라스,Rapeuraseu,拉普拉斯,拉普拉斯,Lāpǔlāsī,lapras
132,Ditto,Ditto,Métamorph,Ditto,Ditto,メタモン,Metamon,메타몽,Metamong,百變怪,百变怪,Bǎibiànguài,ditto
133,Eevee,Evoli,Évoli,Eevee,Eevee,イーブイ,Ībui,이브이,Ibeui,伊布,伊布,Yībù,eevee
134,Vaporeon,Aquana,Aquali,Vaporeon,Vaporeon,シャワーズ,Shawāzu,샤미드,Syamideu,水伊布,水伊布,Shuǐyībù,vaporeon
135,Jolteon,Blitza,Voltali,Jolteon,Jolteon,サンダース,Sandāsu,쥬피썬더,Jyupisseondeo,雷伊布,雷伊布,Léiyībù,jolteon
136,Flareon,Flamara,Pyroli,Flareon,Flareon,ブースター,Būsutā,부스터,Buseuteo,火伊布,火伊布,Huǒyībù,flareon
137,Porygon,Porygon,Porygon,Porygon,Porygon,ポリゴン,Porigon,폴리곤,Polligon,多邊獸,多边兽,Duōbiānshòu,porygon
138,Omanyte,Amonitas,Amonita,Omanyte,Omanyte,オムナイト,Omunaito,암나이트,Amnaiteu,菊石獸,菊石兽,Júshíshòu,omanyte
139,Omastar,Amoroso,Amonistar,Omastar,Omastar,オムスター,Omusutā,암스타,Amseuta,多刺菊石獸,多刺菊石兽,Duōcìjúshíshòu,omastar
140,Kabuto,Kabuto,Kabuto,Kabuto,Kabuto,カブト,Kabuto,투구,Tugu,化石盔,化石盔,Huàshíkuī,kabuto
141,Kabutops,Kabutops,Kabutops,Kabutops,Kabutops,カブトプス,Kabutopusu,투구푸스,Tugupuseu,鐮刀盔,镰刀盔,Liándāokuī,kabutops
142,Aerodactyl,Aerodactyl,Ptéra,Aerodactyl,Aerodactyl,プテラ,Putera,프테라,Peutera,化石翼龍,化石翼龙,Huàshíyìlóng,aerodactyl
143,Snorlax,Relaxo,Ronflex,Snorlax,Snorlax,カビゴン,Kabigon,잠만보,Jammanbo,卡比獸,卡比兽,Kǎbǐshòu,snorlax
144,Articuno,Arktos,Artikodin,Articuno,Articuno,フリーザー,Furīzā,프리져,Peurijyeo,急凍鳥,急冻鸟,Jídòngniǎo,articuno
145,Zapdos,Zapdos,Électhor,Zapdos,Zapdos,サンダー,Sandā,썬더,Sseondeo,閃電鳥,闪电鸟,Shǎndiànniǎo,zapdos
146,Moltres,Lavados,Sulfura,Moltres,Moltres,ファイヤー,Faiyā,파이어,Paieo,火焰鳥,火焰鸟,Huǒyànniǎo,moltres
147,Dratini,Dratini,Minidraco,Dratini,Dratini,ミニリュウ,Miniryū,미뇽,Minyong,迷你龍,迷你龙,Mínǐlóng,dratini
148,Dragonair,Dragonir,Draco,Dragonair,Dragonair,ハクリュー,Hakuryū,신뇽,Sinnyong,哈克龍,哈克龙,Hākèlóng,dragonair
149,Dragonite,Dragoran,Dracolosse,Dragonite,Dragonite,カイリュー,Kairyū,망나뇽,Mangnanyong,快龍,快龙,Kuàilóng,dragonite
150,Mewtwo,Mewtu,Mewtwo,Mewtwo,Mewtwo,ミュウツー,Myūtsū,뮤츠,Myucheu,超夢,超梦,Chāomèng,mewtwo
151,Mew,Mew,Mew,Mew,Mew,ミュウ,Myū,뮤,Myu,夢幻,梦幻,Mènghuàn,mew
152,Chikorita,Endivie,Germignon,Chikorita,Chikorita,チコリータ,Chikorīta,치코리타,Chikorita,菊草葉,菊草叶,Júcǎoyè,chikorita
153,Bayleef,Lorblatt,Macronium,Bayleef,Bayleef,ベイリーフ,Beirīfu,베이리프,Beiripeu,月桂葉,月桂叶,Yuèguìyè,bayleef
154,Meganium,Meganie,Méganium,Meganium,Meganium,メガニウム,Meganiumu,메가니움,Meganium,大竺葵,大竺葵,Dàzhúkuí,meganium
155,Cyndaquil,Feurigel,Héricendre,Cyndaquil,Cyndaquil,ヒノアラシ,Hinoarashi,브케인,Beukein,火球鼠,火球鼠,Huǒqiúshǔ,cyndaquil
156,Quilava,Igelavar,Feurisson,Quilava,Quilava,マグマラシ,Magumarashi,마그케인,Mageukein,火岩鼠,火岩鼠,Huǒyánshǔ,quilava
157,Typhlosion,Tornupto,Typhlosion,Typhlosion,Typhlosion,バクフーン,Bakufūn,블레이범,Beulleibeom,火爆獸,火暴兽,Huǒbàoshòu,typhlosion
158,Totodile,Karnimani,Kaiminus,Totodile,Totodile,ワニノコ,Waninoko,리아코,Riako,小鋸鱷,小锯鳄,Xiǎojù'è,totodile
159,Croconaw,Tyracroc,Crocrodil,Croconaw,Croconaw,アリゲイツ,Arigeitsu,엘리게이,Elligei,藍鱷,蓝鳄,Lán'è,croconaw
160,Feraligatr,Impergator,Aligatueur,Feraligatr,Feraligatr,オーダイル,Ōdairu,장크로다일,Jangkeurodail,大力鱷,大力鳄,Dàlì'è,feraligatr
161,Sentret,Wiesor,Fouinette,Sentret,Sentret,オタチ,Otachi,꼬리선,Kkoriseon,尾立,尾立,Wěilì,sentret
162,Furret,Wiesenior,Fouinar,Furret,Furret,オオタチ,Ōtachi,다꼬리,Dakkori,大尾立,大尾立,Dàwěilì,furret
163,Hoothoot,Hoothoot,Hoothoot,Hoothoot,Hoothoot,ホーホー,Hōhō,부우부,Buubu,咕咕,咕咕,Gūgū,hoothoot
164,Noctowl,Noctuh,Noarfang,Noctowl,Noctowl,ヨルノズク,Yorunozuku,야부엉,Yabueong,貓頭夜鷹,猫头夜鹰,Māotóuyèyīng,noctowl
165,Ledyba,Ledyba,Coxy,Ledyba,Ledyba,レディバ,Rediba,레디바,Rediba,芭瓢蟲,芭瓢虫,Bāpiáochóng,ledyba
166,Ledian,Ledian,Coxyclaque,Ledian,Ledian,レディアン,Redian,레디안,Redian,安瓢蟲,安瓢虫,Ānpiáochóng,ledian
167,Spinarak,Webarak,Mimigal,Spinarak,Spinarak,イトマル,Itomaru,페이검,Peigeom,圓絲蛛,圆丝蛛,Yuánsīzhū,spinarak
168,Ariados,Ariados,Migalos,Ariados,Ariados,アリアドス,Ariadosu,아리아도스,Ariadoseu,阿利多斯,阿利多斯,Ālìduōsī,ariados
