id,generation_id,percentage_male,catch_rate,base_friendship_gen3_7,base_friendship_gen8,hatch_time_cycles,leveling_rate_id
142,1,87.5,45,70,50,35,5
143,1,87.5,25,70,50,40,5
144,1,???,3,35,35,80,5
145,1,???,3,35,35,80,5
146,1,???,3,35,35,80,5
147,1,50,45,35,35,45,5
148,1,50,45,35,35,40,5
149,1,50,45,35,35,40,5
150,1,???,3,0,0,120,5
151,1,???,45,100,100,120,4
152,2,87.5,45,70,50,20,4
153,2,87.5,45,70,50,20,4
154,2,87.5,45,70,50,20,4
155,2,87.5,45,70,50,20,4
156,2,87.5,45,70,50,20,4
157,2,87.5,45,70,50,20,4
158,2,87.5,45,70,50,20,4
159,2,87.5,45,70,50,20,4
160,2,87.5,45,70,50,20,4
161,2,50,255,70,50,15,3
162,2,50,90,70,50,15,3
163,2,50,255,70,50,15,3
164,2,50,90,70,50,15,3
165,2,50,255,70,50,15,2
166,2,50,90,70,50,15,2
167,2,50,255,70,50,15,2
168,2,50,90,70,50,15,2
169,2,50,90,70,50,15,3
170,2,50,190,70,50,20,5
171,2,50,75,70,50,20,5
172,2,50,190,70,50,10,3
173,2,25,150,140,140,10,2
174,2,25,170,70,50,10,2
175,2,87.5,190,70,50,10,2
176,2,87.5,75,70,50,10,2
177,2,50,190,70,50,20,3
178,2,50,75,70,50,20,3
179,2,50,235,70,50,20,4
180,2,50,120,70,50,20,4
181,2,50,45,70,50,20,4
182,2,50,45,70,50,20,4
183,2,50,190,70,50,10,2
184,2,50,75,70,50,10,2
185,2,50,65,70,50,20,3
186,2,50,45,70,50,20,4
187,2,50,255,70,50,20,4
188,2,50,120,70,50,20,4
189,2,50,45,70,50,20,4
190,2,50,45,70,50,20,2
191,2,50,235,70,50,20,4
192,2,50,120,70,50,20,4
193,2,50,75,70,50,20,3
194,2,50,255,70,50,20,3
195,2,50,90,70,50,20,3
196,2,87.5,45,70,50,35,3
197,2,87.5,45,35,35,35,3
198,2,50,30,35,35,20,4
199,2,50,70,70,50,20,3
200,2,50,45,35,35,25,2
201,2,???,225,70,50,40,3
202,2,50,45,70,50,20,3
203,2,50,60,70,50,20,3
204,2,50,190,70,50,20,3
205,2,50,75,70,50,20,3
206,2,50,190,70,50,20,3
207,2,50,60,70,50,20,4
208,2,50,25,70,50,25,3
209,2,25,190,70,50,20,2
210,2,25,75,70,50,20,2
211,2,50,45,70,50,20,3
212,2,50,25,70,50,25,3
213,2,50,190,70,50,20,4
214,2,50,45,70,50,25,5
215,2,50,60,35,35,20,4
216,2,50,120,70,50,20,3
217,2,50,60,70,50,20,3
218,2,50,190,70,50,20,3
219,2,50,75,70,50,20,3
220,2,50,225,70,50,20,5
221,2,50,75,70,50,20,5
222,2,25,60,70,50,20,2
223,2,50,190,70,50,20,3
224,2,50,75,70,50,20,3
225,2,50,45,70,50,20,2
226,2,50,25,70,50,25,5
227,2,50,25,70,50,25,5
228,2,50,120,35,35,20,5
229,2,50,45,35,35,20,5
230,2,50,45,70,50,20,3
231,2,50,120,70,50,20,3
232,2,50,60,70,50,20,3
233,2,???,45,70,50,20,3
234,2,50,45,70,50,20,5
235,2,50,45,70,50,20,2
236,2,100,75,70,50,25,3
237,2,100,45,70,50,25,3
238,2,0,45,70,50,25,3
239,2,75,45,70,50,25,3
240,2,75,45,70,50,25,3
241,2,0,45,70,50,20,5
242,2,0,30,140,140,40,2
243,2,???,3,35,35,80,5
244,2,???,3,35,35,80,5
245,2,???,3,35,35,80,5
246,2,50,45,35,35,40,5
247,2,50,45,35,35,40,5
248,2,50,45,35,35,40,5
249,2,???,3,0,0,120,5
250,2,???,3,0,0,120,5
251,2,???,45,100,100,120,4
252,3,87.5,45,70,50,20,4
253,3,87.5,45,70,50,20,4
254,3,87.5,45,70,50,20,4
255,3,87.5,45,70,50,20,4
256,3,87.5,45,70,50,20,4
257,3,87.5,45,70,50,20,4
258,3,87.5,45,70,50,20,4
259,3,87.5,45,70,50,20,4
260,3,87.5,45,70,50,20,4
261,3,50,255,70,50,15,3
262,3,50,127,70,50,15,3
263,3,50,255,70,50,15,3
264,3,50,90,70,50,15,3
265,3,50,255,70,50,15,3
266,3,50,120,70,50,15,3
267,3,50,45,70,50,15,3
268,3,50,120,70,50,15,3
269,3,50,45,70,50,15,3
270,3,50,255,70,50,15,4
271,3,50,120,70,50,15,4
272,3,50,45,70,50,15,4
273,3,50,255,70,50,15,4
274,3,50,120,70,50,15,4
275,3,50,45,70,50,15,4
276,3,50,200,70,50,15,4
277,3,50,45,70,50,15,4
278,3,50,190,70,50,20,3
279,3,50,45,70,50,20,3
280,3,50,235,35,35,20,5
281,3,50,120,35,35,20,5
282,3,50,45,35,35,20,5
283,3,50,200,70,50,15,3
284,3,50,75,70,50,15,3
285,3,50,255,70,50,15,6
286,3,50,90,70,50,15,6
287,3,50,255,70,50,15,5
288,3,50,120,70,50,15,5
289,3,50,45,70,50,15,5
290,3,50,255,70,50,15,1
291,3,50,120,70,50,15,1
292,3,???,45,70,50,15,1
293,3,50,190,70,50,20,4
294,3,50,120,70,50,20,4
295,3,50,45,70,50,20,4
296,3,75,180,70,50,20,6
297,3,75,200,70,50,20,6
298,3,25,150,70,50,10,2
299,3,50,255,70,50,20,3
300,3,25,255,70,50,15,2
301,3,25,60,70,50,15,2
302,3,50,45,35,35,25,4
303,3,50,45,70,50,20,2
304,3,50,180,35,35,35,5
305,3,50,90,35,35,35,5
306,3,50,45,35,35,35,5
307,3,50,180,70,50,20,3
308,3,50,90,70,50,20,3
309,3,50,120,70,50,20,5
310,3,50,45,70,50,20,5
311,3,50,200,70,50,20,3
312,3,50,200,70,50,20,3
313,3,100,150,70,50,15,1
314,3,0,150,70,50,15,6
315,3,50,150,70,50,20,4
316,3,50,225,70,50,20,6
317,3,50,75,70,50,20,6
318,3,50,225,35,35,20,5
319,3,50,60,35,35,20,5
320,3,50,125,70,50,40,6
321,3,50,60,70,50,40,6
322,3,50,255,70,50,20,3
323,3,50,150,70,50,20,3
324,3,50,90,70,50,20,3
325,3,50,255,70,50,20,2
326,3,50,60,70,50,20,2
327,3,50,255,70,50,15,2
328,3,50,255,70,50,20,4
329,3,50,120,70,50,20,4
330,3,50,45,70,50,20,4
331,3,50,190,35,35,20,4
332,3,50,60,35,35,20,4
333,3,50,255,70,50,20,1
334,3,50,45,70,50,20,1
335,3,50,90,70,50,20,1
336,3,50,90,70,50,20,6
337,3,???,45,70,50,25,2
338,3,???,45,70,50,25,2
339,3,50,190,70,50,20,3
340,3,50,75,70,50,20,3
341,3,50,205,70,50,15,6
342,3,50,155,70,50,15,6
343,3,???,255,70,50,20,3
344,3,???,90,70,50,20,3
345,3,87.5,45,70,50,30,1
346,3,87.5,45,70,50,30,1
347,3,87.5,45,70,50,30,1
348,3,87.5,45,70,50,30,1
349,3,50,255,70,50,20,1
350,3,50,60,70,50,20,1
351,3,50,45,70,50,25,3
352,3,50,200,70,50,20,4
353,3,50,225,35,35,25,2
354,3,50,45,35,35,25,2
355,3,50,190,35,35,25,2
356,3,50,90,35,35,25,2
357,3,50,200,70,50,25,5
358,3,50,45,70,50,25,2
359,3,50,30,35,35,25,4
360,3,50,125,70,50,20,3
361,3,50,190,70,50,20,3
362,3,50,75,70,50,20,3
363,3,50,255,70,50,20,4
364,3,50,120,70,50,20,4
365,3,50,45,70,50,20,4
366,3,50,255,70,50,20,1
367,3,50,60,70,50,20,1
368,3,50,60,70,50,20,1
369,3,87.5,25,70,50,40,5
370,3,25,225,70,50,20,2
371,3,50,45,35,35,40,5
372,3,50,45,35,35,40,5
373,3,50,45,35,35,40,5
374,3,???,3,35,35,40,5
375,3,???,3,35,35,40,5
376,3,???,3,35,35,40,5
377,3,???,3,35,35,80,5
378,3,???,3,35,35,80,5
379,3,???,3,35,35,80,5
380,3,0,3,90,90,120,5
381,3,100,3,90,90,120,5
382,3,???,3,0,0,120,5
383,3,???,3,0,0,120,5
384,3,???,45,0,0,120,5
385,3,???,3,100,100,120,5
386,3,???,3,0,0,120,5
387,4,87.5,45,70,50,20,4
388,4,87.5,45,70,50,20,4
389,4,87.5,45,70,50,20,4
390,4,87.5,45,70,50,20,4
391,4,87.5,45,70,50,20,4
392,4,87.5,45,70,50,20,4
393,4,87.5,45,70,50,20,4
394,4,87.5,45,70,50,20,4
395,4,87.5,45,70,50,20,4
396,4,50,255,70,50,15,4
397,4,50,120,70,50,15,4
398,4,50,45,70,50,15,4
399,4,50,255,70,50,15,3
400,4,50,127,70,50,15,3
401,4,50,255,70,50,15,4
402,4,50,45,70,50,15,4
403,4,50,235,70,50,20,4
404,4,50,120,100,100,20,4
405,4,50,45,70,50,20,4
406,4,50,255,70,50,20,4
407,4,50,75,70,50,20,4
408,4,87.5,45,70,50,30,1
409,4,87.5,45,70,50,30,1
410,4,87.5,45,70,50,30,1
411,4,87.5,45,70,50,30,1
412,4,50,120,70,50,15,3
413,4,0,45,70,50,15,3
414,4,100,45,70,50,15,3
415,4,87.5,120,70,50,15,4
416,4,0,45,70,50,15,4
417,4,50,200,100,100,10,3
418,4,50,190,70,50,20,3
419,4,50,75,70,50,20,3
420,4,20,190,70,50,20,3
421,4,50,75,70,50,20,3
422,4,50,190,70,50,20,3
423,4,50,75,70,50,20,3
424,4,50,45,100,100,45,2
425,4,50,125,70,50,30,6
426,4,50,60,70,50,30,6
427,4,50,190,0,0,20,3
428,4,50,60,140,140,20,3
429,4,50,45,35,35,25,2
430,4,50,30,35,35,20,4
431,4,25,190,70,50,20,2
432,4,25,75,70,50,20,2
433,4,50,120,70,50,25,2
434,4,50,225,70,50,20,3
435,4,50,60,70,50,20,3
436,4,???,255,70,50,20,3
437,4,???,90,70,50,20,3
438,4,50,255,70,50,20,3
439,4,50,145,70,50,25,3
440,4,???,130,140,140,40,2
441,4,50,30,35,35,20,4
442,4,50,100,70,50,30,4
443,4,50,45,70,50,40,5
444,4,50,45,70,50,40,5
445,4,50,45,70,50,40,5
446,4,87.5,50,70,50,40,5
447,4,87.5,75,70,50,25,4
448,4,87.5,45,70,50,25,4
449,4,50,140,70,50,30,5
450,4,50,60,70,50,30,5
451,4,50,120,70,50,20,5
452,4,50,45,70,50,20,5
453,4,50,140,100,100,10,3
454,4,50,75,70,50,20,3
455,4,50,200,70,50,25,5
456,4,50,190,70,50,20,1
457,4,50,75,70,50,20,1
458,4,50,25,70,50,25,5
459,4,50,120,70,50,20,5
460,4,50,60,70,50,20,5
461,4,50,45,35,35,20,4
462,4,???,30,70,50,20,3
463,4,50,30,70,50,20,3
464,4,50,30,70,50,20,5
465,4,50,30,70,50,20,3
466,4,75,30,70,50,20,3
467,4,75,30,70,50,25,3
468,4,87.5,30,70,50,10,2
469,4,50,30,70,50,20,3
470,4,87.5,45,35,35,35,3
471,4,87.5,45,35,35,35,3
472,4,50,30,70,50,20,4
473,4,50,50,70,50,20,5
474,4,???,30,70,50,20,3
475,4,100,45,35,35,20,5
476,4,50,60,70,50,20,3
477,4,50,45,35,35,25,2
478,4,0,75,70,50,20,3
479,4,???,45,70,50,20,3
480,4,???,3,140,140,80,5
481,4,???,3,140,140,80,5
482,4,???,3,140,140,80,5
483,4,???,3,0,0,120,5
484,4,???,3,0,0,120,5
485,4,50,3,100,100,10,5
486,4,???,3,0,0,120,5
487,4,???,3,0,0,120,5
488,4,???,3,100,100,120,5
489,4,???,30,70,50,40,5
490,4,???,3,70,50,10,5
491,4,???,3,0,0,120,5
492,4,???,45,100,100,120,4
493,4,???,3,0,0,120,5
494,5,???,3,100,100,120,5
495,5,87.5,45,70,50,20,4
496,5,87.5,45,70,50,20,4
497,5,87.5,45,70,50,20,4
498,5,87.5,45,70,50,20,4
499,5,87.5,45,70,50,20,4
500,5,87.5,45,70,50,20,4
501,5,87.5,45,70,50,20,4
502,5,87.5,45,70,50,20,4
503,5,87.5,45,70,50,20,4
504,5,50,255,70,50,15,4
505,5,50,255,70,50,20,3
506,5,50,255,70,50,15,4
507,5,50,120,70,50,15,4
508,5,50,45,70,50,15,4
509,5,50,255,70,50,20,3
510,5,50,90,70,50,20,3
511,5,87.5,190,70,50,20,3
512,5,87.5,75,70,50,20,3
513,5,87.5,190,70,50,20,3
514,5,87.5,75,70,50,20,3
515,5,87.5,190,70,50,20,3
516,5,87.5,75,70,50,20,3
517,5,50,190,70,50,10,2
518,5,50,75,70,50,10,2
519,5,50,255,70,50,15,4
520,5,50,120,70,50,15,4
521,5,50,45,70,50,15,4
522,5,50,190,70,50,20,3
523,5,50,75,70,50,20,3
524,5,50,255,70,50,15,4
525,5,50,120,70,50,15,4
526,5,50,45,70,50,15,4
527,5,50,190,70,50,15,3
528,5,50,45,70,50,15,3
529,5,50,120,70,50,20,3
530,5,50,60,70,50,20,3
531,5,20,255,70,50,20,2
532,5,75,180,70,70,20,4
533,5,75,90,70,50,20,4
534,5,75,45,70,50,20,4
535,5,50,255,70,50,20,4
536,5,50,120,70,50,20,4
537,5,50,45,70,50,20,4
538,5,100,45,70,50,20,3
539,5,100,45,70,50,20,3
540,5,50,255,70,50,15,4
541,5,50,120,70,50,15,4
542,5,50,45,70,50,15,4
543,5,50,255,70,50,15,4
544,5,50,120,70,50,15,4
545,5,50,45,70,50,20,4
546,5,50,190,70,50,20,3
547,5,50,75,70,50,20,3
548,5,0,190,70,50,20,3
549,5,0,75,70,50,20,3
550,5,50,190,70,50,40,3
551,5,50,180,70,50,20,4
552,5,50,90,70,50,20,4
553,5,50,45,70,50,20,4
554,5,50,120,70,50,20,4
555,5,50,60,70,50,20,4
556,5,50,255,70,50,20,3
557,5,50,190,70,50,20,3
558,5,50,75,70,50,20,3
559,5,50,180,35,35,15,3
560,5,50,90,70,50,15,3
561,5,50,45,70,50,20,3
562,5,50,190,70,50,25,3
563,5,50,90,70,50,25,3
564,5,87.5,45,70,50,30,3
565,5,87.5,45,70,50,30,3
566,5,87.5,45,70,50,30,3
567,5,87.5,45,70,50,30,3
568,5,50,190,70,50,20,3
569,5,50,60,70,50,20,3
570,5,87.5,75,70,50,25,4
571,5,87.5,45,70,50,20,4
572,5,25,255,70,50,15,2
573,5,25,60,70,50,15,2
574,5,25,200,70,50,20,4
575,5,25,100,70,50,20,4
576,5,25,50,70,50,20,4
577,5,50,200,70,50,20,4
578,5,50,100,70,50,20,4
579,5,50,50,70,50,20,4
580,5,50,190,70,50,20,3
581,5,50,45,70,50,20,3
582,5,50,255,70,50,20,5
583,5,50,120,70,50,20,5
584,5,50,45,70,50,20,5
585,5,50,190,70,50,20,3
586,5,50,75,70,50,20,3
587,5,50,200,70,50,20,3
588,5,50,200,70,50,15,3
589,5,50,75,70,50,15,3
590,5,50,190,70,50,20,3
591,5,50,75,70,50,20,3
592,5,50,190,70,50,20,3
593,5,50,60,70,50,20,3
594,5,50,75,70,50,40,2
595,5,50,190,70,50,20,3
596,5,50,75,70,50,20,3
597,5,50,255,70,50,20,3
598,5,50,90,70,50,20,3
599,5,???,130,70,50,20,4
600,5,???,60,70,50,20,4
601,5,???,30,70,50,20,4
602,5,50,190,70,50,20,5
603,5,50,60,70,50,20,5
604,5,50,30,70,50,20,5
605,5,50,255,70,50,20,3
606,5,50,90,70,50,20,3
607,5,50,190,70,50,20,4
608,5,50,90,70,50,20,4
609,5,50,45,70,50,20,4
610,5,50,75,35,35,40,5
611,5,50,60,35,35,40,5
612,5,50,45,35,35,40,5
613,5,50,120,70,50,20,3
614,5,50,60,70,50,20,3
615,5,???,25,70,50,25,3
616,5,50,200,70,50,15,3
617,5,50,75,70,50,15,3
618,5,50,75,70,70,20,3
619,5,50,180,70,50,25,4
620,5,50,45,70,50,25,4
621,5,50,45,70,50,30,3
622,5,???,190,70,50,25,3
623,5,???,90,70,50,25,3
624,5,50,120,35,35,20,3
625,5,50,45,35,35,20,3
626,5,50,45,70,50,20,3
627,5,100,190,70,50,20,5
628,5,100,60,70,50,20,5
629,5,0,190,35,35,20,5
630,5,0,60,35,35,20,5
631,5,50,90,70,50,20,3
632,5,50,90,70,50,20,3
633,5,50,45,35,35,40,5
634,5,50,45,35,35,40,5
635,5,50,45,35,35,40,5
636,5,50,45,70,50,40,5
637,5,50,15,70,50,40,5
638,5,???,3,35,35,80,5
639,5,???,3,35,35,80,5
640,5,???,3,35,35,80,5
641,5,100,3,90,90,120,5
642,5,100,3,90,90,120,5
643,5,???,3,0,0,120,5
644,5,???,3,0,0,120,5
645,5,100,3,90,90,120,5
646,5,???,3,0,0,120,5
647,5,???,3,35,35,80,5
648,5,???,3,100,100,120,5
649,5,???,3,0,0,120,5
650,6,87.5,45,70,50,20,4
651,6,87.5,45,70,50,20,4
652,6,87.5,45,70,50,20,4
653,6,87.5,45,70,50,20,4
654,6,87.5,45,70,50,20,4
655,6,87.5,45,70,50,20,4
656,6,87.5,45,70,50,20,4
657,6,87.5,45,70,50,20,4
658,6,87.5,45,70,50,20,4
659,6,50,255,70,50,15,3
660,6,50,127,70,50,15,3
661,6,50,255,70,50,15,4
662,6,50,120,70,50,15,4
663,6,50,45,70,50,15,4
664,6,50,255,70,50,15,3
665,6,50,120,70,50,15,3
666,6,12.5,45,70,50,15,3
667,6,12.5,220,70,50,20,4
668,6,12.5,65,70,50,20,4
669,6,0,225,70,50,20,3
670,6,0,120,70,50,20,3
671,6,0,45,70,50,20,3
672,6,50,200,70,50,20,3
673,6,50,45,70,50,20,3
674,6,50,220,70,50,25,3
675,6,50,65,70,50,25,3
676,6,50,160,70,50,20,3
677,6,50,190,70,50,20,3
678,6,50,75,70,50,20,3
679,6,50,180,70,50,20,3
680,6,50,90,70,50,20,3
681,6,50,45,70,50,20,3
682,6,50,200,70,50,20,3
683,6,50,140,70,50,20,3
684,6,50,200,70,50,20,3
685,6,50,140,70,50,20,3
686,6,50,190,70,50,20,3
687,6,50,80,70,50,20,3
688,6,50,120,70,50,20,3
689,6,50,45,70,50,20,3
690,6,50,225,70,50,20,3
691,6,50,55,70,50,20,3
692,6,50,225,70,50,15,5
693,6,50,55,70,50,15,5
694,6,50,190,70,50,20,3
695,6,50,75,70,50,20,3
696,6,87.5,45,70,50,30,3
697,6,87.5,45,70,50,30,3
698,6,87.5,45,70,50,30,3
699,6,87.5,45,70,50,30,3
700,6,87.5,45,70,50,35,3
701,6,50,100,70,50,20,3
702,6,50,180,70,50,20,3
703,6,???,60,70,50,25,5
704,6,50,45,35,35,40,5
705,6,50,45,35,35,40,5
706,6,50,45,35,35,40,5
707,6,50,75,70,50,20,2
708,6,50,120,70,50,20,3
709,6,50,60,70,50,20,3
710,6,50,120,70,50,20,3
711,6,50,60,70,50,20,3
712,6,50,190,70,50,20,3
713,6,50,55,70,50,20,3
714,6,50,190,70,50,20,3
715,6,50,45,70,50,20,3
716,6,???,45,0,0,120,5
717,6,???,45,0,0,120,5
718,6,???,3,0,0,120,5
719,6,???,3,70,50,25,5
720,6,???,3,100,100,120,5
721,6,???,3,100,100,120,5
722,7,87.5,45,70,50,15,4
723,7,87.5,45,70,50,15,4
724,7,87.5,45,70,50,15,4
725,7,87.5,45,70,50,15,4
726,7,87.5,45,70,50,15,4
727,7,87.5,45,70,50,15,4
728,7,87.5,45,70,50,15,4
729,7,87.5,45,70,50,15,4
730,7,87.5,45,70,50,15,4
731,7,50,255,70,50,15,3
732,7,50,120,70,50,15,3
733,7,50,45,70,50,15,3
734,7,50,255,70,50,15,3
735,7,50,127,70,50,15,3
736,7,50,255,70,50,15,3
737,7,50,120,70,50,15,3
738,7,50,45,70,50,15,3
739,7,50,225,70,50,20,3
740,7,50,60,70,50,20,3
741,7,25,45,70,50,20,3
742,7,50,190,70,50,20,3
743,7,50,75,70,50,20,3
744,7,50,190,70,50,15,3
745,7,50,90,70,50,15,3
746,7,50,60,70,50,15,2
747,7,50,190,70,50,20,3
748,7,50,75,70,50,20,3
749,7,50,190,70,50,20,3
750,7,50,60,70,50,20,3
751,7,50,200,70,50,15,3
752,7,50,100,70,50,15,3
753,7,50,190,70,50,20,3
754,7,50,75,70,50,20,3
755,7,50,190,70,50,20,3
756,7,50,75,70,50,20,3
757,7,87.5,120,70,50,20,3
758,7,0,45,70,50,20,3
759,7,50,140,70,50,15,3
760,7,50,70,70,50,15,3
761,7,0,235,70,50,20,4
762,7,0,120,70,50,20,4
763,7,0,45,70,50,20,4
764,7,25,60,70,50,20,2
765,7,50,45,70,50,20,5
766,7,50,45,70,50,20,5
767,7,50,90,70,50,20,3
768,7,50,45,70,50,20,3
769,7,50,140,70,50,15,3
770,7,50,60,70,50,15,3
771,7,50,60,70,50,15,2
772,7,???,3,0,0,120,5
773,7,???,3,0,0,120,5
774,7,???,30,70,50,25,4
775,7,50,45,70,50,20,5
776,7,50,70,70,50,20,3
777,7,50,180,70,50,10,3
778,7,50,45,70,50,20,3
779,7,50,80,70,50,15,3
780,7,50,70,70,50,20,3
781,7,???,25,70,50,25,3
782,7,50,45,70,50,40,5
783,7,50,45,70,50,40,5
784,7,50,45,70,50,40,5
785,7,???,3,70,50,15,5
786,7,???,3,70,50,15,5
787,7,???,3,70,50,15,5
788,7,???,3,70,50,15,5
789,7,???,45,0,0,120,5
790,7,???,45,0,0,120,5
791,7,???,45,0,0,120,5
792,7,???,45,0,0,120,5
793,7,???,45,0,0,120,5
794,7,???,45,0,0,120,5
795,7,???,45,0,0,120,5
796,7,???,45,0,0,120,5
797,7,???,45,0,0,120,5
798,7,???,45,0,0,120,5
799,7,???,45,0,0,120,5
800,7,???,255,0,0,120,5
801,7,???,3,0,0,120,5
802,7,???,3,0,0,120,5
803,7,???,45,0,0,120,5
804,7,???,45,0,0,120,5
805,7,???,30,0,0,120,5
806,7,???,30,0,0,120,5
807,7,???,3,0,0,120,5
808,7,???,3,0,0,120,5
809,7,???,3,0,0,120,5
810,8,87.5,45,,50,20,4
811,8,87.5,45,,50,20,4
812,8,87.5,45,,50,20,4
813,8,87.5,45,,50,20,4
814,8,87.5,45,,50,20,4
815,8,87.5,45,,50,20,4
816,8,87.5,45,,50,20,4
817,8,87.5,45,,50,20,4
818,8,87.5,45,,50,20,4
819,8,50,255,,50,20,3
820,8,50,90,,50,20,3
821,8,50,255,,50,15,4
822,8,50,120,,50,15,4
823,8,50,45,,50,15,4
824,8,50,255,,50,15,3
825,8,50,120,,50,15,3
826,8,50,45,,50,15,3
827,8,50,255,,50,15,2
828,8,50,127,,50,15,2
829,8,50,190,,50,20,3
830,8,50,75,,50,20,3
831,8,50,255,,50,15,3
832,8,50,127,,50,15,3
833,8,50,255,,50,20,3
834,8,50,75,,50,20,3
835,8,50,255,,50,20,2
836,8,50,45,,50,20,2
837,8,50,255,,50,15,4
838,8,50,120,,50,15,4
839,8,50,45,,50,15,4
840,8,50,255,,50,20,1
841,8,50,45,,50,20,1
842,8,50,45,,50,20,1
843,8,50,255,,50,20,3
844,8,50,120,,50,20,3
845,8,50,45,,50,20,3
846,8,50,255,,50,20,5
847,8,50,60,,50,20,5
848,8,50,75,,50,25,4
849,8,50,45,,50,25,4
850,8,50,190,,50,20,3
851,8,50,75,,50,20,3
852,8,50,180,,50,25,4
853,8,50,45,,50,25,4
854,8,???,120,,50,20,3
855,8,???,60,,50,20,3
