ability_id,ability_short_effect_markup,ability_short_effect_html
15,Prevents {sleep;STATUS;sleep}.,"Prevents <a href=""/status_conditions/sleep"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>sleep</span><img src=""https://cdn.pokedb.org/95b032e0772eeebe541ef305048f404e8f387a32869b148f0bb17c26c0b18343"" width=""20"" height=""20"" alt=""Status Condition Icon for Sleep"" style=""width: 20px; height: 20px""></a>."
16,Changes type to match when hit by a damaging move.,Changes type to match when hit by a damaging move.
17,Prevents {poison;STATUS;poison}.,"Prevents <a href=""/status_conditions/poison"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>poison</span><img src=""https://cdn.pokedb.org/ca47dcf37f52d71bd66ab23fcdffe6b823f4ea3de865b8914a3ec8abbfaf9705"" width=""20"" height=""20"" alt=""Status Condition Icon for Poison"" style=""width: 20px; height: 20px""></a>."
18,"Protects against {FIRE;TYPE;Fire} moves. Once one has been blocked, the Pokémon's own Fire moves inflict 1.5x damage until it leaves battle.","Protects against <span style=""background-color: #D33A30; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Fire"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/9c6764b6f9ae28be9d1df74f41fdda5e49f048c1f5fdabdfc844755bff0c4731"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Fire""><span style=""color: rgb(255, 255, 255);"">Fire</span></a></span> moves. Once one has been blocked, the Pokémon's own Fire moves inflict 1.5x damage until it leaves battle."
19,Protects against incoming moves' extra effects.,Protects against incoming moves' extra effects.
20,Prevents {confusion;STATUS;confusion}.,"Prevents <a href=""/status_conditions/confusion"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>confusion</span><img src=""https://cdn.pokedb.org/f162481dfa0d44b10562d008124e021314440a2180a1d25e8fe414ad8c2b1b0d"" width=""20"" height=""20"" alt=""Status Condition Icon for Confusion"" style=""width: 20px; height: 20px""></a>."
21,Prevents being forced out of battle by other Pokémon's moves.,Prevents being forced out of battle by other Pokémon's moves.
22,Lowers opponents' {Attack;STAT;ATTACK} one stage upon entering battle.,"Lowers opponents' <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> one stage upon entering battle."
23,Prevents opponents from fleeing or switching out.,Prevents opponents from fleeing or switching out.
24,"Damages attacking Pokémon for <span style=""font-size: 1.3rem"">⅛</span> their max {HP;STAT;HP} on contact.","Damages attacking Pokémon for <span style=""font-size: 1.3rem"">⅛</span> their max <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> on contact."
25,Protects against damaging moves that are not super effective.,Protects against damaging moves that are not super effective.
26,Evades {GROUND;TYPE;Ground} moves.,"Evades <span style=""background-color: #89532A; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Ground"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/482346bac5a73b0b3bbcb12b277cc9f16954df1127911bbe69ca10f9825f8096"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Ground""><span style=""color: rgb(255, 255, 255);"">Ground</span></a></span> moves."
27,"Has a 30% chance of inflcting either {paralysis;STATUS;paralysis}, {poison;STATUS;poison}, or {sleep;STATUS;sleep} on attacking Pokémon on contact.","Has a 30% chance of inflcting either <a href=""/status_conditions/paralysis"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>paralysis</span><img src=""https://cdn.pokedb.org/44310aa40d5082b31e561efe8ec0fd1f705032b30daf08111717ee1e1beba31a"" width=""20"" height=""20"" alt=""Status Condition Icon for Paralysis"" style=""width: 20px; height: 20px""></a>, <a href=""/status_conditions/poison"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>poison</span><img src=""https://cdn.pokedb.org/ca47dcf37f52d71bd66ab23fcdffe6b823f4ea3de865b8914a3ec8abbfaf9705"" width=""20"" height=""20"" alt=""Status Condition Icon for Poison"" style=""width: 20px; height: 20px""></a>, or <a href=""/status_conditions/sleep"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>sleep</span><img src=""https://cdn.pokedb.org/95b032e0772eeebe541ef305048f404e8f387a32869b148f0bb17c26c0b18343"" width=""20"" height=""20"" alt=""Status Condition Icon for Sleep"" style=""width: 20px; height: 20px""></a> on attacking Pokémon on contact."
28,"Copies {burns;STATUS;burn}, {paralysis;STATUS;paralysis}, and {poison;STATUS;poison} received onto the Pokémon that inflicted them.","Copies <a href=""/status_conditions/burn"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>burns</span><img src=""https://cdn.pokedb.org/43b62270be0491a799d2e037aafe0a325e3436593d071f0fac932b3e9eed2cfa"" width=""20"" height=""20"" alt=""Status Condition Icon for Burn"" style=""width: 20px; height: 20px""></a>, <a href=""/status_conditions/paralysis"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>paralysis</span><img src=""https://cdn.pokedb.org/44310aa40d5082b31e561efe8ec0fd1f705032b30daf08111717ee1e1beba31a"" width=""20"" height=""20"" alt=""Status Condition Icon for Paralysis"" style=""width: 20px; height: 20px""></a>, and <a href=""/status_conditions/poison"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>poison</span><img src=""https://cdn.pokedb.org/ca47dcf37f52d71bd66ab23fcdffe6b823f4ea3de865b8914a3ec8abbfaf9705"" width=""20"" height=""20"" alt=""Status Condition Icon for Poison"" style=""width: 20px; height: 20px""></a> received onto the Pokémon that inflicted them."
29,Prevents stats from being lowered by other Pokémon.,Prevents stats from being lowered by other Pokémon.
30,Cures any {major status effect;STATUS;-} upon switching out.,"Cures any <a href=""/status_conditions"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>major status effect</span></a> upon switching out."
31,"Redirects single-target {ELECTRIC;TYPE;Electric} moves to this Pokémon where possible. Absorbs {ELECTRIC;TYPE;Electric}-type moves, raising {Special Attack;STAT;SPATK} one stage.","Redirects single-target <span style=""background-color: #F2C341; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Electric"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/652e5db0527f39b3f770fc1dd661ebdefdc2b5f2c26a4625fba0a87ce835bd20"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Electric""><span style=""color: rgb(255, 255, 255);"">Electric</span></a></span> moves to this Pokémon where possible. Absorbs <span style=""background-color: #F2C341; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Electric"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/652e5db0527f39b3f770fc1dd661ebdefdc2b5f2c26a4625fba0a87ce835bd20"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Electric""><span style=""color: rgb(255, 255, 255);"">Electric</span></a></span>-type moves, raising <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Special Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_spatk.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> one stage."
32,Doubles the chance of moves' extra effects occurring.,Doubles the chance of moves' extra effects occurring.
33,Doubles {Speed;STAT;SPEED} during {rain;WEATHER;RAIN}.,"Doubles <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> during <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">rain</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_rain_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>."
34,Doubles {Speed;STAT;SPEED} during {harsh sunlight;WEATHER;HARSHSUNLIGHT}.,"Doubles <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Speed</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_speed.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> during <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">harsh sunlight</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_harshsunlight_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>."
35,Doubles the wild encounter rate.,Doubles the wild encounter rate.
36,Copies an opponent's ability upon entering battle.,Copies an opponent's ability upon entering battle.
37,Doubles {Attack;STAT;ATTACK} in battle.,"Doubles <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> in battle."
38,Has a 30% chance of {poisoning;STATUS;poison} attacking Pokémon on contact.,"Has a 30% chance of <a href=""/status_conditions/poison"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>poisoning</span><img src=""https://cdn.pokedb.org/ca47dcf37f52d71bd66ab23fcdffe6b823f4ea3de865b8914a3ec8abbfaf9705"" width=""20"" height=""20"" alt=""Status Condition Icon for Poison"" style=""width: 20px; height: 20px""></a> attacking Pokémon on contact."
39,Prevents {flinching;STATUS;flinch}.,"Prevents <a href=""/status_conditions/"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>flinching</span><img src=""https://cdn.pokedb.org/0bf204778d94c12da1796a7b742f74dff77a5a7ad6d8a83ed6c19b1260d354fc"" width=""20"" height=""20"" alt=""Status Condition Icon for Flinch"" style=""width: 20px; height: 20px""></a>."
40,Prevents {freezing;STATUS;freeze}.,"Prevents <a href=""/status_conditions/freeze"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>freezing</span><img src=""https://cdn.pokedb.org/7908bbfc3cf65d06b49cfa0780d094a19c0e13a869e394469dad11fd7c93ca70"" width=""20"" height=""20"" alt=""Status Condition Icon for Freeze"" style=""width: 20px; height: 20px""></a>."
41,Prevents {burns;STATUS;burn}.,"Prevents <a href=""/status_conditions/burn"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>burns</span><img src=""https://cdn.pokedb.org/43b62270be0491a799d2e037aafe0a325e3436593d071f0fac932b3e9eed2cfa"" width=""20"" height=""20"" alt=""Status Condition Icon for Burn"" style=""width: 20px; height: 20px""></a>."
42,Prevents {STEEL;TYPE;Steel} opponents from fleeing or switching out.,"Prevents <span style=""background-color: #4D3F3F; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Steel"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/e34ae6bf5aa2a8934994ad60980b3aa9be2c19db8d2c5408817b185dc3f4b9d7"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Steel""><span style=""color: rgb(255, 255, 255);"">Steel</span></a></span> opponents from fleeing or switching out."
43,Protects against sound-based moves.,Protects against sound-based moves.
44,"Heals for <span style=""font-size: 1.3rem"">¹⁄₁₆</span> max {HP;STAT;HP} after each turn during {rain;WEATHER;RAIN}.","Heals for <span style=""font-size: 1.3rem"">¹⁄₁₆</span> max <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">HP</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_hp.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> after each turn during <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">rain</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_rain_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span>."
45,Summons a {sandstorm;WEATHER;SANDSTORM} that lasts indefinitely upon entering battle.,"Summons a <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">sandstorm</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_sandstorm_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> that lasts indefinitely upon entering battle."
46,Increases the PP cost of moves targetting the Pokémon by one.,Increases the PP cost of moves targetting the Pokémon by one.
47,Halves damage from {FIRE;TYPE;Fire} and {ICE;TYPE;Ice} moves.,"Halves damage from <span style=""background-color: #D33A30; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Fire"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/9c6764b6f9ae28be9d1df74f41fdda5e49f048c1f5fdabdfc844755bff0c4731"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Fire""><span style=""color: rgb(255, 255, 255);"">Fire</span></a></span> and <span style=""background-color: #79CCEF; font-weight: 700; margin: 0.125rem; padding: 0.25rem; line-height: 2rem; border-radius: 0.5rem""><a href=""/types/Ice"" style=""display: inline-flex; gap: 0.25rem; justify-content: center; align-items: center; color: rgb(255, 255, 255);""><img src=""https://cdn.pokedb.org/65ca9ca6310297b364f8f8c305ee50af3d5ba6db7f1885804b352c1ca8a97556"" style=""width: 13px; height: 13px"" width=""13px"" height=""13px"" alt=""Type Icon for Ice""><span style=""color: rgb(255, 255, 255);"">Ice</span></a></span> moves."
48,Makes {sleep;STATUS;sleep} pass twice as quickly.,"Makes <a href=""/status_conditions/sleep"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>sleep</span><img src=""https://cdn.pokedb.org/95b032e0772eeebe541ef305048f404e8f387a32869b148f0bb17c26c0b18343"" width=""20"" height=""20"" alt=""Status Condition Icon for Sleep"" style=""width: 20px; height: 20px""></a> pass twice as quickly."
49,Has a 30% chance of {burning;STATUS;burn} attacking Pokémon on contact.,"Has a 30% chance of <a href=""/status_conditions/burn"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>burning</span><img src=""https://cdn.pokedb.org/43b62270be0491a799d2e037aafe0a325e3436593d071f0fac932b3e9eed2cfa"" width=""20"" height=""20"" alt=""Status Condition Icon for Burn"" style=""width: 20px; height: 20px""></a> attacking Pokémon on contact."
50,Ensures success fleeing from wild battles.,Ensures success fleeing from wild battles.
51,Prevents {accuracy;STAT;ACCURACY} from being lowered.,"Prevents <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">accuracy</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_accuracy.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> from being lowered."
52,Prevents {Attack;STAT;ATTACK} from being lowered by other Pokémon.,"Prevents <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Attack</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_attack.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> from being lowered by other Pokémon."
53,Picks up other Pokémon's used and {Flung;MOVE;fling} held items. May also pick up an item after battle.,"Picks up other Pokémon's used and <a href=""/moves/fling"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Flung</span></a> held items. May also pick up an item after battle."
54,Skips every second turn.,Skips every second turn.
55,"Strengthens {Physical;CATEGORY;physical} moves to inflict 1.5x damage, but decreases their {accuracy;STAT;ACCURACY} to 0.8x.","Strengthens <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">Physical</span><img src=""https://cdn.pokedb.org/6264ae32cd976482cfe876746a108d177a7fa2c677b5dbbf2c2465327ed78bbf"" width=""24"" height=""24"" alt=""Damage Category Icon for Physical"" style=""width: 24px; height: 24px""></span> moves to inflict 1.5x damage, but decreases their <span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">accuracy</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/stats/stat_accuracy.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span> to 0.8x."
56,Has a 30% chance of {infatuating;STATUS;-} attacking Pokémon on contact.,"Has a 30% chance of <a href=""/status_conditions"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>infatuating</span></a> attacking Pokémon on contact."
