id,identifier,name,generation_id,type_id,power,pp,accuracy,priority,move_target_id,damage_category_id,contest_type_id,contest_effect_id,super_contest_effect_id,name_jp,name_jp_romanized,name_fr,name_ger,name_it,name_es,name_kr,name_kr_romanized,name_cn,name_cn_romanized
11,vice-grip,Vise Grip,1,1,55,30,100,0,1,1,5,1,5,はさむ,Hasamu,Force Poigne,Klammer,Presa,Agarre,찝기,Jjipgi,夾住 / 夹住,Jiāzhù / Gaapjyuh
12,guillotine,Guillotine,1,1,,5,30,0,1,1,1,14,9,ハサミギロチン,Hasami Girochin,Guillotine,Guillotine,Ghigliottina,Guillotina,가위자르기,Gawi Jareugi,斷頭鉗 / 断头钳,Duàntóu Qián / Dyuhntàuh Kìhm
13,razor-wind,Razor Wind,1,1,80,10,100,0,10,2,1,2,6,かまいたち,Kamaitachi,Coupe-Vent,Klingensturm,Ventagliente,Viento Cortante,칼바람,Kalbaram,旋風刀 / 旋风刀,Xuànfēng Dāo / Syùhnfūng Dōu
14,swords-dance,Swords Dance,1,1,,20,,0,4,3,2,32,11,つるぎのまい,Tsurugi no Mai,Danse Lames,Schwerttanz,Danzaspada,Danza Espada,칼춤,Kalchum,劍舞 / 剑舞,Jiànwǔ / Gimmóuh
15,cut,Cut,1,1,50,30,95,0,1,1,1,14,5,いあいぎり,Iaigiri,Coupe,Zerschneider,Taglio,Corte,풀베기,Pulbegi,居合斬 / 居合斩,Jūhé Zhǎn / Gēuihahp Jáam
16,gust,Gust,1,3,40,35,100,0,2,2,4,21,5,かぜおこし,Kaze Okoshi,Tornade,Windstoß,Raffica,Tornado,바람일으키기,Baram Il'eukigi,起風 / 起风,Qǐfēng / Héifūng
17,wing-attack,Wing Attack,1,3,60,35,100,0,2,1,1,12,5,つばさでうつ,Tsubasa de Utsu,Cru-Ailes,Flügelschlag,Attacco d'Ala,Ataque Ala,날개치기,Nalgae Chigi,翅膀攻擊 / 翅膀攻击,Chìbǎng Gōngjí / Chibóng Gūnggīk
18,whirlwind,Whirlwind,1,1,,20,,-6,1,3,4,21,9,ふきとばし,Fukitobashi,Cyclone,Wirbelwind,Turbine,Remolino,날려버리기,Nallyeobeorigi,吹飛 / 吹飞,Chuīfēi / Chēuifēi
19,fly,Fly,1,3,90,15,95,0,2,1,4,15,6,そらをとぶ,Sora o Tobu,Vol,Fliegen,Volo,Vuelo,공중날기,Gongjung Nalgi,飛翔 / 飞翔,Fēixiáng / Fēichèuhng
20,bind,Bind,1,1,15,20,85,0,1,1,5,24,21,しめつける,Shimetsukeru,Étreinte,Klammergriff,Legatutto,Atadura,조이기,Joigi,綁緊 / 绑紧,Bǎngjǐn / Bónggán
21,slam,Slam,1,1,80,20,75,0,1,1,5,23,5,たたきつける,Tatakitsukeru,Souplesse,Slam,Schianto,Atizar,힘껏치기,Himkkeotchigi,摔打,Shuāida / Sēuidá
22,vine-whip,Vine Whip,1,12,45,25,100,0,1,1,1,1,5,つるのムチ,Tsuru no Muchi,Fouet Lianes,Rankenhieb,Frustata,Látigo Cepa,덩굴채찍,Deonggul Chaejjik,藤鞭,Téngbiān / Tàhngbīn
23,stomp,Stomp,1,1,65,20,100,0,1,1,5,4,5,ふみつけ,Fumitsuke,Écrasement,Stampfer,Pestone,Pisotón,짓밟기,Jitbalgi,踩踏,Cǎità / Cháaidaahp
24,double-kick,Double Kick,1,2,30,30,100,0,1,1,1,12,7,にどげり,Nidogeri,Double Pied,Doppelkick,Doppiocalcio,Doble Patada,두번치기,Dubeonchigi,二連踢 / 二连踢,Èrliántī / Yihlìhntek
25,mega-kick,Mega Kick,1,1,120,5,75,0,1,1,1,1,18,メガトンキック,Megaton Kikku,Ultimawashi,Megakick,Megacalcio,Megapatada,메가톤킥,Megaton Kick,百萬噸重踢 / 百万吨重踢,Bǎiwàn-dùn Zhòngtī / Baakmaahn-dēun Chúhngtek
26,jump-kick,Jump Kick,1,2,100,10,95,0,1,1,1,3,5,とびげり,Tobigeri,Pied Sauté,Sprungkick,Calciosalto,Patada Salto,점프킥,Jump Kick,飛踢 / 飞踢,Fēitī / Fēitek
27,rolling-kick,Rolling Kick,1,2,60,15,85,0,1,1,1,5,5,まわしげり,Mawashigeri,Mawashi Geri,Fegekick,Calciorullo,Patada Giro,돌려차기,Dollyeo Chagi,迴旋踢 / 回旋踢,Huíxuán Tī / Wùihsyùhn Tek
28,sand-attack,Sand Attack,1,5,,15,100,0,1,3,3,10,19,すなかけ,Sunakake,Jet de Sable,Sandwirbel,Turbosabbia,Ataque Arena,모래뿌리기,Morae Ppurigi,潑沙 / 泼沙,Pōshā / Putsā
29,headbutt,Headbutt,1,1,70,15,100,0,1,1,5,9,5,ずつき,Zutsuki,Coup d'Boule,Kopfnuss,Bottintesta,Golpe Cabeza,박치기,Bakchigi,頭錘 / 头锤,Tóuchuí / Tàuhchèuih
30,horn-attack,Horn Attack,1,1,65,25,100,0,1,1,1,1,5,つのでつく,Tsuno de Tsuku,Koud'Korne,Hornattacke,Incornata,Cornada,뿔찌르기,Ppul Jjireugi,角撞,Jiǎozhuàng / Gokjohng
31,fury-attack,Fury Attack,1,1,15,20,85,0,1,1,1,10,7,みだれづき,Midare Dzuki,Furie,Furienschlag,Furia,Ataque Furia,마구찌르기,Magu Jjireugi,亂擊 / 乱击,Luànjī / Lyuhngīk
32,horn-drill,Horn Drill,1,1,,5,30,0,1,1,1,14,9,つのドリル,Tsuno Doriru,Empal'Korne,Hornbohrer,Perforcorno,Perforador,뿔드릴,Ppul Drill,角鑽 / 角钻,Jiǎozuàn / Gokjyūn
33,tackle,Tackle,1,1,40,35,100,0,1,1,5,1,5,たいあたり,Taiatari,Charge,Tackle,Azione,Placaje,몸통박치기,Momtong Bakchigi,撞擊 / 撞击,Zhuàngjí / Johnggīk
34,body-slam,Body Slam,1,1,85,15,100,0,1,1,5,4,5,のしかかり,Noshikakari,Plaquage,Bodyslam,Corposcontro,Golpe Cuerpo,누르기,Nureugi,泰山壓頂 / 泰山压顶,Tàishānyādǐng / Taaisāanaatdéng
35,wrap,Wrap,1,1,15,20,90,0,1,1,5,24,21,まきつく,Makitsuku,Ligotage,Wickel,Avvolgibotta,Constricción,김밥말이,Gimbapmal'i,緊束 / 紧束,Jǐnshù / Gánchūk
36,take-down,Take Down,1,1,90,20,85,0,1,1,5,3,5,とっしん,Tosshin,Bélier,Bodycheck,Riduttore,Derribo,돌진,Doljin,猛撞,Měngzhuàng / Máahngjohng
37,thrash,Thrash,1,1,120,10,100,0,9,1,5,6,7,あばれる,Abareru,Mania,Fuchtler,Colpo,Saña,난동부리기,Nandong Burigi,大鬧一番 / 大闹一番,Dànàoyīfān / Daaihnaauhyātfāan
38,double-edge,Double-Edge,1,1,120,15,100,0,1,1,5,3,9,すてみタックル,Sutemi Takkuru,Damoclès,Risikotackle,Sdoppiatore,Doble Filo,이판사판태클,Ipansapan Tackle,捨身衝撞 / 舍身冲撞,Shěshēn Chōngzhuàng / Sésān Chūngjohng
39,tail-whip,Tail Whip,1,1,,30,100,0,10,3,3,28,19,しっぽをふる,Shippo o Furu,Mimi-Queue,Rutenschlag,Colpocoda,Látigo,꼬리흔들기,Kkori Heundeulgi,搖尾巴 / 摇尾巴,Yáo Yǐba/Yáo Wěibā / Yìuh Méihbā
40,poison-sting,Poison Sting,1,4,15,35,100,0,1,1,4,9,19,どくばり,Doku Bari,Dard-Venin,Giftstachel,Velenospina,Picotazo Veneno,독침,Dokchim,毒針 / 毒针,Dúzhēn / Duhkjām
41,twineedle,Twineedle,1,7,25,20,100,0,1,1,1,9,7,ダブルニードル,Daburu Nīdoru,Double Dard,Duonadel,Doppio Ago,Doble Ataque,더블니들,Double Needle,雙針 / 双针,Shuāngzhēn / Sēungjām
42,pin-missile,Pin Missile,1,7,25,20,95,0,1,1,1,10,7,ミサイルばり,Misairu Bari,Dard-Nuée,Nadelrakete,Missilspillo,Pin Misil,바늘미사일,Bineul Missile,飛彈針 / 飞弹针,Fēidàn Zhēn / Fēidáan Jām
43,leer,Leer,1,1,,30,100,0,10,3,1,24,19,にらみつける,Niramitsukeru,Groz'Yeux,Silberblick,Fulmisguardo,Malicioso,째려보기,Jjaeryeobogi,瞪眼,Dèngyǎn / Dāngngáahn
44,bite,Bite,1,17,60,25,100,0,1,1,5,5,5,かみつく,Kamitsuku,Morsure,Biss,Morso,Mordisco,물기,Mulgi,咬住,Yǎozhù / Ngáauhjyuh
45,growl,Growl,1,1,,40,100,0,10,3,3,28,19,なきごえ,Nakigoe,Rugissement,Heuler,Ruggito,Gruñido,울음소리,Ur-eum Sori,叫聲 / 叫声,Jiàoshēng / Giusēng
46,roar,Roar,1,1,,20,,-6,1,3,1,21,19,ほえる,Hoeru,Hurlement,Brüller,Boato,Rugido,울부짖기,Ulbujitki,吼叫,Hǒujiào / Haugiu
47,sing,Sing,1,1,,15,55,0,1,3,3,18,19,うたう,Utau,Berceuse,Gesang,Canto,Canto,노래하기,Norae Hagi,唱歌,Chànggē / Cheunggō
48,supersonic,Supersonic,1,1,,20,55,0,1,3,4,21,19,ちょうおんぱ,Chōonpa,Ultrason,Superschall,Supersuono,Supersónico,초음파,Cho-Eumpa,超音波,Chāoyīnbō / Chīuyāmbō
49,sonic-boom,Sonic Boom,1,1,,20,90,0,1,2,1,12,5,ソニックブーム,Sonikku Būmu,Sonic Boom,Ultraschall,Sonicboom,Bomba Sónica,소닉붐,Sonic Boom,音爆,Yīnbào / Yāmbaau
50,disable,Disable,1,1,,20,100,0,1,3,4,18,19,かなしばり,Kanashibari,Entrave,Aussetzer,Inibitore,Anulación,사슬묶기,Saseul Mukgi,定身法,Dìngshēnfǎ / Dihngsānfaat
51,acid,Acid,1,4,40,30,100,0,10,2,4,4,5,ようかいえき,Yōkaieki,Acide,Säure,Acido,Ácido,용해액,Yonghae Aek,溶解液,Róngjiě Yè / Yùhnggáai Yaht
52,ember,Ember,1,10,40,25,100,0,1,2,2,1,5,ひのこ,Hinoko,Flammèche,Glut,Braciere,Ascuas,불꽃세례,Bulkkot Serye,火花,Huǒhuā / Fófā
53,flamethrower,Flamethrower,1,10,90,15,100,0,1,2,2,1,17,かえんほうしゃ,Kaen Hōsha,Lance-Flammes,Flammenwurf,Lanciafiamme,Lanzallamas,화염방사,Hwayeom Bangsa,噴射火焰 / 喷射火焰,Pēnshè Huǒyàn / Panseh Fóyihm
54,mist,Mist,1,15,,30,,0,15,3,2,15,13,しろいきり,Shiroi Kiri,Brume,Weißnebel,Nebbia,Neblina,흰안개,Hyin Angae,白霧 / 白雾,Báiwù / Baahkmouh
55,water-gun,Water Gun,1,11,40,25,100,0,1,2,3,1,5,みずでっぽう,Mizu Deppō,Pistolet à O,Aquaknarre,Pistolacqua,Pistola Agua,물대포,Mul Daepo,水槍 / 水枪,Shuǐqiāng / Séuichēung
56,hydro-pump,Hydro Pump,1,11,110,5,80,0,1,2,2,1,17,ハイドロポンプ,Haidoro Ponpu,Hydrocanon,Hydropumpe,Idropompa,Hidrobomba,하이드로펌프,Hydro Pump,水炮,Shuǐpào / Séuipaau
57,surf,Surf,1,11,90,15,100,0,11,2,2,2,17,なみのり,Naminori,Surf,Surfer,Surf,Surf,파도타기,Padotagi,衝浪 / 冲浪,Chōnglàng / Chūnglohng
58,ice-beam,Ice Beam,1,15,90,10,100,0,1,2,2,23,17,れいとうビーム,Reitō Bīmu,Laser Glace,Eisstrahl,Geloraggio,Rayo Hielo,냉동빔,Naengdong Beam,冰凍光束 / 冰冻光束,Bīngdòng Guāngshù / Bīngdung Gwōngchūk
59,blizzard,Blizzard,1,15,110,5,70,0,10,2,2,1,17,ふぶき,Fubuki,Blizzard,Blizzard,Bora,Ventisca,눈보라,Nunbora,暴風雪 / 暴风雪,Bàofēngxuě / Bouhfūngsyut
60,psybeam,Psybeam,1,14,65,20,100,0,1,2,2,21,17,サイケこうせん,Psyche Kōsen,Rafale Psy,Psystrahl,Psicoraggio,Psicorrayo,환상빔,Hwansang Beam,幻象光線 / 幻象光线,Huànxiàng Guāngxiàn / Waahnjeuhng Gwōngsin
61,bubble-beam,Bubble Beam,1,11,65,20,100,0,1,2,2,5,2,バブルこうせん,Baburu Kōsen,Bulles d'O,Blubbstrahl,Bollaraggio,Rayo Burbuja,거품광선,Geopum Gwangseon,泡沫光線 / 泡沫光线,Pàomò Guāngxiàn / Póuhmuht Gwōngsin
62,aurora-beam,Aurora Beam,1,15,65,20,100,0,1,2,2,23,17,オーロラビーム,Ōrora Bīmu,Onde Boréale,Aurorastrahl,Raggiaurora,Rayo Aurora,오로라빔,Aurora Beam,極光束 / 极光束,Jí Guāngshù / Gihk Gwōngchūk
63,hyper-beam,Hyper Beam,1,1,150,5,90,0,1,2,1,6,22,はかいこうせん,Hakai Kōsen,Ultralaser,Hyperstrahl,Iper Raggio,Hiperrayo,파괴광선,Pagoe Gwangseon,破壞光線 / 破坏光线,Pòhuài Guāngxiàn / Powaaih Gwōngsin
64,peck,Peck,1,3,35,35,100,0,2,1,1,1,5,つつく,Tsutsuku,Picpic,Pikser,Beccata,Picotazo,쪼기,Jjogi,啄,Zhuó / Deuk
65,drill-peck,Drill Peck,1,3,80,20,100,0,2,1,1,1,5,ドリルくちばし,Doriru Kuchibashi,Bec Vrille,Bohrschnabel,Perforbecco,Pico Taladro,회전부리,Hoejeon Buri,啄鑽 / 啄钻,Zhuózuàn / Deukjyūn
66,submission,Submission,1,2,80,20,80,0,1,1,1,3,5,じごくぐるま,Jigoku Guruma,Sacrifice,Überroller,Sottomissione,Sumisión,지옥의바퀴,Jiok-yi Bakwi,地獄翻滾 / 地狱翻滚,Dìyù Fāngǔn / Deihyuhk Fāangwán
67,low-kick,Low Kick,1,2,,20,100,0,1,1,5,4,5,けたぐり,Ketaguri,Balayage,Fußkick,Colpo Basso,Patada Baja,안다리걸기,Andarigeolgi,踢倒,Tīdǎo / Tekdóu
68,counter,Counter,1,2,,20,100,-5,16,1,5,16,15,カウンター,Kauntā,Riposte,Konter,Contrattacco,Contraataque,카운터,Counter,雙倍奉還 / 双倍奉还,Shuāngbèi Fènghuán / Sēungpúih Fuhngwàahn
69,seismic-toss,Seismic Toss,1,2,,20,100,0,1,1,5,23,5,ちきゅうなげ,Chikyū Nage,Frappe Atlas,Geowurf,Movim. Sismico,Sísmico,지구던지기,Jigu Deonjigi,地球上投,Dìqiú Shàngtóu / Deihkàuh Seuhngtàuh
70,strength,Strength,1,1,80,15,100,0,1,1,5,23,5,かいりき,Kairiki,Force,Stärke,Forza,Fuerza,괴력,Goeryeok,怪力,Guàilì / Gwaailihk
71,absorb,Absorb,1,12,20,25,100,0,1,2,4,9,20,すいとる,Suitoru,Vole-Vie,Absorber,Assorbimento,Absorber,흡수,Heubsu,吸取,Xīqǔ / Kāpchéui
72,mega-drain,Mega Drain,1,12,40,15,100,0,1,2,4,4,20,メガドレイン,Mega Dorein,Méga-Sangsue,Megasauger,Megassorbimento,Megaagotar,메가드레인,Mega Drain,超級吸取 / 超级吸取,Chāojí Xīqǔ / Chīukāp Kāpchéui
73,leech-seed,Leech Seed,1,12,,10,90,0,1,3,4,8,21,やどりぎのタネ,Yadorigi no Tane,Vampigraine,Egelsamen,Parassiseme,Drenadoras,씨뿌리기,Ssi Ppurigi,寄生種子 / 寄生种子,Jìshēng Zhǒngzǐ / Geisāng Júngjí
74,growth,Growth,1,1,,20,,0,4,3,2,32,11,せいちょう,Seichō,Croissance,Wachstum,Crescita,Desarrollo,성장,Seongjang,生長 / 生长,Shēngzhǎng / Sāangjéung
75,razor-leaf,Razor Leaf,1,12,55,25,95,0,10,1,1,2,5,はっぱカッター,Happa Kattā,Tranch'Herbe,Rasierblatt,Foglielama,Hoja Afilada,잎날가르기,Ipnal Gareugi,飛葉快刀 / 飞叶快刀,Fēiyè Kuàidāo / Fēiyihp Faaidōu
76,solar-beam,Solar Beam,1,12,120,10,100,0,1,2,1,1,6,ソーラービーム,Sōrā Bīmu,Lance-Soleil,Solarstrahl,Solarraggio,Rayo Solar,솔라빔,Solar Beam,日光束,Rì Guāngshù / Yaht Gwōngchūk
77,poison-powder,Poison Powder,1,4,,35,75,0,1,3,4,33,19,どくのこな,Doku no Kona,Poudre Toxik,Giftpuder,Velenpolvere,Polvo Veneno,독가루,Dok Garu,毒粉,Dúfěn / Duhkfán
78,stun-spore,Stun Spore,1,12,,30,75,0,1,3,4,14,19,しびれごな,Shibire Gona,Para-Spore,Stachelspore,Paralizzante,Paralizador,저리가루,Jeori Garu,麻痺粉,Mábì Fěn / Màhbei Fán
79,sleep-powder,Sleep Powder,1,12,,15,75,0,1,3,4,5,19,ねむりごな,Nemuri Gona,Poudre Dodo,Schlafpuder,Sonnifero,Somnífero,수면가루,Sumyeon Garu,催眠粉,Cuīmián Fěn / Chēuimìhn Fán
80,petal-dance,Petal Dance,1,12,120,10,100,0,9,2,2,6,21,はなびらのまい,Hanabira no Mai,Danse Fleurs,Blättertanz,Petalodanza,Danza Pétalo,꽃잎댄스,Kkoch'ip Dance,花瓣舞,Huābàn Wǔ / Fāfáan Móuh
81,string-shot,String Shot,1,7,,40,95,0,10,3,4,9,19,いとをはく,Ito o Haku,Sécrétion,Fadenschuss,Millebave,Disparo Demora,실뿜기,Silppumgi,吐絲 / 吐丝,Tǔsī / Tousī
82,dragon-rage,Dragon Rage,1,16,,10,100,0,1,2,1,26,5,りゅうのいかり,Ryū no Ikari,Draco-Rage,Drachenwut,Ira di Drago,Furia Dragón,용의분노,Yong-yi Bunno,龍之怒 / 龙之怒,Lóng-zhī Nù / Lùhng-jī Nouh
83,fire-spin,Fire Spin,1,10,35,15,85,0,1,2,2,24,21,ほのおのうず,Honō no Uzu,Danse Flammes,Feuerwirbel,Turbofuoco,Giro Fuego,회오리불꽃,Hoe-ori Bulkkot,火焰旋渦 / 火焰旋涡,Huǒyàn Xuánwō / Fóyihm Syùhnwō
84,thunder-shock,Thunder Shock,1,13,40,30,100,0,1,2,1,1,5,でんきショック,Denki Shokku,Éclair,Donnerschock,Tuonoshock,Impactrueno,전기쇼크,Jeongi Shock,電擊 / 电击,Diànjí / Dihngīk
85,thunderbolt,Thunderbolt,1,13,90,15,100,0,1,2,1,1,17,１０まんボルト,Jūman Boruto,Tonnerre,Donnerblitz,Fulmine,Rayo,１０만볼트,Sipman Volt,十萬伏特 / 十万伏特,Shíwàn Fútè / Sahpmaahn Fuhkdahk
86,thunder-wave,Thunder Wave,1,13,,20,90,0,1,3,1,14,19,でんじは,Denjiha,Cage Éclair,Donnerwelle,Tuononda,Onda Trueno,전기자석파,Jeongi Jaseokpa,電磁波 / 电磁波,Diàncíbō / Dihnchìhbō
87,thunder,Thunder,1,13,110,10,70,0,1,2,1,8,17,かみなり,Kaminari,Fatal-Foudre,Donner,Tuono,Trueno,번개,Beongae,打雷,Dǎléi / Dálèuih
88,rock-throw,Rock Throw,1,6,50,15,90,0,1,1,5,12,5,いわおとし,Iwa Otoshi,Jet-Pierres,Steinwurf,Sassata,Lanzarrocas,돌떨구기,Dol Tteolgugi,落石,Luòshí / Lohksehk
89,earthquake,Earthquake,1,5,100,10,100,0,11,1,5,5,18,じしん,Jishin,Séisme,Erdbeben,Terremoto,Terremoto,지진,Jijin,地震,Dìzhèn / Deihjan
90,fissure,Fissure,1,5,,5,30,0,1,1,5,14,9,じわれ,Jiware,Abîme,Geofissur,Abisso,Fisura,땅가르기,Ttang Gareugi,地裂,Dìliè / Deihliht
91,dig,Dig,1,5,80,10,100,0,1,1,4,15,6,あなをほる,Ana o Horu,Tunnel,Schaufler,Fossa,Excavar,구멍파기,Gumeong Pagi,挖洞,Wā Dòng / Waat Duhng
92,toxic,Toxic,1,4,,10,90,0,1,3,4,33,19,どくどく,Dokudoku,Toxik,Toxin,Tossina,Tóxico,맹독,Maengdok,劇毒 / 剧毒,Jùdú / Kehkduhk
93,confusion,Confusion,1,14,50,25,100,0,1,2,4,9,5,ねんりき,Nenriki,Choc Mental,Konfusion,Confusione,Confusión,염동력,Yeomdongryeok,念力,Niànlì / Nihmlihk
94,psychic,Psychic,1,14,90,10,100,0,1,2,4,5,17,サイコキネシス,Saikokineshisu,Psyko,Psychokinese,Psichico,Psíquico,사이코키네시스,Psychokinesis,精神強念 / 精神强念,Jīngshén Qiángniàn / Jīngsàhn Kèuhngnihm
95,hypnosis,Hypnosis,1,14,,20,60,0,1,3,4,5,19,さいみんじゅつ,Saimin Jutsu,Hypnose,Hypnose,Ipnosi,Hipnosis,최면술,Choemyeon Sul,催眠術 / 催眠术,Cuīmián Shù / Chēuimìhn Seuht
96,meditate,Meditate,1,14,,40,,0,4,3,2,32,11,ヨガのポーズ,Yoga no Pōzu,Yoga,Meditation,Meditazione,Meditación,요가포즈,Yoga Pose,瑜伽姿勢 / 瑜伽姿势,Yújiā Zīshì / Yùhgā Jīsai
97,agility,Agility,1,14,,30,,0,4,3,1,30,1,こうそくいどう,Kōsoku Idō,Hâte,Agilität,Agilità,Agilidad,고속이동,Gosok Idong,高速移動 / 高速移动,Gāosù Yídòng / Gōuchūk Yìhduhng
98,quick-attack,Quick Attack,1,1,40,30,100,1,1,1,1,30,1,でんこうせっか,Denkō Sekka,Vive-attaque,Ruckzuckhieb,Attacco Rapido,Ataque Rápido,전광석화,Jeongwangseokwa,電光一閃 / 电光一闪,Diànguāng Yīshǎn / Dihngwōng Yātsím
99,rage,Rage,1,1,20,20,100,0,1,1,1,17,11,いかり,Ikari,Frénésie,Raserei,Ira,Furia,분노,Bunno,憤怒 / 愤怒,Fènnù / Fáhnnouh
100,teleport,Teleport,1,14,,20,,-6,4,3,1,15,1,テレポート,Terepōto,Téléport,Teleport,Teletrasporto,Teletransporte,순간이동,Sungan Idong,瞬間移動 / 瞬间移动,Shùnjiān Yídòng / Seungāan Yìhduhng
101,night-shade,Night Shade,1,8,,15,100,0,1,2,4,23,5,ナイトヘッド,Naito Heddo,Ombre Nocturne,Nachtnebel,Ombra Notturna,Tinieblas,나이트헤드,Night Head,黑夜魔影,Hēiyè Móyǐng / Hākyeh Mōyíng
102,mimic,Mimic,1,1,,10,,0,1,3,3,19,12,ものまね,Monomane,Copie,Mimikry,Mimica,Mimético,흉내내기,Hyungnaenaegi,模仿,Mófǎng / Mòuhfóng
103,screech,Screech,1,1,,40,85,0,1,3,4,5,10,いやなおと,Iyanaoto,Grincement,Kreideschrei,Stridio,Chirrido,싫은소리,Salh'eun Sori,刺耳聲 / 刺耳声,Cì'ěr Shēng / Chiyíh Sīng
104,double-team,Double Team,1,1,,15,,0,4,3,1,16,1,かげぶんしん,Kage Bunshin,Reflet,Doppelteam,Doppioteam,Doble Equipo,그림자분신,Geurimja Bunsin,影子分身,Yǐngzi Fēnshēn / Yíngjí Fānsān
105,recover,Recover,1,1,,5,,0,4,3,4,23,8,じこさいせい,Jikosaisei,Soin,Genesung,Ripresa,Recuperación,HP회복,HP Hoebok,自我再生,Zìwǒ Zàishēng / Jihngóh Joisāng
106,harden,Harden,1,1,,30,,0,4,3,5,16,13,かたくなる,Katakunaru,Armure,Härtner,Rafforzatore,Fortaleza,단단해지기,Dandanhaejigi,變硬 / 变硬,Biànyìng / Binngaahng
107,minimize,Minimize,1,1,,10,,0,4,3,3,16,13,ちいさくなる,Chīsakunaru,Lilliput,Komprimator,Minimizzato,Reducción,작아지기,Jak'ajigi,變小 / 变小,Biànxiǎo / Binsíu
108,smokescreen,Smokescreen,1,1,,20,100,0,1,3,4,22,10,えんまく,Enmaku,Brouillard,Rauchwolke,Muro di Fumo,Pantalla de Humo,연막,Yeonmak,煙幕 / 烟幕,Yānmù / Yīnmohk
109,confuse-ray,Confuse Ray,1,8,,10,100,0,1,3,4,21,10,あやしいひかり,Ayashī Hikari,Onde Folie,Konfusstrahl,Stordiraggio,Rayo Confuso,이상한빛,Isanghan Bit,奇異之光 / 奇异之光,Qíyì-zhī Guāng / Kèihyih-jī Gwōng
110,withdraw,Withdraw,1,11,,40,,0,4,3,3,15,13,からにこもる,Kara ni Komoru,Repli,Panzerschutz,Ritirata,Refugio,껍질에숨기,Kkeobjil-e Sumgi,縮入殼中 / 缩入壳中,Suōrù Ké Zhōng / Sūkyahp Hok Jūng
111,defense-curl,Defense Curl,1,1,,40,,0,4,3,3,16,13,まるくなる,Marukunaru,Boul'Armure,Einigler,Ricciolscudo,Rizo Defensa,웅크리기,Ungkeurigi,變圓 / 变圆,Biànyuán / Binyùhn
112,barrier,Barrier,1,14,,20,,0,4,3,1,15,13,バリアー,Bariā,Bouclier,Barriere,Barriera,Barrera,배리어,Barrier,屏障,Píngzhàng / Pìhngjeung
113,light-screen,Light Screen,1,14,,30,,0,15,3,2,15,13,ひかりのかべ,Hikari no Kabe,Mur Lumière,Lichtschild,Schermoluce,Pantalla de Luz,빛의장막,Bit-yi Jangmak,光牆 / 光墙,Guāngqiáng / Gwōngchèuhng
