item_identifier,fling_power,fling_effect
damp-mulch,30,
damp-rock,60,
dark-memory,50,
dark-tera-shard,30,
dawn-stone,80,
deep-sea-scale,30,
deep-sea-tooth,90,
destiny-knot,10,
diancite,80,
dire-hit,30,
discount-coupon,10,
dome-fossil,100,
douse-drive,70,
draco-plate,90,
dragon-fang,70,
dragon-memory,50,
dragon-scale,30,
dragon-tera-shard,30,
dread-plate,90,
dubious-disc,50,
durin-berry,10,
dusk-stone,80,
earth-plate,90,
eject-button,30,
eject-pack,50,
electirizer,80,
electric-memory,50,
electric-seed,10,
electric-tera-shard,30,
elixir,30,
energy-powder,30,
energy-root,30,
enigma-berry,10,Restores 1/4 of max HP
escape-rope,30,
ether,30,
everstone,30,
eviolite,40,
exp-candy-l,30,
exp-candy-m,30,
exp-candy-s,30,
exp-candy-xl,30,
exp-candy-xs,30,
exp-share,30,
expert-belt,10,
fairy-feather,10,
fairy-memory,50,
fairy-tera-shard,30,
fancy-apple,20,
fast-ball,0,Fails
fighting-memory,50,
fighting-tera-shard,30,
figy-berry,10,Restores HP but may cause confusion.
fire-memory,50,
fire-stone,30,
fire-tera-shard,30,
fist-plate,90,
flame-orb,30,Burns the target
flame-plate,90,
float-stone,30,
flower-sweet,10,
fluffy-tail,30,
flying-memory,50,
flying-tera-shard,30,
focus-band,10,
focus-sash,10,
fresh-cream,10,
fresh-water,30,
fried-food,10,
fruit-bunch,10,
full-heal,30,
full-incense,10,
full-restore,30,
galarica-cuff,30,
galarica-twig,30,
galarica-wreath,30,
galladite,80,
ganlon-berry,10,Raises the target's Defense by one stage
garchompite,80,
gardevoirite,80,
gengarite,80,
genius-feather,20,
gentle-mint,10,
ghost-memory,50,
ghost-tera-shard,30,
gigantamix,50,
glalitite,80,
gold-bottle-cap,30,
gooey-mulch,30,
grass-mail,0,Fling fails
grass-memory,50,
grass-tera-shard,30,
grassy-seed,10,
great-ball,0,Fails
green-scarf,10,
green-shard,30,
grepa-berry,10,
grip-claw,90,
griseous-orb,60,
ground-memory,50,
ground-tera-shard,30,
growth-mulch,30,
guard-spec,30,
gyaradosite,80,
haban-berry,10,
hard-stone,100,
hasty-mint,10,
heal-ball,0,Fails
heal-powder,30,
health-feather,20,
heart-mail,0,Fails
heart-scale,30,
hearthflame-mask,60,
heat-rock,60,
heavy-ball,0,Fails
heavy-duty-boots,80,
helix-fossil,100,
heracronite,80,
hondew-berry,10,
honey,30,
houndoominite,80,
hp-up,30,
hyper-potion,30,
iapapa-berry,10,Restores HP to the target; may cause confusion if sour is disliked.
ice-heal,30,
ice-memory,50,
ice-stone,30,
ice-tera-shard,30,
icicle-plate,90,
icy-rock,40,
impish-mint,10,
insect-plate,90,
instant-noodles,10,
iron,30,
iron-ball,130,
iron-plate,90,
jaboca-berry,10,
jaw-fossil,100,
jolly-mint,10,
kangaskhanite,80,
kasib-berry,10,
kebia-berry,10,
kee-berry,10,Raises the target's Defense by one stage
kelpsy-berry,10,
ketchup,10,
kings-rock,30,Causes target to flinch
lagging-tail,10,
lansat-berry,10,Raises critical-hit ratio by two stages
large-leek,20,
latiasite,80,
latiosite,80,
lava-cookie,30,
lax-incense,10,
lax-mint,10,
leaders-crest,30,
leaf-stone,30,
leek,60,
leftovers,10,
lemonade,30,
leppa-berry,10,Restores 10 PP
liechi-berry,10,Raises Attack by one stage
life-orb,30,
light-ball,30,Paralyzes the target
light-clay,30,
loaded-dice,30,
lonely-mint,10,
lopunnite,80,
love-ball,0,Fails
love-sweet,10,
lucarionite,80,
luck-incense,10,
lucky-egg,30,
lucky-punch,40,
lum-berry,10,Heals all status conditions and confusion
luminous-moss,30,
lumiose-galette,30,
lustrous-orb,60,
luxury-ball,0,Fails
macho-brace,60,
magmarizer,80,
magnet,30,
mago-berry,10,Restores HP and may cause confusion depending on generation.
magost-berry,10,
malicious-armor,30,
manectite,80,
maranga-berry,10,Raises Special Defense by one stage
master-ball,0,Fails
masterpiece-teacup,80,
mawilite,80,
max-elixir,30,
max-ether,30,
max-potion,30,
max-repel,30,
max-revive,30,
mayonnaise,10,
meadow-plate,90,
medichamite,80,
mental-herb,10,"Cures the target of infatuation, Taunt, Encore, Torment, Disable, and Heal Block"
metagrossite,80,
metal-coat,30,
metal-powder,10,
metronome,30,
mewtwonite-x,80,
mewtwonite-y,80,
micle-berry,10,
mild-mint,10,
mind-plate,90,
miracle-seed,30,
mirror-herb,30,
misty-seed,10,
mixed-mushrooms,10,
modest-mint,10,
moomoo-cheese,20,
moomoo-milk,30,
moon-ball,0,Fails
moon-stone,30,
muscle-band,10,
muscle-feather,20,
mystic-water,30,
naive-mint,10,
nanab-berry,10,
naughty-mint,10,
never-melt-ice,30,
nomel-berry,10,
normal-tera-shard,30,
nugget,30,
occa-berry,10,
odd-incense,10,
odd-keystone,80,
old-amber,100,
old-gateau,30,
oran-berry,10,Restores 10 HP
oval-stone,80,
pack-of-potatoes,10,
packaged-curry,10,
pamtre-berry,10,
paralyze-heal,30,
pass-orb,30,
passho-berry,10,
pasta,10,
payapa-berry,10,
pearl,30,
pearl-string,30,
pecha-berry,10,Cures poison
persim-berry,10,Restores 10 PP
petaya-berry,10,Raises the target’s Special Attack by one stage
pidgeotite,80,
pinap-berry,10,
pink-nectar,10,
pink-scarf,10,
pinsirite,80,
pixie-plate,90,
plume-fossil,100,
poison-barb,70,Poisons the target
poison-memory,50,
poison-tera-shard,30,
poke-ball,0,Fails
poke-doll,30,
poke-toy,30,
pomeg-berry,10,
potion,30,
power-anklet,70,
power-band,70,
power-belt,70,
power-bracer,70,
power-herb,10,
power-lens,70,
power-weight,70,
pp-max,30,
pp-up,30,
precooked-burger,10,
premier-ball,0,Fails
pretty-feather,20,
prism-scale,30,
protective-pads,30,
protector,80,
protein,30,
psychic-memory,50,
psychic-seed,10,
psychic-tera-shard,30,
punching-glove,30,
pungent-root,10,
pure-incense,10,
purple-nectar,10,
qualot-berry,10,
quick-claw,80,
quick-powder,10,
quiet-mint,10,
rabuta-berry,10,
rage-candy-bar,30,
rare-bone,100,
rare-candy,30,
rash-mint,10,
rawst-berry,10,Cures burn
razor-claw,80,
razor-fang,30,Causes target to flinch
razz-berry,10,
reaper-cloth,10,
red-card,10,
red-flute,30,
red-nectar,10,
red-scarf,10,
red-shard,30,
relaxed-mint,10,
relic-band,30,
relic-copper,30,
relic-crown,30,
relic-gold,30,
relic-silver,30,
relic-statue,30,
relic-vase,30,
repeat-ball,0,Fails
repel,30,
resist-feather,20,
revival-herb,30,
revive,30,
ribbon-sweet,10,
rich-mulch,30,
rindo-berry,10,
ring-target,10,
rock-incense,10,
rock-memory,50,
rock-tera-shard,30,
rocky-helmet,60,
room-service,100,
root-fossil,100,
rose-incense,10,
roseli-berry,10,
rowap-berry,10,
sablenite,80,
sachet,80,
sacred-ash,30,
safety-goggles,80,
sail-fossil,100,
salac-berry,10,Raises the target’s Speed by one stage
salad-mix,10,
salamencite,80,
sassy-mint,10,
sausages,10,
sceptilite,80,
scizorite,80,
scope-lens,30,
sea-incense,10,
serious-mint,10,
shalour-sable,30,
sharp-beak,50,
sharpedonite,80,
shed-shell,10,
shell-bell,30,
shiny-stone,80,
shoal-salt,30,
shoal-shell,30,
shock-drive,70,
shuca-berry,10,
silk-scarf,10,
silver-powder,10,
sitrus-berry,10,Restores 25% of max HP to the target
skull-fossil,100,
sky-plate,90,
slowbronite,80,
smoke-ball,30,
smoke-poke-tail,10,
smooth-rock,10,
snow-mail,0,Fails
snowball,30,
soda-pop,30,
soft-sand,10,
soothe-bell,10,
soul-dew,30,
space-mail,0,Fails
spell-tag,30,
spelon-berry,10,
spice-mix,50,
splash-plate,90,
spooky-plate,90,
stable-mulch,30,
star-piece,30,
star-sweet,10,
stardust,30,
starf-berry,10,Randomly raises one stat by two stages
steel-memory,50,
steel-tera-shard,30,
steelixite,80,
stellar-tera-shard,30,
sticky-barb,80,
stone-plate,90,
strange-souvenir,30,
strawberry-sweet,10,
sun-stone,30,
super-potion,30,
super-repel,30,
surprise-mulch,30,
swampertite,80,
sweet-apple,30,
sweet-heart,30,
swift-feather,20,
syrupy-apple,30,
tamato-berry,10,
tanga-berry,10,
tart-apple,30,
terrain-extender,60,
thick-club,90,
throat-spray,30,
thunder-stone,30,
timer-ball,0,Fails
timid-mint,10,
tin-of-beans,80,
tiny-bamboo-shoot,30,
tiny-mushroom,30,
toxic-orb,30,Badly poisons the target
toxic-plate,90,
tr00,10,
tr01,85,
tr02,90,
tr03,110,
tr04,90,
tr05,90,
tr06,110,
tr07,10,
tr08,90,
tr09,110,
tr10,100,
tr11,90,
tr12,10,
tr13,10,
tr14,10,
tr15,110,
tr16,80,
tr17,10,
tr18,80,
tr19,80,
tr20,10,
tr21,10,
tr22,90,
tr23,10,
tr24,120,
tr25,80,
tr26,10,
tr27,10,
tr28,120,
tr29,10,
tr30,10,
tr31,100,
tr32,80,
tr33,80,
tr34,120,
tr35,90,
tr36,95,
tr37,10,
tr38,10,
tr39,120,
tr40,10,
tr41,85,
tr42,90,
tr43,130,
tr44,10,
tr45,90,
tr46,10,
tr47,80,
tr48,10,
tr49,10,
tr50,90,
tr51,10,
tr52,10,
tr53,120,
tr54,10,
tr55,120,
tr56,80,
tr57,80,
tr58,80,
tr59,80,
tr60,80,
tr61,90,
tr62,85,
tr63,80,
tr64,120,
tr65,90,
tr66,120,
tr67,90,
tr68,10,
tr69,80,
tr70,80,
tr71,130,
tr72,120,
tr73,120,
tr74,80,
tr75,100,
tr76,10,
tr77,10,
tr78,95,
tr79,10,
tr80,10,
tr81,95,
tr82,20,
tr83,10,
tr84,80,
tr85,10,
tr86,90,
tr87,80,
tr88,10,
tr89,110,
tr90,90,
tr91,10,
tr92,80,
tr93,85,
tr94,95,
tr95,80,
tr96,90,
tr97,85,
tr98,85,
tr99,80,
twisted-spoon,30,
tyranitarite,80,
ultra-ball,0,Fails
unremarkable-teacup,80,
upgrade,30,
utility-umbrella,60,
venusaurite,80,
wacan-berry,10,
water-memory,50,
water-stone,30,
water-tera-shard,30,
watmel-berry,10,
wave-incense,10,
weakness-policy,80,
wellspring-mask,60,
wepear-berry,10,
whipped-dream,80,
white-flute,30,
white-herb,10,Restores lowered stats of the target
wide-lens,10,
wiki-berry,10,Restores HP and may cause confusion depending on generation.
wise-glasses,10,
wishing-piece,50,
x-accuracy,30,
x-attack,30,
x-defense,30,
x-sp-atk,30,
x-sp-def,30,
x-speed,30,
yache-berry,10,
yellow-flute,30,
yellow-nectar,10,
yellow-scarf,10,
yellow-shard,30,
zap-plate,90,
zinc,30,
zoom-lens,10,
