identifier,name,default_item_sprite,default_item_sprite_small,item_category_identifier,introduced_in_generation_id,is_consumable,is_holdable,is_field_usable,description,notes,is_battle_usable
adamant-crystal,Adamant Crystal,https://cdn.pokedb.org/b6394d9057f4125790932a84b752e0eb266e3cf7f86e02c054bb17b2210a892d,https://cdn.pokedb.org/b6394d9057f4125790932a84b752e0eb266e3cf7f86e02c054bb17b2210a892dw20h20,key-items,8,false,true,true,"A large, glowing gem associated with Dialga that allows it to change form and boosts its power.",Associated with the Pokémon of myth Dialga; categorized as a Key Item in Generation VIII and as an Other Item in Generation IX.,true
adamant-mint,Adamant Mint,https://cdn.pokedb.org/ece497e0a0dbcd4f454ef867d6c9f1f575d03991c398cb165bdddc473fbe0e4b,https://cdn.pokedb.org/ece497e0a0dbcd4f454ef867d6c9f1f575d03991c398cb165bdddc473fbe0e4bw20h20,misc-items,8,true,false,true,"A mint that changes the effect of a Pokémon’s Nature to Adamant, boosting Attack while lowering Special Attack.",,false
adamant-orb,Adamant Orb,https://cdn.pokedb.org/1e61602a7a6159dbb28305a15786ac7f34cdec57817e31a936ae0ca3ede303b0,https://cdn.pokedb.org/1e61602a7a6159dbb28305a15786ac7f34cdec57817e31a936ae0ca3ede303b0w20h20,held-items,4,false,true,false,A brightly gleaming orb associated with Dialga that boosts the power of its Dragon- and Steel-type moves when held.,Required to encounter Dialga at Spear Pillar in Pokémon Platinum.,true
adrenaline-orb,Adrenaline Orb,https://cdn.pokedb.org/1100a2d232c66695da5ba0cc3867c4851b330229ab84158c148a8428d87d09dd,https://cdn.pokedb.org/1100a2d232c66695da5ba0cc3867c4851b330229ab84158c148a8428d87d09ddw20h20,misc-items,7,true,true,false,A consumable item that boosts a Pokémon’s Speed when intimidated or increases wild Pokémon calling for help in battle.,,true
adventure-guide,Adventure Guide,https://cdn.pokedb.org/ad4d99ea5520823ec4612bad5ade12d43c47bedfae20820cd87509d4353cbed4,https://cdn.pokedb.org/ad4d99ea5520823ec4612bad5ade12d43c47bedfae20820cd87509d4353cbed4w20h20,key-items,6,false,false,true,A key item that lets the player review basic gameplay information and tutorials encountered during the adventure.,Known as Adventure Rules prior to Pokémon Sword and Shield.,false
aerodactyl-candy,Aerodactyl Candy,https://cdn.pokedb.org/06adcf5b26acbe59ed3495cf9fb2c01239579dbc57d09ec1e6b8a11ae29cf7e4,https://cdn.pokedb.org/06adcf5b26acbe59ed3495cf9fb2c01239579dbc57d09ec1e6b8a11ae29cf7e4w20h20,candy,7,true,false,true,A species-specific candy that increases all AVs by 1 point for Aerodactyl.,,false
aerodactylite,Aerodactylite,https://cdn.pokedb.org/f3bd799f676a5123ccc9c3dcb3c09183ca21fd4be4eba41baec257048a940b0e,https://cdn.pokedb.org/f3bd799f676a5123ccc9c3dcb3c09183ca21fd4be4eba41baec257048a940b0ew20h20,mega-stones,6,false,true,false,A Mega Stone that allows Aerodactyl to Mega Evolve into Mega Aerodactyl.,,true
aggronite,Aggronite,https://cdn.pokedb.org/11881f8ce87e6d84fffd8bcd7f5bbe0456ec31cc17239896af5f06493e9131b9,https://cdn.pokedb.org/11881f8ce87e6d84fffd8bcd7f5bbe0456ec31cc17239896af5f06493e9131b9w20h20,held-items,6,false,true,false,A Mega Stone that allows Aggron to Mega Evolve into Mega Aggron.,,true
aguav-berry,Aguav Berry,https://cdn.pokedb.org/249a5f45b87736b53681684858938a416804e7883cd8387ce3fd554811f612e3,https://cdn.pokedb.org/249a5f45b87736b53681684858938a416804e7883cd8387ce3fd554811f612e3w20h20,berries,3,true,true,true,A Berry that restores HP when a Pokémon is in a pinch but may cause confusion if the Pokémon dislikes bitter flavors.,,true
aipom-hair,Aipom Hair,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,tm-materials,9,true,false,false,A material dropped by Aipom or Ambipom that can be exchanged for LP or used with the Item Printer.,Not used in any TM recipes,false
air-balloon,Air Balloon,https://cdn.pokedb.org/6f723896f2cc5560b50736118d7327aa59958ba147e58514b5c5055a9750f186,https://cdn.pokedb.org/6f723896f2cc5560b50736118d7327aa59958ba147e58514b5c5055a9750f186w20h20,held-items,5,false,true,false,"A held item that makes the holder float above the ground until it is hit, at which point it bursts.",,true
air-mail,Air Mail,https://cdn.pokedb.org/21b4a52a1fd58bf061e846968aacbed7dda798d1b63d88e0afa589a2f63e9801,https://cdn.pokedb.org/21b4a52a1fd58bf061e846968aacbed7dda798d1b63d88e0afa589a2f63e9801w20h20,mail,4,false,true,false,Stationery featuring a print of colorful letter sets that a Pokémon can hold to deliver a written message.,Exclusive to Generation IV games.,false
alakazite,Alakazite,https://cdn.pokedb.org/ac756d65bf367dc70b73e90a053cc08cbba0fafaf98822688bc766c52cc64f0b,https://cdn.pokedb.org/ac756d65bf367dc70b73e90a053cc08cbba0fafaf98822688bc766c52cc64f0bw20h20,mega-stones,6,false,true,false,A Mega Stone that allows Alakazam to Mega Evolve into Mega Alakazam.,,true
alomomola-mucus,Alomomola Mucus,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,tm-materials,9,true,false,false,A material dropped by Alomomola that can be used to craft TMs at the TM Machine.,,false
aloraichium-z,Aloraichium Z,https://cdn.pokedb.org/96459f62958f6a082ca90215d2edd3aa12e48d9d8a63389253798f8be7adaf4a,https://cdn.pokedb.org/96459f62958f6a082ca90215d2edd3aa12e48d9d8a63389253798f8be7adaf4aw20h20,z-crystals,7,false,true,false,A Pokémon-specific Z-Crystal that allows Alolan Raichu to upgrade Thunderbolt into the Z-Move Stoked Sparksurfer.,Pokémon-specific Z-Crystal associated with Alolan Raichu.,true
altarianite,Altarianite,https://cdn.pokedb.org/74f8a90300dfe7d594c62b42798ee21e24bc6b65ad458aec7c86f36878a238eb,https://cdn.pokedb.org/74f8a90300dfe7d594c62b42798ee21e24bc6b65ad458aec7c86f36878a238ebw20h20,mega-stones,6,false,true,true,A mysterious Mega Stone that allows Altaria to Mega Evolve into Mega Altaria when held.,,true
amaze-mulch,Amaze Mulch,https://cdn.pokedb.org/a414dda31143e8c1218f4cf8f42c85675ae900b9431d607b8be84e5d1fd6afc3,https://cdn.pokedb.org/a414dda31143e8c1218f4cf8f42c85675ae900b9431d607b8be84e5d1fd6afc3w20h20,mulch,6,true,false,true,"A fertilizer used in Berry fields that can increase harvest yield, promote Berry mutations, and affect soil drying.",,false
amazing-butter,Amazing Butter,,,key-items,9,false,false,true,"A pack of butter used by Ansha to make higher-quality donuts, allowing the use of up to six berries.",,false
ampharosite,Ampharosite,https://cdn.pokedb.org/b646680fbfc83bf2eed1b73fc980e1b36690419febd186b9d5bd66531a26eac6,https://cdn.pokedb.org/b646680fbfc83bf2eed1b73fc980e1b36690419febd186b9d5bd66531a26eac6w20h20,mega-stones,6,false,true,false,A Mega Stone that allows Ampharos to Mega Evolve into Mega Ampharos.,,true
amulet-coin,Amulet Coin,https://cdn.pokedb.org/3ce4798f430769c4b735d7071c0b6613fb50eead9c8542563fed5d1d59520860,https://cdn.pokedb.org/3ce4798f430769c4b735d7071c0b6613fb50eead9c8542563fed5d1d59520860w20h20,held-items,2,false,true,false,A held item that doubles the prize money earned after battles when the holder participates.,Does not stack with Luck Incense or other Amulet Coins.,false
antidote,Antidote,https://cdn.pokedb.org/3a849fa2d0f81d6e89e153142db8843a18efded7cd3fda4a4782cddf0a1fa4fa,https://cdn.pokedb.org/3a849fa2d0f81d6e89e153142db8843a18efded7cd3fda4a4782cddf0a1fa4faw20h20,medicine,1,true,false,true,A spray-type medicine that cures a Pokémon of poisoning.,,true
apicot-berry,Apicot Berry,https://cdn.pokedb.org/2fbf250f8f747c479c5021484a528f152dddc520585e902b70736787f526c8a6,https://cdn.pokedb.org/2fbf250f8f747c479c5021484a528f152dddc520585e902b70736787f526c8a6w20h20,berries,3,true,true,false,A Berry that raises the holder’s Special Defense when its HP is low.,,false
apple,Apple,https://cdn.pokedb.org/c85785475e1eaf9b278b60e60a460fcfd24b0126f9ab8de12959fd3029e6d35c,https://cdn.pokedb.org/c85785475e1eaf9b278b60e60a460fcfd24b0126f9ab8de12959fd3029e6d35cw20h20,ingredients,9,true,false,true,A very sweet ingredient sliced thin and used for making sandwiches.,,false
applin-juice,Applin Juice,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,tm-materials,9,true,false,false,A material dropped by Applin and its evolutions that can be used to craft TMs at the TM Machine.,,false
apricorn,Apricorn,,,misc-items,8,true,false,true,A fruit used as a crafting material to create various types of Poké Balls.,Also known as the Brown Apricorn.,false
apricorn-box,Apricorn Box,https://cdn.pokedb.org/e767edde8f41d514e17968d883dd1edad9c99637063fa653c2344b25c005209d,https://cdn.pokedb.org/e767edde8f41d514e17968d883dd1edad9c99637063fa653c2344b25c005209dw20h20,key-items,4,false,false,true,A handy box that allows the player to store and manage Apricorns.,,false
aqua-suit,Aqua Suit,https://cdn.pokedb.org/11cac907c1c69c7aed3f2a788ffeddf7c556f7aeb278590f82e8e1ed9151492f,https://cdn.pokedb.org/11cac907c1c69c7aed3f2a788ffeddf7c556f7aeb278590f82e8e1ed9151492fw20h20,key-items,6,false,false,true,A technologically advanced suit developed by Team Aqua that can withstand any impact.,,false
arboliva-oil,Arboliva Oil,,,key-items,9,false,false,false,"A special oil produced by Paldea's Arboliva, treasured for its exquisite taste and used in cooking.",Introduced in the Mega Dimension DLC for Pokémon Legends: Z-A.,false
armor-fossil,Armor Fossil,https://cdn.pokedb.org/054ea7fa3688cd09ffd3aabd3abd4962463c05b063069c59ac5d088bca8a3b26,https://cdn.pokedb.org/054ea7fa3688cd09ffd3aabd3abd4962463c05b063069c59ac5d088bca8a3b26w20h20,fossils,4,false,true,false,A fossil that can be regenerated into Shieldon.,Counterpart of the Skull Fossil.,false
armor-pass,Armor Pass,https://cdn.pokedb.org/adf43bc49fcbfd05fb549bf8fd849f0555d789668dc5d02213e44ca32d234a5c,https://cdn.pokedb.org/adf43bc49fcbfd05fb549bf8fd849f0555d789668dc5d02213e44ca32d234a5cw20h20,key-items,8,false,false,true,A pass that allows the player to travel to the Isle of Armor by showing it to the rail staff at Wedgehurst Station.,,false
armorite-ore,Armorite Ore,https://cdn.pokedb.org/fddcc3a383c21b06eb585fde4f1f489d6cdf8267f682404f6cf7f9e71b341179,https://cdn.pokedb.org/fddcc3a383c21b06eb585fde4f1f489d6cdf8267f682404f6cf7f9e71b341179w20h20,misc-items,8,true,true,true,Rare ore found on the Isle of Armor that can be exchanged with collectors for various benefits.,,false
arrokuda-scales,Arrokuda Scales,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,tm-materials,9,true,false,false,A material dropped by Arrokuda or Barraskewda that can be used to craft TMs at the TM Machine.,,false
articuno-candy,Articuno Candy,https://cdn.pokedb.org/4ac98a5c5959d74538f1891e26892143e7a7e3e245aa5bc5d581e1924d2d4dbb,https://cdn.pokedb.org/4ac98a5c5959d74538f1891e26892143e7a7e3e245aa5bc5d581e1924d2d4dbbw20h20,candy,7,true,false,true,A species-specific candy that increases all AVs by 1 point for Articuno.,,false
articuno-treat,Articuno Treat,https://cdn.pokedb.org/11396ecb0ac496e1454467b99bdc139e62287d80089b8eba679dc61d57b11c9c,https://cdn.pokedb.org/11396ecb0ac496e1454467b99bdc139e62287d80089b8eba679dc61d57b11c9cw20h20,key-items,9,false,false,true,A snack made from ingredients favored by the Legendary Pokémon Articuno.,Used to encounter Articuno in Paldea by showing it to Snacksworth.,false
aspear-berry,Aspear Berry,https://cdn.pokedb.org/d1c98ed2ad93955f14f44173ec9f59836a4a399e2db59b571d8533290a4d9a3a,https://cdn.pokedb.org/d1c98ed2ad93955f14f44173ec9f59836a4a399e2db59b571d8533290a4d9a3aw20h20,berries,3,true,true,true,A Berry that cures a Pokémon of being frozen when used or held.,Spiritual successor to the Burnt Berry; Natural Gift type is Ice.,true
assault-vest,Assault Vest,https://cdn.pokedb.org/471e9db819a053d0fe17528832ed1adc42add89df12b04268efaee69413f2965,https://cdn.pokedb.org/471e9db819a053d0fe17528832ed1adc42add89df12b04268efaee69413f2965w20h20,held-items,6,false,true,false,A held item that boosts the holder’s Special Defense but prevents the use of status moves.,,true
audinite,Audinite,https://cdn.pokedb.org/936e44b0304b690b506df8b532f579132512de52cbc3c1aacdf59c4b7e200362,https://cdn.pokedb.org/936e44b0304b690b506df8b532f579132512de52cbc3c1aacdf59c4b7e200362w20h20,mega-stones,6,false,true,false,A mysterious Mega Stone that allows Audino to Mega Evolve into Mega Audino when held.,,true
aurora-ticket,Aurora Ticket,https://cdn.pokedb.org/b601d12f76065db3726bfa017eacd79f2eac1a5797b371c05d283782611b3e83,https://cdn.pokedb.org/b601d12f76065db3726bfa017eacd79f2eac1a5797b371c05d283782611b3e83w20h20,key-items,3,false,false,true,"An event ticket that allows access to Birth Island, where Deoxys can be encountered.",,false
auspicious-armor,Auspicious Armor,https://cdn.pokedb.org/9688bdb5c0da31975703700439576b0c260eb782c0fa95e5d77d4095ae18be86,https://cdn.pokedb.org/9688bdb5c0da31975703700439576b0c260eb782c0fa95e5d77d4095ae18be86w20h20,evolution-items,9,true,true,true,A peculiar set of armor that can make a certain species of Pokémon evolve.,,false
autograph,Autograph,https://cdn.pokedb.org/c247dd16deb46bf9cbfcf2199ed93f3642e5f75107d8e63d9dd28f91f47ee917,https://cdn.pokedb.org/c247dd16deb46bf9cbfcf2199ed93f3642e5f75107d8e63d9dd28f91f47ee917w20h20,misc-items,7,false,false,false,An autograph given by Vermilion City Gym Leader Lt. Surge as a commemorative keepsake.,,false
autographed-plush,Autographed Plush,,,key-items,9,false,false,false,A plush doll that has been autographed by Canari. Just having one puts you in a good mood.,,false
aux-evasion,Aux Evasion,,,battle-items,8,true,false,false,A battle item that temporarily makes moves less likely to strike the targeted Pokémon.,Exclusive to Pokémon Legends: Arceus,true
aux-guard,Aux Guard,,,battle-items,8,true,false,false,A battle item that temporarily boosts a Pokémon’s defensive stats.,Exclusive to Pokémon Legends: Arceus.,true
aux-power,Aux Power,,,battle-items,8,true,false,false,A battle item that sharply boosts a Pokémon’s offensive stats during battle until it leaves the field.,Exclusive to Pokémon Legends: Arceus,true
aux-powerguard,Aux Powerguard,,,battle-items,8,true,false,false,A battle item that sharply boosts a Pokémon’s offensive and defensive stats during battle until it leaves the field.,Exclusive to Pokémon Legends: Arceus,true
avocado,Avocado,https://cdn.pokedb.org/cedc21c93ea5b98d5b091c2de093d9eea2b22798a66ead11dfa93344ef9d9e2c,https://cdn.pokedb.org/cedc21c93ea5b98d5b091c2de093d9eea2b22798a66ead11dfa93344ef9d9e2cw20h20,ingredients,9,true,false,false,A mild-tasting but rich ingredient used when making sandwiches.,,false
awakening,Awakening,https://cdn.pokedb.org/b377a20ed4deaadd6ef00d6ebb6a864d45165377bc20032347ba95a9179e0416,https://cdn.pokedb.org/b377a20ed4deaadd6ef00d6ebb6a864d45165377bc20032347ba95a9179e0416w20h20,medicine,1,true,true,true,A spray-type medicine that wakes a Pokémon from sleep or drowsiness.,,true
axew-scales,Axew Scales,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,tm-materials,9,true,false,false,A material dropped by the Axew evolutionary line that can be used to craft TMs at the TM Machine.,,false
azelfs-fang,Azelf's Fang,,,key-items,8,false,false,false,"Proof of completing Azelf's trial at Lake Valor, required to forge the Red Chain.",,false
azure-flute,Azure Flute,https://cdn.pokedb.org/60b456d7f8e561202527946902879220704a30de33b8ae4af521eb30189604b6,https://cdn.pokedb.org/60b456d7f8e561202527946902879220704a30de33b8ae4af521eb30189604b6w20h20,key-items,4,false,false,true,A mysterious flute that emits otherworldly echoes and is used to access the Hall of Origin where Arceus resides.,Event item in Generation IV that was never distributed; obtainable normally in Pokémon Legends: Arceus and as a save data bonus in Brilliant Diamond and Shining Pearl.,false
azurill-fur,Azurill Fur,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,tm-materials,9,true,false,false,"A material dropped by Azurill, Marill, or Azumarill that can be used to craft TMs at the TM Machine.",,false
babiri-berry,Babiri Berry,https://cdn.pokedb.org/80637436f49e98242fb0e06dc241d7ea5f38466054ac9a4459aebb45f8f96a4d,https://cdn.pokedb.org/80637436f49e98242fb0e06dc241d7ea5f38466054ac9a4459aebb45f8f96a4dw20h20,berries,4,true,true,false,A Berry that reduces the damage taken from a super effective Steel-type attack when held.,,true
bachs-food-tin,Bach's Food Tin,https://cdn.pokedb.org/7545f819e154366555d81fa4cb9a0ec6d03ac63e95c8ac8bb08e1feef379eee8,https://cdn.pokedb.org/7545f819e154366555d81fa4cb9a0ec6d03ac63e95c8ac8bb08e1feef379eee8w20h20,ingredients,8,true,true,true,"An ingredient that can be used for cooking curry at camp, consisting of tinned food sold by Bach.",,true
bacon,Bacon,https://cdn.pokedb.org/6481a068483f84bcc94ed793e4894d777c3a4cca34099d184c7af608d1a58e7f,https://cdn.pokedb.org/6481a068483f84bcc94ed793e4894d777c3a4cca34099d184c7af608d1a58e7fw20h20,ingredients,9,true,false,false,A very salty cooked ingredient used when making sandwiches.,,false
bag,Bag,,,key-items,1,false,false,true,"A vital tool that stores all of the player's items, allowing them to be used, arranged, or discarded.",,false
bagon-scales,Bagon Scales,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,tm-materials,9,true,false,false,A material dropped by the Bagon evolutionary line that can be exchanged for LP or used with the Item Printer.,Not used in any TM recipes,false
baguette,Baguette,https://cdn.pokedb.org/009c87990830b215735aae8077ef42d81bdfcd24960dca6f20f8d73c5e697d99,https://cdn.pokedb.org/009c87990830b215735aae8077ef42d81bdfcd24960dca6f20f8d73c5e697d99w20h20,ingredients,9,,,,"A type of sandwich ingredient with a straightforward, salty wheat flavor that pairs well with many fillings.",Currently unobtainable.,
ball-of-mud,Ball of Mud,,,misc-items,8,true,true,true,A hardened ball of mud that can be thrown to stun Pokémon and is used as a crafting material.,,false
balm-mushroom,Balm Mushroom,https://cdn.pokedb.org/350d5c429555323f5254100d5ea099fbb7d127bf2426f584e57a6fa6530dc3fc,https://cdn.pokedb.org/350d5c429555323f5254100d5ea099fbb7d127bf2426f584e57a6fa6530dc3fcw20h20,misc-items,5,true,true,false,"A rare, fragrant mushroom that serves no purpose other than being sold for a high price.",Formatted as BalmMushroom prior to Generation VI.,false
banana,Banana,https://cdn.pokedb.org/4c93244b5e31c6715ddfc10be9d1275425ded8a6f4295ffb672bc90923f2e44c,https://cdn.pokedb.org/4c93244b5e31c6715ddfc10be9d1275425ded8a6f4295ffb672bc90923f2e44cw20h20,picnic-items,9,true,false,true,A very sweet ingredient used for making sandwiches.,,false
band-autograph,Band Autograph,https://cdn.pokedb.org/17342f6551872aa6f940d95bb8ba3b7fd7de56be6ecb593f614a3145e7ef0021,https://cdn.pokedb.org/17342f6551872aa6f940d95bb8ba3b7fd7de56be6ecb593f614a3145e7ef0021w20h20,key-items,8,false,false,false,"An unused Key Item signed by all members of Galar’s most charismatic band, the Maximizers.",Unused and unobtainable in normal gameplay.,false
banettite,Banettite,https://cdn.pokedb.org/4fe2cec25d73dd48d5c4daecbc614560aadf873946f471e30f06b92f69e1f14d,https://cdn.pokedb.org/4fe2cec25d73dd48d5c4daecbc614560aadf873946f471e30f06b92f69e1f14dw20h20,mega-stones,6,false,true,true,A Mega Stone that allows Banette to Mega Evolve into Mega Banette when held.,,true
barbaracite,Barbaracite,,,mega-stones,9,false,true,false,A Mega Stone that allows Barbaracle to Mega Evolve into Mega Barbaracle during battle.,,true
barboach-slime,Barboach Slime,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,tm-materials,9,true,false,false,A material dropped by Barboach or Whiscash that can be used to craft TMs at the TM Machine.,,false
barred-cup,Barred Cup,https://cdn.pokedb.org/69295ed4a7b4fa84f5af830ac5945b1da8d4889391e7886c6432ab9c16239824,https://cdn.pokedb.org/69295ed4a7b4fa84f5af830ac5945b1da8d4889391e7886c6432ab9c16239824w20h20,picnic-items,9,false,false,false,A decorative cup used to embellish the player's picnic setup.,,false
basculegion-food,Basculegion Food,,,key-items,8,false,false,true,A favored food of Basculegion that allows the player to befriend it and unlock it as a Ride Pokémon.,,false
basculin-fang,Basculin Fang,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,tm-materials,9,true,false,false,A material dropped by Basculin or Basculegion that can be used to craft TMs at the TM Machine.,,false
