item_identifier,version_identifier,item_acquisition_type_identifier,item_acquisition_subtype_identifier,location_area_identifier,location_detail,is_repeatable,is_hidden,is_guaranteed,quantity,probability,cost_amount,pokemon_currency_identifier,required_badge,unlock_condition,notes
adventure-guide,scarlet,starting-item,bag,cabo-poco,In the player's Bag when obtained,false,false,true,,,,,,,
adventure-guide,shield,starting-item,bag,postwick,In the player's Bag when obtained,false,false,true,,,,,,,
adventure-guide,sword,starting-item,bag,postwick,In the player's Bag when obtained,false,false,true,,,,,,,
adventure-guide,violet,starting-item,bag,cabo-poco,In the player's Bag when obtained,false,false,true,,,,,,,
adventure-guide,x,npc-gift,,kalos-route-03,From Calem or Serena upon arrival,false,false,true,,,,,,,
adventure-guide,y,npc-gift,,kalos-route-03,From Calem or Serena upon arrival,false,false,true,,,,,,,
aerodactylite,alpha-sapphire,overworld,visible,meteor-falls,,false,false,true,,,,,,,
aerodactylite,legends-za,exchange,,quasartico-inc-building,,false,false,true,,,240,,,,Costs Mega Shards.
aerodactylite,lets-go-eevee,overworld,visible,indigo-plateau,,false,false,true,,,,,,,
aerodactylite,lets-go-pikachu,overworld,visible,indigo-plateau,,false,false,true,,,,,,,
aerodactylite,moon,exchange,,battle-tree,,true,false,true,,,64,battle-points,,,
aerodactylite,omega-ruby,overworld,visible,meteor-falls,,false,false,true,,,,,,,
aerodactylite,sun,exchange,,battle-tree,,true,false,true,,,64,battle-points,,,
aerodactylite,ultra-moon,exchange,,battle-tree,,true,false,true,,,64,battle-points,,,
aerodactylite,ultra-sun,exchange,,battle-tree,,true,false,true,,,64,battle-points,,,
aerodactylite,x,story,,ambrette-town,Fossil Lab (after finding the scientist in Glittering Cave),false,false,true,,,,,,,
aerodactylite,y,story,,ambrette-town,Fossil Lab (after finding the scientist in Glittering Cave),false,false,true,,,,,,,
aggronite,alpha-sapphire,overworld,visible,rusturf-tunnel,,false,false,true,,,,,,,
aggronite,omega-ruby,overworld,visible,rusturf-tunnel,,false,false,true,,,,,,,
aggronite,ultra-moon,exchange,,battle-tree,Battle Tree,true,false,true,,,64,battle-points,,,
aggronite,ultra-sun,exchange,,battle-tree,Battle Tree,true,false,true,,,64,battle-points,,,
aggronite,y,overworld,visible,cyllage-city,Cyllage Gym,false,false,true,,,,,,Requires upgraded Mega Ring,
air-balloon,black,exchange,,,Battle Subway,true,false,true,,,48,battle-points,,,
air-balloon,black-2,wild-pokemon,,,Held by wild Drifblim in dark grass,true,false,false,,1.0,,,,,
air-mail,diamond,shop,poke-mart,jubilife-city,Poké Mart,true,false,true,,,50,pokedollars,,,
air-mail,heartgold,starting-item,pc,,Mail from Lyra/Ethan,false,false,true,,,,,,,
air-mail,pearl,shop,poke-mart,jubilife-city,Poké Mart,true,false,true,,,50,pokedollars,,,
air-mail,platinum,shop,poke-mart,jubilife-city,Poké Mart,true,false,true,,,50,pokedollars,,,
air-mail,soulsilver,starting-item,pc,,Mail from Lyra/Ethan,false,false,true,,,,,,,
alakazite,alpha-sapphire,shop,vendor,slateport-city,Slateport Market,false,false,true,,,,,,,
alakazite,lets-go-eevee,overworld,visible,indigo-plateau,,false,false,true,,,,,,,
alakazite,lets-go-pikachu,overworld,visible,indigo-plateau,,false,false,true,,,,,,,
alakazite,moon,npc-gift,,ancient-poni-path,From Dexio after becoming Champion,false,false,true,,,,,,After becoming Champion,
alakazite,omega-ruby,shop,vendor,slateport-city,Slateport Market,false,false,true,,,,,,,
alakazite,sun,npc-gift,,ancient-poni-path,From Dexio after becoming Champion,false,false,true,,,,,,After becoming Champion,
alakazite,ultra-moon,npc-gift,,poni-plains,From Dexio after becoming Champion,false,false,true,,,,,,After becoming Champion,
alakazite,ultra-sun,npc-gift,,poni-plains,From Dexio after becoming Champion,false,false,true,,,,,,After becoming Champion,
alakazite,x,overworld,visible,reflection-cave,"B2F, requires an upgraded Mega Ring",false,false,true,,,,,,After obtaining an upgraded Mega Ring,
alakazite,y,overworld,visible,reflection-cave,"B2F, requires an upgraded Mega Ring",false,false,true,,,,,,After obtaining an upgraded Mega Ring,
aloraichium-z,moon,npc-gift,,seafolk-village,Lady in the Steelix Boat for showing her an Alolan Raichu,false,false,true,,,,,,,
aloraichium-z,sun,npc-gift,,seafolk-village,Lady in the Steelix Boat for showing her an Alolan Raichu,false,false,true,,,,,,,
aloraichium-z,ultra-moon,npc-gift,,seafolk-village,Lady in the Steelix Boat for showing her an Alolan Raichu,false,false,true,,,,,,,
aloraichium-z,ultra-sun,npc-gift,,seafolk-village,Lady in the Steelix Boat for showing her an Alolan Raichu,false,false,true,,,,,,,
altarianite,alpha-sapphire,npc-gift,,lilycove-city,,false,false,true,,,,,,Requires Altaria in party,
altarianite,legends-za,story,,,Main Mission 28: A Rogue Mega Altaria,false,false,true,,,,,,After defeating the Rogue Mega Altaria,
altarianite,moon,event,,,,false,false,true,,,,,,,
altarianite,omega-ruby,npc-gift,,lilycove-city,,false,false,true,,,,,,Requires Altaria in party,
altarianite,sun,event,,,,false,false,true,,,,,,,
altarianite,ultra-moon,exchange,,battle-tree,,true,false,true,,,64,battle-points,,,
altarianite,ultra-sun,exchange,,battle-tree,,true,false,true,,,64,battle-points,,,
amaze-mulch,alpha-sapphire,exchange,,,Trade,true,false,true,,,,,,,
amaze-mulch,omega-ruby,exchange,,,Trade,true,false,true,,,,,,,
amaze-mulch,x,crafting,recipe,,Berry fields composter,true,false,true,,,,,,Using one Maranga Berry or Kee Berry and two other Berries,
amaze-mulch,y,crafting,recipe,,Berry fields composter,true,false,true,,,,,,Using one Maranga Berry or Kee Berry and two other Berries,
amazing-butter,legends-za,story,,hyperspace-sushi-paradise,"After defeating the Rogue Mega Tatsugiri during Hyperspace Mission 06: ""Hyperspace Lumiose Survey No. 2""",false,false,true,,,,,,,
ampharosite,alpha-sapphire,overworld,visible,new-mauville,,false,false,true,,,,,,,
ampharosite,legends-za,story,,,Defeat Rogue Mega Ampharos (Main Mission 23),false,false,true,,,,,,,
ampharosite,omega-ruby,overworld,visible,new-mauville,,false,false,true,,,,,,,
ampharosite,ultra-moon,exchange,,battle-tree,,true,false,true,,,64,battle-points,,,
ampharosite,ultra-sun,exchange,,battle-tree,,true,false,true,,,64,battle-points,,,
ampharosite,x,npc-gift,,azure-bay,Old man,false,false,true,,,,,,,
ampharosite,y,npc-gift,,azure-bay,Old man,false,false,true,,,,,,,
amulet-coin,gold,overworld,visible,goldenrod-department-store-basement,,false,false,true,,,,,,,
amulet-coin,ruby,npc-gift,,littleroot-town,From Mom after earning the Balance Badge,false,false,true,,,,,balance-badge,,
apicot-berry,ruby,event,,,Event distribution,false,false,true,,,,,,,
apicot-berry,scarlet,overworld,sparkling,area-zero,Sparkling overworld item,true,false,false,,,,,,,
apicot-berry,sword,berry-tree,,galar-route-09,Berry trees,true,false,false,,,,,,,"Also found in Dappled Grove, Giant's Cap, Lake of Outrage"
apple,scarlet,shop,vendor,,Peachy's,true,false,true,,,,,,The Teal Mask,
apple,scarlet,shop,vendor,,Sure Cans,true,false,true,,,,,,,
apple,scarlet,vending-machine,,terarium,Vending machines,true,false,true,,,,,,The Indigo Disk,
apple,scarlet,story,,south-province-area-two,Olive Roll reward,false,false,true,,,,,,,
apple,violet,vending-machine,,terarium,Vending machines,true,false,true,,,,,,The Indigo Disk,
apple,violet,story,,south-province-area-two,Olive Roll reward,false,false,true,,,,,,,
apple,violet,shop,vendor,,Sure Cans,true,false,true,,,,,,,
apple,violet,shop,vendor,,Peachy's,true,false,true,,,,,,The Teal Mask,
apricorn,legends-arceus,npc-gift,,jubilife-village,From Rei/Akari during Mission 3: The Basics of Crafting,false,false,true,20,,,,,During Mission 3,
apricorn,legends-arceus,trainer-reward,,galaxy-hall,Reward for completing Request 95: A New Anomaly,false,false,true,60,,,,,,
apricorn,legends-arceus,trainer-reward,,crimson-mirelands,Reward for completing Request 97: Massive Mass Outbreak in the Mirelands,false,false,true,20,,,,,,
apricorn,legends-arceus,trainer-reward,,coronet-highlands,Reward for completing Request 100: Massive Mass Outbreak in the Highlands,false,false,true,30,,,,,,
apricorn,legends-arceus,harvest,,,Apricorn trees across Hisui,true,false,false,,,,,,,
apricorn,legends-arceus,crafting,craftworks,,,true,false,true,,,,,,,
apricorn-box,heartgold,npc-gift,,route-30-johto,Man inside the southernmost house,false,false,true,,,,,,,
apricorn-box,soulsilver,npc-gift,,route-30-johto,Man inside the southernmost house,false,false,true,,,,,,,
aqua-suit,alpha-sapphire,story,,sootopolis-city,Received from Archie after Kyogre has been awoken,false,false,true,,,,,,After Kyogre has been awoken,
arboliva-oil,legends-za,story,,hotel-z,"Obtained from Corbeau during Hyperspace Mission 12: ""The Greatest Gift""",false,false,true,,,,,,,
armor-fossil,diamond,mining,,underground,,true,false,false,,,,,,,
armor-pass,shield,starting-item,bag,,,false,false,true,,,,,,After purchasing the Expansion Pass and updating to at least version 1.2.0,
armor-pass,sword,starting-item,bag,,,false,false,true,,,,,,After purchasing the Expansion Pass and updating to at least version 1.2.0,
armorite-ore,shield,overworld,recurring,,"Hidden spots in Soothing Wetlands, Brawlers' Cave, Courageous Cavern, Potbottom Desert",true,true,true,,,,,,,
armorite-ore,shield,event,,,Wild Area News,false,false,true,,,,,,"June 30 to July 31, 2020",
armorite-ore,shield,raid,max-raid,,Max Raid Battles,true,false,false,,,,,,,All levels
armorite-ore,sword,event,,,Wild Area News,false,false,true,,,,,,"June 30 to July 31, 2020",
armorite-ore,sword,raid,max-raid,,Max Raid Battles,true,false,false,,,,,,,All levels
armorite-ore,sword,overworld,recurring,,"Hidden spots in Soothing Wetlands, Brawlers' Cave, Courageous Cavern, Potbottom Desert",true,true,true,,,,,,,
articuno-treat,scarlet,npc-gift,,blueberry-academy,"Blueberry Academy entrance, from Snacksworth",false,false,true,,,,,,After completing 10 solo Blueberry Quests,Requires The Indigo Disk DLC.
articuno-treat,violet,npc-gift,,blueberry-academy,"Blueberry Academy entrance, from Snacksworth",false,false,true,,,,,,After completing 10 solo Blueberry Quests,Requires The Indigo Disk DLC.
assault-vest,scarlet,shop,specialty-shop,mesagoza,Delibird Presents,true,false,true,,,50000,pokedollars,,After completing the main storyline,
assault-vest,sun,exchange,,,Battle Tree,true,false,true,,,48,battle-points,,,
assault-vest,sword,overworld,visible,lake-of-outrage,,false,false,true,,,,,,,
assault-vest,sword,exchange,,,Battle Tower,true,false,true,,,25,battle-points,,,
assault-vest,x,exchange,,,Battle Maison,true,false,true,,,48,battle-points,,,
audinite,alpha-sapphire,npc-gift,,battle-resort,Given by Looker,false,false,true,,,,,,,
audinite,legends-za,exchange,,quasartico-inc-building,,false,false,true,,,180,,,,Requires Mega Shards
audinite,moon,event,,,First Mega Stone Gift,false,false,true,,,,,,,
audinite,omega-ruby,npc-gift,,battle-resort,Given by Looker,false,false,true,,,,,,,
audinite,sun,event,,,First Mega Stone Gift,false,false,true,,,,,,,
audinite,ultra-moon,exchange,,battle-tree,,true,false,true,,,64,battle-points,,,
audinite,ultra-sun,exchange,,battle-tree,,true,false,true,,,64,battle-points,,,
auspicious-armor,legends-za,story,,,Side Mission 132: Bitter Blue Flames vs. Blazing Crimson,false,false,true,,,,,,Given by Adver if chosen over Malicious Armor,
auspicious-armor,scarlet,exchange,,zapapico,Man next to the fountain near the eastern Pokémon Center,true,false,true,,,10,,,Exchange for ten Bronzor Fragments,
auspicious-armor,violet,exchange,,,Trade,true,false,true,,,,,,,
autograph,lets-go-eevee,trainer-reward,gym-leader,vermilion-gym,Reward for defeating Lt. Surge,false,false,true,,,,,,,
autograph,lets-go-pikachu,trainer-reward,gym-leader,vermilion-gym,Reward for defeating Lt. Surge,false,false,true,,,,,,,
autographed-plush,legends-za,npc-gift,,racine-construction,"Obtained during Main Mission 14: ""Reaching Rank E"" from Canari",false,false,true,,,,,,After battling and defeating Canari in the Z-A Royale,
aux-evasion,legends-arceus,crafting,recipe,,Crafted using 2 Doppel Bonnets and 1 Candy Truffle,true,false,true,1,,,,,,
aux-evasion,legends-arceus,request,,jubilife-village,"Reward for completing Request 41: ""An Elegant Tail""",false,false,true,2,,,,,,
aux-guard,legends-arceus,request,,jubilife-village,"Reward for completing Request 21: ""Back-Alley Mr. Mime""",false,false,true,2,,,,,,
aux-guard,legends-arceus,crafting,recipe,,Craft using 2 Iron Barktongues and 1 Pep-Up Plant,true,false,true,,,,,,,
aux-power,legends-arceus,request,,jubilife-village,"Reward for completing Request 9: ""Zubat's Eyes""",false,false,true,2,,,,,,
aux-power,legends-arceus,crafting,recipe,,,true,false,true,,,,,,,Requires 2 Swordcaps and 1 Pep-Up Plant
aux-powerguard,legends-arceus,request,,ginkgo-landing,Reward for completing Request 56: Getting Help from Machoke,false,false,true,,,,,,,
aux-powerguard,legends-arceus,crafting,recipe,,"Crafted using 1 Aux Power, 1 Aux Guard, and 1 King's Leaf",true,false,true,,,,,,,
avocado,scarlet,shop,vendor,,Peachy's,true,false,true,,,180,pokedollars,,After earning 2 Badges,
avocado,scarlet,shop,vendor,,Deli Cioso,true,false,true,,,180,pokedollars,,After earning 2 Gym Badges,
avocado,scarlet,shop,vendor,,Aquiesta Supermarket,true,false,true,,,180,pokedollars,,After earning 2 Gym Badges,
avocado,violet,shop,vendor,,Deli Cioso,true,false,true,,,180,pokedollars,,After earning 2 Gym Badges,
avocado,violet,shop,vendor,,Peachy's,true,false,true,,,180,pokedollars,,After earning 2 Badges,
avocado,violet,shop,vendor,,Aquiesta Supermarket,true,false,true,,,180,pokedollars,,After earning 2 Gym Badges,
azelfs-fang,legends-arceus,npc-gift,,valor-cavern-hisui,"Received from Azelf after completing its challenge during Mission 15: ""The Trial of Lake Valor""",false,false,true,,,,,,During Mission 15: The Trial of Lake Valor,
azure-flute,brilliant-diamond,event,,twinleaf-town,Save data bonus from Pokémon Legends: Arceus with all Missions completed,false,false,true,,,,,,Requires completed Pokémon Legends: Arceus save data,Available in Version 1.3.0+
azure-flute,legends-arceus,story,,temple-of-sinnoh,Reward after defeating Volo and Giratina (Mission 26: Seeking the Remaining Plates),false,false,true,,,,,,,
azure-flute,shining-pearl,event,,twinleaf-town,Save data bonus from Pokémon Legends: Arceus with all Missions completed,false,false,true,,,,,,Requires completed Pokémon Legends: Arceus save data,Available in Version 1.3.0+
bachs-food-tin,shield,shop,vendor,rolling-fields,Ingredients Seller,true,false,true,,,950,pokedollars,,,
bachs-food-tin,shield,shop,vendor,hammerlocke-hills,Ingredients Seller,true,false,true,,,950,pokedollars,,,
bachs-food-tin,shield,shop,vendor,fields-of-honor,Ingredients Seller,true,false,true,,,950,pokedollars,,,
bacon,scarlet,shop,vendor,,Deli Cioso,true,false,true,,,150,pokedollars,,After earning 1 Gym Badge,
bacon,the-indigo-disk,vending-machine,,terarium,Vending machines,true,false,true,,,,,,,
bacon,violet,shop,vendor,,Deli Cioso,true,false,true,,,150,pokedollars,,After earning 1 Gym Badge,
ball-of-mud,legends-arceus,request,,,"Highlands, Mountain, or Summit Camp",false,false,true,20,,,,,"Reward for completing Request 100: ""Massive Mass Outbreak in the Highlands""",
ball-of-mud,legends-arceus,request,,,Snowfields or Icepeak Camp,false,false,true,20,,,,,"Reward for completing Request 101: ""Massive Mass Outbreak in the Icelands""",
ball-of-mud,legends-arceus,overworld,recurring,lava-dome-sanctum,,true,false,true,,,,,,,
ball-of-mud,legends-arceus,overworld,sparkling,alabaster-icelands,Snow piles,true,false,false,,,,,,,
ball-of-mud,legends-arceus,dropped,,,Practice field balloon minigame,true,false,false,,,,,,,Random reward
ball-of-mud,legends-arceus,harvest,,,Found by Ursaluna,true,true,false,,,,,,,
ball-of-mud,legends-arceus,story,,,"Highlands, Mountain, or Summit Camp",false,false,true,100,,,,,"From Adaman during Request 100: ""Massive Mass Outbreak in the Highlands""",
banana,scarlet,vending-machine,,,Sure Cans,true,false,true,,,,,,,
banana,scarlet,vending-machine,,terarium,Vending machines,true,false,true,,,,,,The Indigo Disk,
banana,violet,vending-machine,,,Sure Cans,true,false,true,,,,,,,
banana,violet,vending-machine,,terarium,Vending machines,true,false,true,,,,,,The Indigo Disk,
banettite,alpha-sapphire,overworld,visible,mt-pyre,,false,false,true,,,,,,,
banettite,legends-za,npc-defeat,,,Rogue Mega Banette (Main Mission 18),false,false,true,,,,,,After completing Main Mission 18,
banettite,moon,event,,,Third Mega Stone Gift,false,false,true,,,,,,,
banettite,omega-ruby,overworld,visible,mt-pyre,,false,false,true,,,,,,,
banettite,sun,event,,,Third Mega Stone Gift,false,false,true,,,,,,,
banettite,ultra-moon,exchange,,battle-tree,,true,false,true,,,64,battle-points,,,
banettite,ultra-sun,exchange,,battle-tree,,true,false,true,,,64,battle-points,,,
banettite,x,overworld,visible,chamber-of-emptiness,Requires an upgraded Mega Ring,false,false,true,,,,,,After obtaining an upgraded Mega Ring,
banettite,y,overworld,visible,chamber-of-emptiness,Requires an upgraded Mega Ring,false,false,true,,,,,,After obtaining an upgraded Mega Ring,
barbaracite,legends-za,npc-defeat,,,"Rogue Mega Barbaracle (Main Mission 22: ""A Rogue Mega Barbaracle"")",false,false,true,,,,,,During Main Mission 22,
barred-cup,scarlet,shop,specialty-shop,mesagoza,Picnic-Knacks (Mesagoza Branch),true,false,true,,,800,pokedollars,,,
barred-cup,violet,shop,specialty-shop,mesagoza,Picnic-Knacks (Mesagoza Branch),true,false,true,,,800,pokedollars,,,
basculegion-food,legends-arceus,npc-gift,,aipom-hill,"From Iscan after bringing him a Dusclops during Mission 10: ""The Lordless Island""",false,false,true,,,,,,"After progressing Mission 10: ""The Lordless Island""",
basement-key-hoenn,emerald,npc-gift,,mauville-city,From Wattson,false,false,true,,,,,,After defeating Norman,
basement-key-hoenn,ruby,npc-gift,,mauville-city,From Wattson,false,false,true,,,,,,After defeating Norman,
basement-key-hoenn,sapphire,npc-gift,,mauville-city,From Wattson,false,false,true,,,,,,After defeating Norman,
basement-key-johto,crystal,npc-defeat,,goldenrod-radio-tower,Imposter Radio Director,false,false,true,,,,,,After defeating the imposter Radio Director,
basement-key-johto,gold,npc-defeat,,goldenrod-radio-tower,Imposter Radio Director,false,false,true,,,,,,After defeating the imposter Radio Director,
basement-key-johto,heartgold,npc-defeat,,goldenrod-radio-tower,Petrel,false,false,true,,,,,,After defeating Petrel,
basement-key-johto,silver,npc-defeat,,goldenrod-radio-tower,Imposter Radio Director,false,false,true,,,,,,After defeating the imposter Radio Director,
basement-key-johto,soulsilver,npc-defeat,,goldenrod-radio-tower,Petrel,false,false,true,,,,,,After defeating Petrel,
basil,scarlet,shop,vendor,,Deli Cioso,true,false,true,,,280,pokedollars,,After earning 3 Gym Badges,
basil,scarlet,shop,vendor,,Aquiesta Supermarket,true,false,true,,,280,pokedollars,,After earning 3 Gym Badges,
basil,scarlet,vending-machine,,terarium,Vending machines,true,false,true,,,,,,The Indigo Disk,
basil,violet,shop,vendor,,Aquiesta Supermarket,true,false,true,,,280,pokedollars,,After earning 3 Gym Badges,
basil,violet,vending-machine,,terarium,Vending machines,true,false,true,,,,,,The Indigo Disk,
basil,violet,shop,vendor,,Deli Cioso,true,false,true,,,280,pokedollars,,After earning 3 Gym Badges,
battle-chairs,scarlet,npc-gift,,revelers-road,Picnicker,false,false,true,,,,,,If the player owns the Battle Tablecloth (The Teal Mask),
battle-chairs,violet,npc-gift,,revelers-road,Picnicker,false,false,true,,,,,,If the player owns the Battle Tablecloth (The Teal Mask),
battle-tablecloth,scarlet,shop,specialty-shop,cascarrafa,Picnic-Knacks (Cascarrafa Branch),true,false,true,,,4000,pokedollars,,,
battle-tablecloth,violet,shop,specialty-shop,cascarrafa,Picnic-Knacks (Cascarrafa Branch),true,false,true,,,4000,pokedollars,,,
baxcalibrite,legends-za,tournament,,,Ranked Battles Season 4,false,false,true,,,,,,"Reach Rank S in Ranked Battles Season 4 (December 18, 2025 – January 8, 2026)",
beach-glass,lets-go-eevee,npc-gift,,,Partner Eevee,true,false,true,,,,,,,
beach-glass,lets-go-pikachu,npc-gift,,,Partner Pikachu,true,false,true,,,,,,,
bead-mail,emerald,overworld,visible,trick-house,,false,false,true,,,,,,,
bead-mail,emerald,npc-gift,,lilycove-city,Quiz Lady,false,false,true,,,,,,,
bead-mail,firered,transfer,,,Trade from Ruby/Sapphire/Emerald,true,false,true,,,,,,,
bead-mail,leafgreen,transfer,,,Trade from Ruby/Sapphire/Emerald,true,false,true,,,,,,,
bead-mail,ruby,overworld,visible,trick-house,,false,false,true,,,,,,,
bead-mail,sapphire,overworld,visible,trick-house,,false,false,true,,,,,,,
bean-cake,legends-arceus,shop,vendor,,Ginkgo Guild cart (Ginter),true,false,false,10,,,pokedollars,,,Randomly sold
bean-cake,legends-arceus,shop,vendor,jubilife-village,General store and base camp stores,true,false,true,,,400,pokedollars,,"After completing Request 61: ""Even More New Wares""",
