id,ndex_id,identifier,form_name,type_1_id,type_2_id,pokemon_category,shape_id,footprint_path,pokedex_color_id,height_m,height_ft,weight_kg,weight_lbs,ability_primary_id,ability_secondary_id,ability_hidden_id,ev_yield_hp,ev_yield_atk,ev_yield_def,ev_yield_spatk,ev_yield_spdef,ev_yield_speed,main_image_normal_path,main_image_normal_path_small,main_image_normal_path_preview,main_image_normal_path_medium,main_image_shiny_path,main_image_shiny_path_small,pokemon_cry_path,stat_hp,stat_attack,stat_defense,stat_spatk,stat_spdef,stat_speed,stat_total,base_experience,is_default_form,include,type_weakness_chart_id,is_first_partner,is_baby,is_mega_evolution,is_gmax_form,is_legendary,is_mythical,is_ultrabeast,is_paradox,is_fossil,origin_region_identifier
11,6,charizard-gigantamax,Gigantamax,10,3,Flame Pokémon,10,https://cdn.pokedb.org/f0e20120e777ffc2205f0172f06b00869dd71bb67fd2ba5140c8fcf411cf7fe3,8,>28m,">91'10""",???kg,???lbs,66,,94,0,0,0,3,0,0,https://cdn.pokedb.org/b5ef96048bd2f7246671e3be5e611bdd2ffbc6d43a245ced827ac89ec0874d93,https://cdn.pokedb.org/b5ef96048bd2f7246671e3be5e611bdd2ffbc6d43a245ced827ac89ec0874d93w40h40,https://cdn.pokedb.org/b5ef96048bd2f7246671e3be5e611bdd2ffbc6d43a245ced827ac89ec0874d93w70h70,https://cdn.pokedb.org/b5ef96048bd2f7246671e3be5e611bdd2ffbc6d43a245ced827ac89ec0874d93w100h100,https://cdn.pokedb.org/f441dc02c8b6fd92a1111a753bfdde8a6e14104d1d12bf2765cf5cac0029c08e,https://cdn.pokedb.org/f441dc02c8b6fd92a1111a753bfdde8a6e14104d1d12bf2765cf5cac0029c08ew40h40,https://cdn.pokedb.org/40e43c5efcd31a91f99796ef0683dfac799455a94db0eb417a20cc10ecf99cec,78,84,78,109,85,100,534,267,false,true,3406,false,false,false,true,false,false,false,false,false,kanto
12,7,squirtle-default,Default Form,11,,Tiny Turtle Pokémon,10,https://cdn.pokedb.org/758f9cd643d1d255c5172a8dd0ebd682e65521966c53a2adac782a725d2d9a0f,2,0.5m,"1'8""",9kg,19.84lbs,67,,44,0,0,1,0,0,0,https://cdn.pokedb.org/f89cf6fe62dbb2acf0ef59565f6d5d52201a534f376b8e712b646af50301d5a9,https://cdn.pokedb.org/f89cf6fe62dbb2acf0ef59565f6d5d52201a534f376b8e712b646af50301d5a9w40h40,https://cdn.pokedb.org/f89cf6fe62dbb2acf0ef59565f6d5d52201a534f376b8e712b646af50301d5a9w70h70,https://cdn.pokedb.org/f89cf6fe62dbb2acf0ef59565f6d5d52201a534f376b8e712b646af50301d5a9w100h100,https://cdn.pokedb.org/1e6b2f80900ce7b87b37058d277122cbbc5e35c245ae610ac5c26bdb9365065e,https://cdn.pokedb.org/1e6b2f80900ce7b87b37058d277122cbbc5e35c245ae610ac5c26bdb9365065ew40h40,https://cdn.pokedb.org/a3ace8bdaf6cc106d4b7ba078576526d4416dba46de356bff9e76f53ed1fc867,44,48,65,50,64,43,314,63,true,true,3421,true,false,false,false,false,false,false,false,false,kanto
13,8,wartortle-default,Default Form,11,,Turtle Pokémon,10,https://cdn.pokedb.org/a1f9645589b1e1a8f87780f39df277c92868920f69834720ea023a6695e53e10,2,1m,"3'3""",22.5kg,49.6lbs,67,,44,0,0,1,0,1,0,https://cdn.pokedb.org/e173178ebec4074873a5e14de0734a0dc618a2f6be2375697f7782e670e55c41,https://cdn.pokedb.org/e173178ebec4074873a5e14de0734a0dc618a2f6be2375697f7782e670e55c41w40h40,https://cdn.pokedb.org/e173178ebec4074873a5e14de0734a0dc618a2f6be2375697f7782e670e55c41w70h70,https://cdn.pokedb.org/e173178ebec4074873a5e14de0734a0dc618a2f6be2375697f7782e670e55c41w100h100,https://cdn.pokedb.org/c2dcd750a3a1bfab242375386b670550607b36c228f74245c047ce3fdf386cfe,https://cdn.pokedb.org/c2dcd750a3a1bfab242375386b670550607b36c228f74245c047ce3fdf386cfew40h40,https://cdn.pokedb.org/5596b0eec9fd90c797b081122380122c26a7cc20afa140c919e3b60e1b78e8a4,59,63,80,65,80,58,405,142,true,true,3421,false,false,false,false,false,false,false,false,false,kanto
14,9,blastoise-default,Default Form,11,,Shellfish Pokémon,10,https://cdn.pokedb.org/bb94f4d82e672c6a16ef12ee7afba14d02e8bdd854b9555d5c752a0e5213b52b,2,1.6m,"5'3""",85.5kg,188.5lbs,67,,44,0,0,0,0,3,0,https://cdn.pokedb.org/78695ea6d6c582daf05688defce78d954b099786885e813b39d1f1f9727c8f6c,https://cdn.pokedb.org/78695ea6d6c582daf05688defce78d954b099786885e813b39d1f1f9727c8f6cw40h40,https://cdn.pokedb.org/78695ea6d6c582daf05688defce78d954b099786885e813b39d1f1f9727c8f6cw70h70,https://cdn.pokedb.org/78695ea6d6c582daf05688defce78d954b099786885e813b39d1f1f9727c8f6cw100h100,https://cdn.pokedb.org/2a0aa23f327a147510d1a2c0b854bdf0e7d96bc1ea5c32d0180e4014440df4c8,https://cdn.pokedb.org/2a0aa23f327a147510d1a2c0b854bdf0e7d96bc1ea5c32d0180e4014440df4c8w40h40,https://cdn.pokedb.org/63276a248859493b5371debead0b4e76ab6d43ca2563ed46529daf06ec708f27,79,83,100,85,105,78,530,265,true,true,3421,false,false,false,false,false,false,false,false,false,kanto
15,9,blastoise-mega-evolution,Mega Evolution,11,,Shellfish Pokémon,10,https://cdn.pokedb.org/bb94f4d82e672c6a16ef12ee7afba14d02e8bdd854b9555d5c752a0e5213b52b,2,1.6m,"5'3""",101.1kg,222.89lbs,178,,,0,0,0,0,3,0,https://cdn.pokedb.org/752f96c4a2ef0035f63de29003b1bd76bcfe93d9bf7f125fdea9f12228856970,https://cdn.pokedb.org/752f96c4a2ef0035f63de29003b1bd76bcfe93d9bf7f125fdea9f12228856970w40h40,https://cdn.pokedb.org/752f96c4a2ef0035f63de29003b1bd76bcfe93d9bf7f125fdea9f12228856970w70h70,https://cdn.pokedb.org/752f96c4a2ef0035f63de29003b1bd76bcfe93d9bf7f125fdea9f12228856970w100h100,https://cdn.pokedb.org/6c08dfdee2ccbcd0205fdd1d7d293eadec8da7aad894b08e4ab48c20440931f6,https://cdn.pokedb.org/6c08dfdee2ccbcd0205fdd1d7d293eadec8da7aad894b08e4ab48c20440931f6w40h40,https://cdn.pokedb.org/eb70b16f35a6d6f073ad4369e7708d2ee84294bc9c1b162bbab3ed00b9008a6b,79,103,120,135,115,78,630,284,false,true,3421,false,false,true,false,false,false,false,false,false,kanto
16,10,caterpie-default,Default Form,7,,Worm Pokémon,4,https://cdn.pokedb.org/d3eb272f7d055ccef257114c9ab5f466f20ca7c77c02d70b096871b7cf2f1421,5,0.3m,"0'12""",2.9kg,6.39lbs,19,,50,1,0,0,0,0,0,https://cdn.pokedb.org/8c8a366cfc31484b841000535ab905e67fd10591b5c4cd9d3d4956d7f8923158,https://cdn.pokedb.org/8c8a366cfc31484b841000535ab905e67fd10591b5c4cd9d3d4956d7f8923158w40h40,https://cdn.pokedb.org/8c8a366cfc31484b841000535ab905e67fd10591b5c4cd9d3d4956d7f8923158w70h70,https://cdn.pokedb.org/8c8a366cfc31484b841000535ab905e67fd10591b5c4cd9d3d4956d7f8923158w100h100,https://cdn.pokedb.org/5f58a4d7a795959e0389a3a214182bec330067c22adae166a8b187936c07d504,https://cdn.pokedb.org/5f58a4d7a795959e0389a3a214182bec330067c22adae166a8b187936c07d504w40h40,https://cdn.pokedb.org/bfced1ddca8ec052836c387b746306d8de4db7fef63f12f46b0ff74276ea91c1,45,30,35,20,20,45,195,39,true,true,3349,false,false,false,false,false,false,false,false,false,kanto
17,11,metapod-default,Default Form,7,,Cocoon Pokémon,13,https://cdn.pokedb.org/cdn_assets/pokemon_assets/default_assets/default_footprint.webp,5,0.7m,"2'4""",9.9kg,21.83lbs,61,,,0,0,2,0,0,0,https://cdn.pokedb.org/2d2f330969d11128be1094b2f934b7061670e4ec6f1224f966e91eb620217112,https://cdn.pokedb.org/2d2f330969d11128be1094b2f934b7061670e4ec6f1224f966e91eb620217112w40h40,https://cdn.pokedb.org/2d2f330969d11128be1094b2f934b7061670e4ec6f1224f966e91eb620217112w70h70,https://cdn.pokedb.org/2d2f330969d11128be1094b2f934b7061670e4ec6f1224f966e91eb620217112w100h100,https://cdn.pokedb.org/bad5cc06ce85c74a51d6f3c20e7012ccf961b58de35152f680c328a8023f73d9,https://cdn.pokedb.org/bad5cc06ce85c74a51d6f3c20e7012ccf961b58de35152f680c328a8023f73d9w40h40,https://cdn.pokedb.org/43477501ec56fb6306845e9d8f42c0d1be897fd84c1423a3f0afe6733f18780f,50,20,55,25,25,30,205,72,true,true,3349,false,false,false,false,false,false,false,false,false,kanto
18,12,butterfree-default,Default Form,7,3,Butterfly Pokémon,6,https://cdn.pokedb.org/23525cbc413a1c2c5242297e4e4b090ccb13ced4c2abf6adb7778b93600d4089,9,1.1m,"3'7""",32kg,70.55lbs,14,,110,0,0,0,2,1,0,https://cdn.pokedb.org/328ed5f2482eb3c2c7257751b0168d448402237a503da0e5e1542be4eb06f6f1,https://cdn.pokedb.org/328ed5f2482eb3c2c7257751b0168d448402237a503da0e5e1542be4eb06f6f1w40h40,https://cdn.pokedb.org/328ed5f2482eb3c2c7257751b0168d448402237a503da0e5e1542be4eb06f6f1w70h70,https://cdn.pokedb.org/328ed5f2482eb3c2c7257751b0168d448402237a503da0e5e1542be4eb06f6f1w100h100,https://cdn.pokedb.org/71794a5c5885c1b667e214a4e08da38004c86c4c246f36de7c0d963155d2103a,https://cdn.pokedb.org/71794a5c5885c1b667e214a4e08da38004c86c4c246f36de7c0d963155d2103aw40h40,https://cdn.pokedb.org/347d3a6577126a6b133487ab09b86b199f51b39a7e88c55c7894b9a45bd22b4a,60,45,50,90,80,70,395,198,true,true,3352,false,false,false,false,false,false,false,false,false,kanto
19,13,weedle-default,Default Form,7,4,Hairy Bug Pokémon,4,https://cdn.pokedb.org/2ed7553804390be9c0390b2eee504d86bd10b85daa711040e826b4c3dee5f0cb,3,0.3m,"0'12""",3.2kg,7.05lbs,19,,50,0,0,0,0,0,1,https://cdn.pokedb.org/56785576835c20d2cd59b2ca250094067357e0099ebc95e25459b98df35d1f89,https://cdn.pokedb.org/56785576835c20d2cd59b2ca250094067357e0099ebc95e25459b98df35d1f89w40h40,https://cdn.pokedb.org/56785576835c20d2cd59b2ca250094067357e0099ebc95e25459b98df35d1f89w70h70,https://cdn.pokedb.org/56785576835c20d2cd59b2ca250094067357e0099ebc95e25459b98df35d1f89w100h100,https://cdn.pokedb.org/d3ba7cf2e32ccd43d794991462d4d0fcb9ab3518dc7e3cc090554adce2b1405b,https://cdn.pokedb.org/d3ba7cf2e32ccd43d794991462d4d0fcb9ab3518dc7e3cc090554adce2b1405bw40h40,https://cdn.pokedb.org/7432b000a89fc34a0a7896f561670b5872e99f6154db3704fe93e4eec6c28f5a,40,35,30,20,20,50,195,39,true,true,3353,false,false,false,false,false,false,false,false,false,kanto
20,14,kakuna-default,Default Form,7,4,Cocoon Pokémon,13,https://cdn.pokedb.org/cdn_assets/pokemon_assets/default_assets/default_footprint.webp,10,0.6m,"1'12""",10kg,22.05lbs,61,,97,0,2,0,0,0,0,https://cdn.pokedb.org/2df5e358bba06a6a9528532203938f425396762627cee0859d5f0db59f126419,https://cdn.pokedb.org/2df5e358bba06a6a9528532203938f425396762627cee0859d5f0db59f126419w40h40,https://cdn.pokedb.org/2df5e358bba06a6a9528532203938f425396762627cee0859d5f0db59f126419w70h70,https://cdn.pokedb.org/2df5e358bba06a6a9528532203938f425396762627cee0859d5f0db59f126419w100h100,https://cdn.pokedb.org/f01ee1b368e68f7eebe29ab6d4b1aaa6bbdc8e54ba782f40da87c0890197ad1f,https://cdn.pokedb.org/f01ee1b368e68f7eebe29ab6d4b1aaa6bbdc8e54ba782f40da87c0890197ad1fw40h40,https://cdn.pokedb.org/cdabf9897da2f81d7bab61a8689cdeb0d7f35f1f04453b0de67466b1f839fb90,45,25,50,25,25,35,205,72,true,true,3353,false,false,false,false,false,false,false,false,false,kanto
21,15,beedrill-default,Default Form,7,4,Poison Bee Pokémon,6,https://cdn.pokedb.org/3a3133b2fc91803c2569011a7bbc719358d4fd7c8a598f935457a624c2085f05,10,1m,"3'3""",29.5kg,65.04lbs,68,,,0,2,0,0,1,0,https://cdn.pokedb.org/3950bfb242db5872c7649d5fd474dbca52edad84650ea575c4f67bc6523318de,https://cdn.pokedb.org/3950bfb242db5872c7649d5fd474dbca52edad84650ea575c4f67bc6523318dew40h40,https://cdn.pokedb.org/3950bfb242db5872c7649d5fd474dbca52edad84650ea575c4f67bc6523318dew70h70,https://cdn.pokedb.org/3950bfb242db5872c7649d5fd474dbca52edad84650ea575c4f67bc6523318dew100h100,https://cdn.pokedb.org/6a47457e02a1a7b5d1d547688ad3b6f6f0b84914a0129285a2efe12d9bcbc1ce,https://cdn.pokedb.org/6a47457e02a1a7b5d1d547688ad3b6f6f0b84914a0129285a2efe12d9bcbc1cew40h40,https://cdn.pokedb.org/2fc130792996417aa9fe6bd9d29b61ec1816e65a2d79c26730f0831f38da4e6d,65,90,40,45,80,75,395,178,true,true,3353,false,false,false,false,false,false,false,false,false,kanto
22,15,beedrill-mega-evolution,Mega Evolution,7,4,Poison Bee Pokémon,6,https://cdn.pokedb.org/3a3133b2fc91803c2569011a7bbc719358d4fd7c8a598f935457a624c2085f05,10,1.4m,"4'7""",40.5kg,89.29lbs,91,,,0,2,0,0,1,0,https://cdn.pokedb.org/1e4dde557e5132a464e78eac67fefbefc8b125d225f31992859e47122239b572,https://cdn.pokedb.org/1e4dde557e5132a464e78eac67fefbefc8b125d225f31992859e47122239b572w40h40,https://cdn.pokedb.org/1e4dde557e5132a464e78eac67fefbefc8b125d225f31992859e47122239b572w70h70,https://cdn.pokedb.org/1e4dde557e5132a464e78eac67fefbefc8b125d225f31992859e47122239b572w100h100,https://cdn.pokedb.org/a7c23bf46dc5cab6496cb424c90695bafb25ca9bd3db06aa16959c16c3d76408,https://cdn.pokedb.org/a7c23bf46dc5cab6496cb424c90695bafb25ca9bd3db06aa16959c16c3d76408w40h40,https://cdn.pokedb.org/ba1d8547ae2cbea010ee8a4ae4f0b3542f59d9978a1316d10ed07f0788322cfd,65,150,40,15,80,145,495,223,false,true,3353,false,false,true,false,false,false,false,false,false,kanto
