item_identifier,version_identifier,price_type,amount,pokemon_currency_identifier,notes
apple,scarlet-violet,sell,32,pokedollars,
apricorn,legends-arceus,buy,40,pokedollars,
apricorn,legends-arceus,sell,10,pokedollars,
armor-fossil,black-2-white-2,sell,500,pokedollars,
armor-fossil,black-white,sell,500,pokedollars,
armor-fossil,brilliant-diamond-shining-pearl,sell,500,pokedollars,
armor-fossil,diamond-pearl,sell,500,pokedollars,
armor-fossil,heartgold-soulsilver,sell,500,pokedollars,
armor-fossil,moon,buy,7000,pokedollars,
armor-fossil,omega-ruby-alpha-sapphire,sell,500,pokedollars,
armor-fossil,platinum,sell,500,pokedollars,
armor-fossil,sun,sell,3500,pokedollars,
armor-fossil,ultra-sun-ultra-moon,sell,3500,pokedollars,
armor-fossil,x-y,sell,500,pokedollars,
armorite-ore,sword-shield,sell,10,pokedollars,
aspear-berry,brilliant-diamond-shining-pearl,buy,80,pokedollars,
aspear-berry,emerald,sell,10,pokedollars,
aspear-berry,legends-arceus,buy,120,pokedollars,
aspear-berry,ruby-sapphire,sell,10,pokedollars,
aspear-berry,sword-shield,sell,40,pokedollars,
assault-vest,omega-ruby-alpha-sapphire,sell,500,pokedollars,
assault-vest,scarlet-violet,buy,50000,pokedollars,
assault-vest,scarlet-violet,sell,12500,pokedollars,
assault-vest,sun-moon,sell,500,pokedollars,
assault-vest,sword-shield,sell,500,pokedollars,
assault-vest,ultra-sun-ultra-moon,sell,500,pokedollars,
assault-vest,x-y,sell,500,pokedollars,
auspicious-armor,scarlet-violet,sell,1500,pokedollars,
aux-evasion,legends-arceus,sell,400,pokedollars,
aux-guard,legends-arceus,sell,200,pokedollars,
aux-power,legends-arceus,sell,200,pokedollars,
aux-powerguard,legends-arceus,sell,600,pokedollars,
avocado,scarlet-violet,buy,180,pokedollars,
avocado,scarlet-violet,sell,45,pokedollars,
awakening,crystal,sell,125,pokedollars,
awakening,crystal,buy,250,pokedollars,
awakening,gold-silver,sell,125,pokedollars,
awakening,gold-silver,buy,250,pokedollars,
awakening,legends-za,sell,25,pokedollars,
awakening,legends-za,buy,100,pokedollars,
awakening,red-blue,buy,200,pokedollars,
awakening,red-blue,sell,100,pokedollars,
awakening,scarlet-violet,sell,50,pokedollars,
awakening,scarlet-violet,buy,200,pokedollars,
awakening,sun-moon,buy,100,pokedollars,
awakening,sun-moon,sell,50,pokedollars,
awakening,ultra-sun-ultra-moon,sell,50,pokedollars,
awakening,ultra-sun-ultra-moon,buy,100,pokedollars,
awakening,yellow,sell,100,pokedollars,
awakening,yellow,buy,200,pokedollars,
babiri-berry,black-2-white-2,sell,10,pokedollars,
babiri-berry,black-white,sell,10,pokedollars,
babiri-berry,brilliant-diamond-shining-pearl,sell,10,pokedollars,
babiri-berry,diamond-pearl,sell,10,pokedollars,
babiri-berry,heartgold-soulsilver,sell,10,pokedollars,
babiri-berry,omega-ruby-alpha-sapphire,sell,10,pokedollars,
babiri-berry,platinum,sell,10,pokedollars,
babiri-berry,scarlet-violet,sell,20,pokedollars,
babiri-berry,sun-moon,sell,10,pokedollars,
babiri-berry,sword-shield,sell,40,pokedollars,
babiri-berry,ultra-sun-ultra-moon,sell,10,pokedollars,
babiri-berry,x-y,sell,10,pokedollars,
bachs-food-tin,shield,buy,950,pokedollars,
bachs-food-tin,shield,sell,475,pokedollars,
bachs-food-tin,sword,sell,475,pokedollars,
bacon,scarlet-violet,sell,37,pokedollars,
bacon,scarlet-violet,buy,150,pokedollars,
ball-of-mud,legends-arceus,sell,10,pokedollars,
balm-mushroom,omega-ruby-alpha-sapphire,sell,6250,pokedollars,
balm-mushroom,scarlet-violet,sell,7500,pokedollars,
balm-mushroom,sun-moon,sell,7500,pokedollars,
balm-mushroom,sword-shield,sell,7500,pokedollars,
balm-mushroom,ultra-sun-ultra-moon,sell,7500,pokedollars,
balm-mushroom,x-y,sell,6250,pokedollars,
banana,scarlet-violet,buy,80,pokedollars,
banana,scarlet-violet,sell,20,pokedollars,
barred-cup,scarlet-violet,buy,800,pokedollars,
barred-cup,scarlet-violet,sell,200,pokedollars,
basil,scarlet-violet,buy,280,pokedollars,
basil,scarlet-violet,sell,70,pokedollars,
battle-tablecloth,scarlet-violet,buy,4000,pokedollars,
battle-tablecloth,scarlet-violet,sell,1000,pokedollars,
beach-glass,lets-go-pikachu-lets-go-eevee,sell,400,pokedollars,
bead-mail,emerald,sell,25,pokedollars,
bead-mail,firered-leafgreen,sell,25,pokedollars,
bead-mail,ruby-sapphire,sell,25,pokedollars,
bean-cake,legends-arceus,buy,400,pokedollars,
bean-cake,legends-arceus,sell,100,pokedollars,
beast-ball,ultra-sun-ultra-moon,buy,1000,pokedollars,
beedrillite,lets-go-pikachu-lets-go-eevee,buy,30000,pokedollars,
belue-berry,brilliant-diamond-shining-pearl,sell,10,pokedollars,
belue-berry,diamond-pearl,sell,10,pokedollars,
belue-berry,emerald,sell,10,pokedollars,
belue-berry,platinum,sell,10,pokedollars,
belue-berry,ruby-sapphire,sell,10,pokedollars,
belue-berry,x-y,sell,10,pokedollars,
berry-gen2,crystal,sell,5,pokedollars,
berry-gen2,gold-silver,sell,5,pokedollars,
berry-juice,black,buy,1500,pokedollars,Sold to the gourmet maniac on Route 5
berry-juice,crystal,sell,50,pokedollars,
berry-juice,gold-silver,sell,50,pokedollars,
berry-sweet,scarlet-violet,sell,250,pokedollars,
berry-sweet,sword-shield,sell,250,pokedollars,
berserk-gene,crystal,buy,200,pokedollars,
berserk-gene,crystal,sell,100,pokedollars,
berserk-gene,gold-silver,buy,200,pokedollars,
berserk-gene,gold-silver,sell,100,pokedollars,
big-bamboo-shoot,scarlet-violet,sell,1500,pokedollars,
big-malasada,sun-moon,buy,350,pokedollars,
big-malasada,sun-moon,sell,175,pokedollars,
big-malasada,sword-shield,sell,175,pokedollars,Not purchasable
big-malasada,ultra-sun-ultra-moon,buy,350,pokedollars,
big-malasada,ultra-sun-ultra-moon,sell,175,pokedollars,
big-mushroom,black-2-white-2,sell,2500,pokedollars,Can sell for 5000 to Gourmet Maniac on Route 5
big-mushroom,black-white,sell,2500,pokedollars,Can sell for 5000 to Gourmet Maniac on Route 5
big-mushroom,crystal,sell,2500,pokedollars,
big-mushroom,diamond-pearl,sell,2500,pokedollars,
big-mushroom,emerald,sell,2500,pokedollars,
big-mushroom,firered-leafgreen,sell,2500,pokedollars,
big-mushroom,gold-silver,sell,2500,pokedollars,
big-mushroom,heartgold-soulsilver,sell,2500,pokedollars,
big-mushroom,platinum,sell,2500,pokedollars,
big-mushroom,ruby-sapphire,sell,2500,pokedollars,
big-mushroom,sword-shield,sell,10000,pokedollars,Sold to valuable item buyer in Stow-on-Side
big-nugget,omega-ruby-alpha-sapphire,sell,10000,pokedollars,
big-nugget,scarlet-violet,sell,20000,pokedollars,
big-nugget,sun-moon,sell,20000,pokedollars,
big-nugget,sword-shield,sell,20000,pokedollars,
big-nugget,ultra-sun-ultra-moon,sell,20000,pokedollars,
big-nugget,x-y,sell,10000,pokedollars,
big-pearl,black-2-white-2,sell,3750,pokedollars,
big-pearl,brilliant-diamond-shining-pearl,sell,3750,pokedollars,
big-pearl,crystal,buy,3500,pokedollars,
big-pearl,crystal,sell,3750,pokedollars,
big-pearl,diamond-pearl,sell,3750,pokedollars,
big-pearl,emerald,sell,3750,pokedollars,
big-pearl,firered-leafgreen,sell,3750,pokedollars,
big-pearl,gold-silver,sell,3750,pokedollars,
big-pearl,gold-silver,buy,3500,pokedollars,
big-pearl,legends-za,sell,4000,pokedollars,
big-pearl,lets-go-pikachu-lets-go-eevee,sell,4000,pokedollars,
big-pearl,omega-ruby-alpha-sapphire,sell,3750,pokedollars,
big-pearl,platinum,sell,3750,pokedollars,
big-pearl,ruby-sapphire,sell,3750,pokedollars,
big-pearl,scarlet-violet,sell,4000,pokedollars,
big-pearl,sun-moon,sell,4000,pokedollars,
big-pearl,sword-shield,buy,8000,pokedollars,
big-pearl,sword-shield,sell,4000,pokedollars,Can sell for 12000 to valuable item buyer in Stow-on-Side
big-pearl,ultra-sun-ultra-moon,sell,4000,pokedollars,
big-pearl,x-y,sell,3750,pokedollars,
big-root,diamond-pearl,sell,100,pokedollars,
big-root,platinum,sell,100,pokedollars,
big-root,scarlet-violet,buy,10000,pokedollars,
big-root,scarlet-violet,sell,2500,pokedollars,
big-root,sun-moon,sell,2000,pokedollars,
big-root,ultra-sun-ultra-moon,sell,2000,pokedollars,
binding-band,black-white,sell,100,pokedollars,
binding-band,scarlet-violet,sell,5000,pokedollars,
binding-band,scarlet-violet,buy,20000,pokedollars,
binding-band,sun-moon,sell,2000,pokedollars,
binding-band,sword-shield,buy,3000,pokedollars,
binding-band,sword-shield,sell,2000,pokedollars,
binding-band,x-y,sell,100,pokedollars,
bitter-berry,crystal,sell,5,pokedollars,
bitter-berry,gold-silver,sell,5,pokedollars,
black-apricorn,black-2-white-2,sell,10,pokedollars,
black-apricorn,black-white,sell,10,pokedollars,
black-apricorn,crystal,sell,100,pokedollars,
black-apricorn,gold-silver,sell,100,pokedollars,
black-apricorn,lets-go-pikachu-lets-go-eevee,sell,10,pokedollars,
black-apricorn,omega-ruby-alpha-sapphire,sell,10,pokedollars,
black-apricorn,scarlet-violet,sell,50,pokedollars,
black-apricorn,sun-moon,sell,10,pokedollars,
black-apricorn,ultra-sun-ultra-moon,sell,10,pokedollars,
black-apricorn,x-y,sell,10,pokedollars,
black-augurite,legends-arceus,buy,8000,pokedollars,
black-augurite,legends-arceus,sell,500,pokedollars,
black-belt,gold-silver,sell,50,pokedollars,
black-belt,ruby-sapphire,sell,50,pokedollars,
black-belt,scarlet-violet,buy,3000,pokedollars,
black-belt,scarlet-violet,sell,750,pokedollars,
black-belt,sun-moon,sell,500,pokedollars,
black-belt,sword-shield,sell,500,pokedollars,
black-belt,sword-shield,buy,3000,pokedollars,
black-flute,black-white,sell,200,pokedollars,
black-flute,diamond-pearl,sell,200,pokedollars,
black-flute,ruby-sapphire,sell,200,pokedollars,
black-flute,sun-moon,sell,10,pokedollars,
black-flute,x-y,sell,200,pokedollars,
black-glasses,crystal,sell,50,pokedollars,
black-glasses,gold-silver,sell,50,pokedollars,
black-glasses,scarlet-violet,sell,750,pokedollars,
black-glasses,scarlet-violet,buy,3000,pokedollars,
black-glasses,sun-moon,sell,500,pokedollars,
black-glasses,sword-shield,buy,3000,pokedollars,
black-glasses,sword-shield,sell,500,pokedollars,
black-glasses,ultra-sun-ultra-moon,sell,500,pokedollars,
black-sludge,black-2-white-2,sell,100,pokedollars,
black-sludge,black-white,sell,100,pokedollars,
black-sludge,brilliant-diamond-shining-pearl,sell,100,pokedollars,
black-sludge,diamond-pearl,sell,100,pokedollars,
black-sludge,heartgold-soulsilver,sell,100,pokedollars,
black-sludge,omega-ruby-alpha-sapphire,sell,100,pokedollars,
black-sludge,platinum,sell,100,pokedollars,
black-sludge,scarlet-violet,buy,10000,pokedollars,
black-sludge,scarlet-violet,sell,2500,pokedollars,
black-sludge,sun-moon,sell,2000,pokedollars,
black-sludge,sword-shield,buy,3000,pokedollars,
black-sludge,sword-shield,sell,2000,pokedollars,
black-sludge,ultra-sun-ultra-moon,sell,2000,pokedollars,
black-sludge,x-y,sell,100,pokedollars,
black-tumblestone,legends-arceus,buy,80,pokedollars,
black-tumblestone,legends-arceus,sell,20,pokedollars,
blastoisinite,legends-za,buy,100000,pokedollars,
bloom-mail,diamond-pearl,sell,25,pokedollars,
bloom-mail,diamond-pearl,buy,50,pokedollars,
bloom-mail,heartgold-soulsilver,sell,25,pokedollars,
bloom-mail,heartgold-soulsilver,buy,50,pokedollars,
bloom-mail,platinum,buy,50,pokedollars,
bloom-mail,platinum,sell,25,pokedollars,
blue-apricorn,black-white,sell,10,pokedollars,
blue-apricorn,crystal,sell,100,pokedollars,
blue-apricorn,gold,sell,100,pokedollars,
blue-apricorn,lets-go-pikachu-lets-go-eevee,sell,10,pokedollars,
blue-apricorn,omega-ruby-alpha-sapphire,sell,10,pokedollars,
blue-apricorn,scarlet-violet,sell,50,pokedollars,
blue-apricorn,silver,sell,100,pokedollars,
blue-apricorn,sun-moon,sell,10,pokedollars,
blue-apricorn,ultra-sun-ultra-moon,sell,10,pokedollars,
blue-apricorn,x-y,sell,10,pokedollars,
blue-bottle,scarlet-violet,sell,500,pokedollars,
blue-bottle,scarlet-violet,buy,2000,pokedollars,
blue-canari-plush-lv-1,legends-za,buy,3,colorful-screws,
blue-canari-plush-lv-2,legends-za,buy,5,colorful-screws,
blue-canari-plush-lv-3,legends-za,buy,8,colorful-screws,
blue-cup,scarlet-violet,buy,1500,pokedollars,
blue-cup,scarlet-violet,sell,375,pokedollars,
blue-flag-pick,scarlet-violet,sell,30,pokedollars,
blue-flag-pick,scarlet-violet,buy,120,pokedollars,
blue-flute,black-2-white-2,sell,50,pokedollars,Can be sold to the billionaire maniac in Undella Town for 7000 Pokédollars.
blue-flute,black-white,sell,50,pokedollars,Can be sold to the billionaire maniac in Undella Town for 7000 Pokédollars.
blue-flute,diamond-pearl,sell,50,pokedollars,
blue-flute,emerald,sell,50,pokedollars,
blue-flute,firered-leafgreen,sell,50,pokedollars,
blue-flute,heartgold-soulsilver,sell,50,pokedollars,
blue-flute,platinum,sell,50,pokedollars,
blue-flute,ruby-sapphire,sell,50,pokedollars,
blue-flute,sun-moon,sell,10,pokedollars,
blue-flute,ultra-sun-ultra-moon,sell,10,pokedollars,
blue-orb,sun-moon,buy,10000,pokedollars,
blue-orb,ultra-sun-ultra-moon,buy,10000,pokedollars,
blue-poke-ball-pick,scarlet-violet,buy,200,pokedollars,
blue-poke-ball-pick,scarlet-violet,sell,50,pokedollars,
blue-scarf,black-2-white-2,sell,50,pokedollars,
blue-scarf,brilliant-diamond-shining-pearl,sell,50,pokedollars,
blue-scarf,diamond-pearl,sell,50,pokedollars,
blue-scarf,emerald,sell,50,pokedollars,
blue-scarf,firered-leafgreen,sell,50,pokedollars,
blue-scarf,heartgold-soulsilver,sell,50,pokedollars,
blue-scarf,omega-ruby-alpha-sapphire,sell,50,pokedollars,
blue-scarf,platinum,sell,50,pokedollars,
blue-scarf,ruby-sapphire,sell,50,pokedollars,
blue-scarf,sun-moon,sell,50,pokedollars,
blue-scarf,ultra-sun-ultra-moon,sell,50,pokedollars,
blue-scarf,x-y,sell,50,pokedollars,
blue-shard,black-2-white-2,sell,100,pokedollars,
blue-shard,black-white,sell,100,pokedollars,
blue-shard,blue,buy,3000,pokedollars,
blue-shard,brilliant-diamond-shining-pearl,sell,100,pokedollars,
blue-shard,diamond-pearl,sell,100,pokedollars,
blue-shard,emerald,sell,100,pokedollars,
blue-shard,legends-arceus,sell,150,pokedollars,
blue-shard,omega-ruby-alpha-sapphire,sell,100,pokedollars,
blue-shard,platinum,sell,100,pokedollars,
blue-shard,ruby-sapphire,sell,100,pokedollars,
blue-shard,sun-moon,sell,500,pokedollars,
blue-shard,ultra-sun-ultra-moon,sell,500,pokedollars,
blue-shard,x-y,sell,100,pokedollars,
blue-sky-flower-pick,scarlet-violet,buy,1000,pokedollars,
blue-sky-flower-pick,scarlet-violet,sell,250,pokedollars,
blue-tablecloth,scarlet-violet,sell,1250,pokedollars,
blue-tablecloth,scarlet-violet,buy,5000,pokedollars,
blueberry-tablecloth,scarlet-violet,buy,1000,pokedollars,
blueberry-tablecloth,scarlet-violet,sell,250,pokedollars,
bluesky-mail,crystal,sell,55,pokedollars,
bluesky-mail,gold-silver,sell,55,pokedollars,
bluk-berry,black-white,sell,10,pokedollars,Can be sold to gourmet maniac on Route 5 for 500 Pokédollars.
bluk-berry,diamond-pearl,sell,10,pokedollars,
bluk-berry,emerald,sell,10,pokedollars,
bluk-berry,firered-leafgreen,sell,10,pokedollars,
bluk-berry,platinum,sell,10,pokedollars,
bluk-berry,ruby-sapphire,sell,10,pokedollars,
blunder-policy,scarlet-violet,sell,7500,pokedollars,
blunder-policy,scarlet-violet,buy,30000,pokedollars,
blunder-policy,sword-shield,sell,2000,pokedollars,
bobs-food-tin,sword-shield,buy,950,pokedollars,Available for purchase in Sword only
bobs-food-tin,sword-shield,sell,475,pokedollars,
boiled-egg,sword-shield,sell,1100,pokedollars,
boiled-egg,sword-shield,buy,2200,pokedollars,
bold-mint,brilliant-diamond-shining-pearl,sell,10,pokedollars,
bold-mint,legends-arceus,sell,500,pokedollars,
bold-mint,scarlet-violet,sell,5000,pokedollars,
bold-mint,scarlet-violet,buy,20000,pokedollars,
bold-mint,sword-shield,sell,10,pokedollars,
boost-mulch,omega-ruby-alpha-sapphire,sell,100,pokedollars,
boost-mulch,sun-moon,sell,100,pokedollars,
boost-mulch,ultra-sun-ultra-moon,sell,100,pokedollars,
boost-mulch,x-y,sell,100,pokedollars,
bottle-cap,brilliant-diamond-shining-pearl,sell,2500,pokedollars,
bottle-cap,legends-za,sell,5000,pokedollars,
bottle-cap,scarlet-violet,sell,5000,pokedollars,
bottle-cap,scarlet-violet,buy,20000,pokedollars,
bottle-cap,sun-moon,sell,2500,pokedollars,
bottle-cap,sword-shield,sell,2500,pokedollars,
brave-mint,brilliant-diamond-shining-pearl,sell,10,pokedollars,
brave-mint,legends-arceus,sell,500,pokedollars,
brave-mint,scarlet-violet,sell,5000,pokedollars,
brave-mint,scarlet-violet,buy,20000,pokedollars,
brave-mint,sword-shield,sell,10,pokedollars,
bread,sword-shield,sell,75,pokedollars,
bread,sword-shield,buy,150,pokedollars,
brick-mail,diamond-pearl,sell,25,pokedollars,
brick-mail,heartgold-soulsilver,sell,25,pokedollars,
brick-mail,platinum,sell,25,pokedollars,
brick-piece,crystal,sell,25,pokedollars,
brick-piece,crystal,buy,50,pokedollars,
brick-piece,gold,buy,50,pokedollars,
brick-piece,gold,sell,25,pokedollars,
brick-piece,silver,buy,50,pokedollars,
brick-piece,silver,sell,25,pokedollars,
bridgemail-d,black-2-white-2,buy,50,pokedollars,
bridgemail-d,black-2-white-2,sell,25,pokedollars,
bridgemail-d,black-white,buy,50,pokedollars,
bridgemail-d,black-white,sell,25,pokedollars,
bridgemail-m,black-2-white-2,buy,50,pokedollars,
bridgemail-m,black-2-white-2,sell,25,pokedollars,
bridgemail-m,black-white,sell,25,pokedollars,
bridgemail-m,black-white,buy,50,pokedollars,
bridgemail-s,black-2-white-2,buy,50,pokedollars,
bridgemail-s,black-2-white-2,sell,25,pokedollars,
bridgemail-s,black-white,sell,25,pokedollars,
bridgemail-s,black-white,buy,50,pokedollars,
bridgemail-t,black-2-white-2,buy,50,pokedollars,
bridgemail-t,black-2-white-2,sell,25,pokedollars,
bridgemail-t,black-white,buy,50,pokedollars,
bridgemail-t,black-white,sell,25,pokedollars,
bridgemail-v,black-2-white-2,buy,50,pokedollars,
bridgemail-v,black-2-white-2,sell,25,pokedollars,
bridgemail-v,black-white,buy,50,pokedollars,
bridgemail-v,black-white,sell,25,pokedollars,
bright-powder,crystal,sell,5,pokedollars,
bright-powder,emerald,sell,5,pokedollars,
bright-powder,firered-leafgreen,sell,5,pokedollars,
bright-powder,gold-silver,sell,5,pokedollars,
bright-powder,ruby-sapphire,sell,5,pokedollars,
bright-powder,scarlet-violet,buy,30000,pokedollars,
bright-powder,scarlet-violet,sell,7500,pokedollars,
bright-powder,sun-moon,sell,2000,pokedollars,
bright-powder,ultra-sun-ultra-moon,sell,2000,pokedollars,
brittle-bones,sword-shield,buy,950,pokedollars,
brittle-bones,sword-shield,sell,475,pokedollars,
bronze-bottle,scarlet-violet,buy,10000,pokedollars,
bronze-bottle,scarlet-violet,sell,2500,pokedollars,
bronze-cup,scarlet-violet,buy,5000,pokedollars,
bronze-cup,scarlet-violet,sell,1250,pokedollars,
bubble-mail,diamond-pearl,buy,50,pokedollars,
bubble-mail,diamond-pearl,sell,25,pokedollars,
bubble-mail,heartgold-soulsilver,sell,25,pokedollars,
bubble-mail,heartgold-soulsilver,buy,50,pokedollars,
bubble-mail,platinum,buy,50,pokedollars,
bubble-mail,platinum,sell,25,pokedollars,
bug-gem,black-2-white-2,sell,100,pokedollars,
bug-gem,black-white,sell,100,pokedollars,
bug-gem,lets-go-pikachu-lets-go-eevee,sell,100,pokedollars,
bug-gem,omega-ruby-alpha-sapphire,sell,100,pokedollars,
bug-gem,sun-moon,sell,100,pokedollars,
bug-gem,ultra-sun-ultra-moon,sell,100,pokedollars,
bug-gem,x-y,sell,100,pokedollars,
bug-memory,sun-moon,sell,500,pokedollars,
bug-memory,sword-shield,sell,500,pokedollars,
bug-memory,ultra-sun-ultra-moon,sell,500,pokedollars,
bug-tera-shard,scarlet-violet,sell,500,pokedollars,
bugwort,legends-arceus,buy,180,pokedollars,
bugwort,legends-arceus,sell,45,pokedollars,
burn-drive,black-2-white-2,sell,500,pokedollars,
burn-drive,black-white,sell,500,pokedollars,
burn-drive,omega-ruby-alpha-sapphire,sell,500,pokedollars,
burn-drive,x-y,sell,500,pokedollars,
burn-heal,legends-za,sell,25,pokedollars,
burn-heal,legends-za,buy,100,pokedollars,
burn-heal,red-blue,sell,125,pokedollars,
burn-heal,red-blue,buy,250,pokedollars,
burn-heal,scarlet-violet,sell,50,pokedollars,
burn-heal,scarlet-violet,buy,200,pokedollars,
burn-heal,sun-moon,buy,300,pokedollars,
burn-heal,sun-moon,sell,150,pokedollars,
burn-heal,sword-shield,buy,200,pokedollars,
burn-heal,sword-shield,sell,100,pokedollars,
burn-heal,ultra-sun-ultra-moon,sell,150,pokedollars,
burn-heal,ultra-sun-ultra-moon,buy,300,pokedollars,
burn-heal,yellow,sell,125,pokedollars,
burn-heal,yellow,buy,250,pokedollars,
burnt-berry,crystal,sell,5,pokedollars,
burnt-berry,gold-silver,sell,5,pokedollars,
butter,scarlet-violet,buy,250,pokedollars,
butter,scarlet-violet,sell,62,pokedollars,
cake-lure-base,legends-arceus,buy,100,pokedollars,
cake-lure-base,legends-arceus,sell,25,pokedollars,
calcium,red-blue,sell,4900,pokedollars,
calcium,red-blue,buy,9800,pokedollars,
calcium,scarlet-violet,sell,2500,pokedollars,
calcium,scarlet-violet,buy,10000,pokedollars,
calcium,sun-moon,sell,5000,pokedollars,
calcium,sun-moon,buy,10000,pokedollars,
calcium,ultra-sun-ultra-moon,sell,5000,pokedollars,
calcium,ultra-sun-ultra-moon,buy,10000,pokedollars,
calcium,yellow,buy,9800,pokedollars,
calcium,yellow,sell,4900,pokedollars,
calm-mint,brilliant-diamond-shining-pearl,sell,10,pokedollars,
calm-mint,legends-arceus,sell,500,pokedollars,
calm-mint,scarlet-violet,buy,20000,pokedollars,
