id,identifier,name,type,generation_id,image_path,own_entry,name_jp,name_jp_romanized,name_cn_trad,name_cn_simp,name_cn_canto,name_cn_mandarin,name_finnish,name_french,name_german,name_italian,name_korean,name_korean_romanized,name_polish,name_portuguese,name_russian,name_russian_romanized,name_spanish,name_thai,name_vietnamese,name_swedish,name_danish,name_norwegian,name_dutch
27,root,Root,volatile,3,,false,,,,,,,,,,,,,,,,,,,,,,,
28,laser-focus,Laser-Focus,volatile,7,,false,,,,,,,,,,,,,,,,,,,,,,,
29,lock-on,Lock-On,volatile,2,,false,,,,,,,,,,,,,,,,,,,,,,,
30,drowsy,Drowsy,volatile,3,,false,,,,,,,,,,,,,,,,,,,,,,,
31,no-escape,No-Escape,volatile,2,,false,,,,,,,,,,,,,,,,,,,,,,,
32,disable,Disable,volatile,1,,false,,,,,,,,,,,,,,,,,,,,,,,
33,embargo,Embargo,volatile,4,,false,,,,,,,,,,,,,,,,,,,,,,,
34,heal-block,Heal-Block,volatile,4,,false,,,,,,,,,,,,,,,,,,,,,,,
35,imprison,Imprison,volatile,3,,false,,,,,,,,,,,,,,,,,,,,,,,
36,taunt,Taunt,volatile,3,,false,,,,,,,,,,,,,,,,,,,,,,,
37,throat-chop,Throat-Chop,volatile,7,,false,,,,,,,,,,,,,,,,,,,,,,,
38,torment,Torment,volatile,3,,false,,,,,,,,,,,,,,,,,,,,,,,
39,confusion,Confusion,volatile,1,https://cdn.pokedb.org/f162481dfa0d44b10562d008124e021314440a2180a1d25e8fe414ad8c2b1b0d,true,混乱,Konran,混亂,混乱,Wahnlyuhn,Hùnluàn,Hämmennys,Confusion,Verwirrung,Confusione,혼란,Hollan,Oszołomienie,Confusão,,,Confusión,,Hỗn loạn,Förvirring,Svimmel,Forvirring,
40,infatuation,Infatuation,volatile,2,https://cdn.pokedb.org/09b808ad3b40c5d8d9d484a24f073d815c3d68c8b296c1d2ca667f7a2ff92403,false,,,,,,,,,,,,,,,,,,,,,,,
41,choice-lock,Choice-Lock,volatile,3,,false,,,,,,,,,,,,,,,,,,,,,,,
42,encore,Encore,volatile,2,,false,,,,,,,,,,,,,,,,,,,,,,,
43,rampage,Rampage,volatile,1,,false,,,,,,,,,,,,,,,,,,,,,,,
44,fixated,Fixated,volatile,8,,false,,,,,,,,,,,,,,,,,,,,,,,
45,recharging,Recharging,volatile,1,,false,,,,,,,,,,,,,,,,,,,,,,,
46,charging-up,Charging-Up,volatile,1,,false,,,,,,,,,,,,,,,,,,,,,,,
47,semi-invulnerable,Semi-Invulnerable,volatile,1,,false,,,,,,,,,,,,,,,,,,,,,,,
48,flinch,Flinch,transient,1,https://cdn.pokedb.org/0bf204778d94c12da1796a7b742f74dff77a5a7ad6d8a83ed6c19b1260d354fc,false,,,,,,,,,,,,,,,,,,,,,,,
49,magic-coat,Magic Coat,transient,3,,false,,,,,,,,,,,,,,,,,,,,,,,
50,bracing,Bracing,transient,2,,false,,,,,,,,,,,,,,,,,,,,,,,
51,center-of-attention,Center Of Attention,transient,3,,false,,,,,,,,,,,,,,,,,,,,,,,
