item_identifier,image_path,image_path_small,version_identifier
academy-cup,https://cdn.pokedb.org/69295ed4a7b4fa84f5af830ac5945b1da8d4889391e7886c6432ab9c16239824,https://cdn.pokedb.org/69295ed4a7b4fa84f5af830ac5945b1da8d4889391e7886c6432ab9c16239824w20h20,scarlet-violet
academy-tablecloth,https://cdn.pokedb.org/69295ed4a7b4fa84f5af830ac5945b1da8d4889391e7886c6432ab9c16239824,https://cdn.pokedb.org/69295ed4a7b4fa84f5af830ac5945b1da8d4889391e7886c6432ab9c16239824w20h20,scarlet-violet
acro-bike,https://cdn.pokedb.org/f6aab72b0d59a43c4f32423b9518bec64fc019b7405a7a7639d9c2a123ebd5b7,https://cdn.pokedb.org/f6aab72b0d59a43c4f32423b9518bec64fc019b7405a7a7639d9c2a123ebd5b7w20h20,platinum
acro-bike,https://cdn.pokedb.org/7318df3fe45f7515cedda94dcd3e226e525a68eeabbf64836a12e89598799eb0,https://cdn.pokedb.org/7318df3fe45f7515cedda94dcd3e226e525a68eeabbf64836a12e89598799eb0w20h20,firered-leafgreen
adamant-crystal,https://cdn.pokedb.org/b6394d9057f4125790932a84b752e0eb266e3cf7f86e02c054bb17b2210a892d,https://cdn.pokedb.org/b6394d9057f4125790932a84b752e0eb266e3cf7f86e02c054bb17b2210a892dw20h20,scarlet-violet
adamant-crystal,https://cdn.pokedb.org/db41512ee9b5593f69f1b50fae902477d572eae62ae6a2c916a2abe659fcf690,https://cdn.pokedb.org/db41512ee9b5593f69f1b50fae902477d572eae62ae6a2c916a2abe659fcf690w20h20,legends-arceus
adamant-mint,https://cdn.pokedb.org/ece497e0a0dbcd4f454ef867d6c9f1f575d03991c398cb165bdddc473fbe0e4b,https://cdn.pokedb.org/ece497e0a0dbcd4f454ef867d6c9f1f575d03991c398cb165bdddc473fbe0e4bw20h20,scarlet-violet
adamant-mint,https://cdn.pokedb.org/3c3c93e9e93bf903b498872b33df965a7c5906e9ea46eaf6fb2ff1496372affa,https://cdn.pokedb.org/3c3c93e9e93bf903b498872b33df965a7c5906e9ea46eaf6fb2ff1496372affaw20h20,legends-arceus
adamant-mint,https://cdn.pokedb.org/b8cadfad7b6c01881e58f2ea97bed17c281e03b15457d5f45dee065f0c5c93cc,https://cdn.pokedb.org/b8cadfad7b6c01881e58f2ea97bed17c281e03b15457d5f45dee065f0c5c93ccw20h20,brilliant-diamond-shining-pearl
adamant-mint,https://cdn.pokedb.org/312f0b21196ba99b831a9280aeeb72da1938f7b37ecbe337c5716b0e2dc5342e,https://cdn.pokedb.org/312f0b21196ba99b831a9280aeeb72da1938f7b37ecbe337c5716b0e2dc5342ew20h20,sword-shield
adamant-orb,https://cdn.pokedb.org/462fb80f56a6e17c3bb4ab1fb1cfd843505b05178242b8823bc040782d1072fa,https://cdn.pokedb.org/462fb80f56a6e17c3bb4ab1fb1cfd843505b05178242b8823bc040782d1072faw20h20,diamond-pearl
adamant-orb,https://cdn.pokedb.org/1e61602a7a6159dbb28305a15786ac7f34cdec57817e31a936ae0ca3ede303b0,https://cdn.pokedb.org/1e61602a7a6159dbb28305a15786ac7f34cdec57817e31a936ae0ca3ede303b0w20h20,scarlet-violet
adamant-orb,https://cdn.pokedb.org/dd92c8a9159342c66e812232bd385442f15195cc7985b547e4dba8394b9329b6,https://cdn.pokedb.org/dd92c8a9159342c66e812232bd385442f15195cc7985b547e4dba8394b9329b6w20h20,brilliant-diamond-shining-pearl
adrenaline-orb,https://cdn.pokedb.org/1100a2d232c66695da5ba0cc3867c4851b330229ab84158c148a8428d87d09dd,https://cdn.pokedb.org/1100a2d232c66695da5ba0cc3867c4851b330229ab84158c148a8428d87d09ddw20h20,scarlet-violet
adrenaline-orb,https://cdn.pokedb.org/ebbb6ea9a900a4dbcd82d7473507e989129ae9d440039f2d181d7ee7a0ecea18,https://cdn.pokedb.org/ebbb6ea9a900a4dbcd82d7473507e989129ae9d440039f2d181d7ee7a0ecea18w20h20,sun-moon
adventure-guide,https://cdn.pokedb.org/ad4d99ea5520823ec4612bad5ade12d43c47bedfae20820cd87509d4353cbed4,https://cdn.pokedb.org/ad4d99ea5520823ec4612bad5ade12d43c47bedfae20820cd87509d4353cbed4w20h20,x-y
aerodactyl-candy,https://cdn.pokedb.org/06adcf5b26acbe59ed3495cf9fb2c01239579dbc57d09ec1e6b8a11ae29cf7e4,https://cdn.pokedb.org/06adcf5b26acbe59ed3495cf9fb2c01239579dbc57d09ec1e6b8a11ae29cf7e4w20h20,go
aerodactylite,https://cdn.pokedb.org/f3bd799f676a5123ccc9c3dcb3c09183ca21fd4be4eba41baec257048a940b0e,https://cdn.pokedb.org/f3bd799f676a5123ccc9c3dcb3c09183ca21fd4be4eba41baec257048a940b0ew20h20,x-y
aggronite,https://cdn.pokedb.org/11881f8ce87e6d84fffd8bcd7f5bbe0456ec31cc17239896af5f06493e9131b9,https://cdn.pokedb.org/11881f8ce87e6d84fffd8bcd7f5bbe0456ec31cc17239896af5f06493e9131b9w20h20,x-y
aguav-berry,https://cdn.pokedb.org/249a5f45b87736b53681684858938a416804e7883cd8387ce3fd554811f612e3,https://cdn.pokedb.org/249a5f45b87736b53681684858938a416804e7883cd8387ce3fd554811f612e3w20h20,scarlet-violet
aguav-berry,https://cdn.pokedb.org/1b7ac9a7c04367ad16c1a2327c74714a2b953dfd0f54daf642194e390c66ab8a,https://cdn.pokedb.org/1b7ac9a7c04367ad16c1a2327c74714a2b953dfd0f54daf642194e390c66ab8aw20h20,firered-leafgreen
aguav-berry,https://cdn.pokedb.org/088ee177619f11052940c6b492c77896a0aa76fbc380aa8d4711cd18b4255632,https://cdn.pokedb.org/088ee177619f11052940c6b492c77896a0aa76fbc380aa8d4711cd18b4255632w20h20,ruby-sapphire
aguav-berry,https://cdn.pokedb.org/10b994a29145bfcb6af9102498685c6e66e78c2ea3e2347a43b3ef21c602cd2f,https://cdn.pokedb.org/10b994a29145bfcb6af9102498685c6e66e78c2ea3e2347a43b3ef21c602cd2fw20h20,brilliant-diamond-shining-pearl
aguav-berry,https://cdn.pokedb.org/002f82a3928047db7b8bd84f0f756d6f1ee858c830f443c022017b0059dc69f1,https://cdn.pokedb.org/002f82a3928047db7b8bd84f0f756d6f1ee858c830f443c022017b0059dc69f1w20h20,legends-arceus
aipom-hair,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,scarlet-violet
air-balloon,https://cdn.pokedb.org/6f723896f2cc5560b50736118d7327aa59958ba147e58514b5c5055a9750f186,https://cdn.pokedb.org/6f723896f2cc5560b50736118d7327aa59958ba147e58514b5c5055a9750f186w20h20,scarlet-violet
air-balloon,https://cdn.pokedb.org/a8bbe84f15908309f4060ba18ea4734c67d6f87ae48415439c942d63bd58d7f6,https://cdn.pokedb.org/a8bbe84f15908309f4060ba18ea4734c67d6f87ae48415439c942d63bd58d7f6w20h20,black-white
air-mail,https://cdn.pokedb.org/21b4a52a1fd58bf061e846968aacbed7dda798d1b63d88e0afa589a2f63e9801,https://cdn.pokedb.org/21b4a52a1fd58bf061e846968aacbed7dda798d1b63d88e0afa589a2f63e9801w20h20,diamond-pearl
alakazite,https://cdn.pokedb.org/ac756d65bf367dc70b73e90a053cc08cbba0fafaf98822688bc766c52cc64f0b,https://cdn.pokedb.org/ac756d65bf367dc70b73e90a053cc08cbba0fafaf98822688bc766c52cc64f0bw20h20,x-y
alomomola-mucus,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,scarlet-violet
aloraichium-z,https://cdn.pokedb.org/4c52c2735f8a22f8d0cf8763def5d37cead528b8d84131c97c5f45c10307f35f,https://cdn.pokedb.org/4c52c2735f8a22f8d0cf8763def5d37cead528b8d84131c97c5f45c10307f35fw20h20,sun-moon
aloraichium-z,https://cdn.pokedb.org/96459f62958f6a082ca90215d2edd3aa12e48d9d8a63389253798f8be7adaf4a,https://cdn.pokedb.org/96459f62958f6a082ca90215d2edd3aa12e48d9d8a63389253798f8be7adaf4aw20h20,sun-moon
altarianite,https://cdn.pokedb.org/74f8a90300dfe7d594c62b42798ee21e24bc6b65ad458aec7c86f36878a238eb,https://cdn.pokedb.org/74f8a90300dfe7d594c62b42798ee21e24bc6b65ad458aec7c86f36878a238ebw20h20,platinum
amaze-mulch,https://cdn.pokedb.org/a414dda31143e8c1218f4cf8f42c85675ae900b9431d607b8be84e5d1fd6afc3,https://cdn.pokedb.org/a414dda31143e8c1218f4cf8f42c85675ae900b9431d607b8be84e5d1fd6afc3w20h20,x-y
ampharosite,https://cdn.pokedb.org/b646680fbfc83bf2eed1b73fc980e1b36690419febd186b9d5bd66531a26eac6,https://cdn.pokedb.org/b646680fbfc83bf2eed1b73fc980e1b36690419febd186b9d5bd66531a26eac6w20h20,x-y
amulet-coin,https://cdn.pokedb.org/3ce4798f430769c4b735d7071c0b6613fb50eead9c8542563fed5d1d59520860,https://cdn.pokedb.org/3ce4798f430769c4b735d7071c0b6613fb50eead9c8542563fed5d1d59520860w20h20,scarlet-violet
amulet-coin,https://cdn.pokedb.org/25cc729b995dde11bf7a98efb60a77335a85cd4ab377f21df1fde4304fa1a330,https://cdn.pokedb.org/25cc729b995dde11bf7a98efb60a77335a85cd4ab377f21df1fde4304fa1a330w20h20,brilliant-diamond-shining-pearl
amulet-coin,https://cdn.pokedb.org/f02f0ec7c998c1aa8dc2a1032b57c7c26cffef48383dc75f7b6932412ba05432,https://cdn.pokedb.org/f02f0ec7c998c1aa8dc2a1032b57c7c26cffef48383dc75f7b6932412ba05432w20h20,x-y
amulet-coin,https://cdn.pokedb.org/00a5f6c55eadda5dcbdec459e36700cf87c2921cb15075e02ed6b240d5949916,https://cdn.pokedb.org/00a5f6c55eadda5dcbdec459e36700cf87c2921cb15075e02ed6b240d5949916w20h20,firered-leafgreen
amulet-coin,https://cdn.pokedb.org/274a006f8212eb57356cf386627e2cc6441e8bd0d2717283d9b0c55cb4c79e82,https://cdn.pokedb.org/274a006f8212eb57356cf386627e2cc6441e8bd0d2717283d9b0c55cb4c79e82w20h20,scarlet-violet
antidote,https://cdn.pokedb.org/a6e1da27be647c029891d79f2ac27f41e40dc4d5d938da21f0d17ff2d973988b,https://cdn.pokedb.org/a6e1da27be647c029891d79f2ac27f41e40dc4d5d938da21f0d17ff2d973988bw20h20,black-white
antidote,https://cdn.pokedb.org/5e227c3aa204115c52309f6cf2f3344336a3cf068ec6b9be1e893e74ef8bf795,https://cdn.pokedb.org/5e227c3aa204115c52309f6cf2f3344336a3cf068ec6b9be1e893e74ef8bf795w20h20,brilliant-diamond-shining-pearl
antidote,https://cdn.pokedb.org/3a849fa2d0f81d6e89e153142db8843a18efded7cd3fda4a4782cddf0a1fa4fa,https://cdn.pokedb.org/3a849fa2d0f81d6e89e153142db8843a18efded7cd3fda4a4782cddf0a1fa4faw20h20,scarlet-violet
antidote,https://cdn.pokedb.org/fc27c38f32f4a4082e281e7c471db17aa03a6b1aca27693cfa5a3955d56c0827,https://cdn.pokedb.org/fc27c38f32f4a4082e281e7c471db17aa03a6b1aca27693cfa5a3955d56c0827w20h20,firered-leafgreen
apicot-berry,https://cdn.pokedb.org/836471b43e336b828dd46afcf1dd7713834c1781cfb84b082db831b29fdf27af,https://cdn.pokedb.org/836471b43e336b828dd46afcf1dd7713834c1781cfb84b082db831b29fdf27afw20h20,brilliant-diamond-shining-pearl
apicot-berry,https://cdn.pokedb.org/2fbf250f8f747c479c5021484a528f152dddc520585e902b70736787f526c8a6,https://cdn.pokedb.org/2fbf250f8f747c479c5021484a528f152dddc520585e902b70736787f526c8a6w20h20,scarlet-violet
apicot-berry,https://cdn.pokedb.org/aa429250b9d5230c9d7500575c50e56101d1f2a432ba96ed8a32bc9d68c5e500,https://cdn.pokedb.org/aa429250b9d5230c9d7500575c50e56101d1f2a432ba96ed8a32bc9d68c5e500w20h20,ruby-sapphire
apicot-berry,https://cdn.pokedb.org/ad407b8f521848efbd34f7dda506e8b9976d6785e94c9b88ea3f877cca66ab54,https://cdn.pokedb.org/ad407b8f521848efbd34f7dda506e8b9976d6785e94c9b88ea3f877cca66ab54w20h20,firered-leafgreen
apple,https://cdn.pokedb.org/c85785475e1eaf9b278b60e60a460fcfd24b0126f9ab8de12959fd3029e6d35c,https://cdn.pokedb.org/c85785475e1eaf9b278b60e60a460fcfd24b0126f9ab8de12959fd3029e6d35cw20h20,scarlet-violet
applin-juice,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,scarlet-violet
apricorn-box,https://cdn.pokedb.org/e767edde8f41d514e17968d883dd1edad9c99637063fa653c2344b25c005209d,https://cdn.pokedb.org/e767edde8f41d514e17968d883dd1edad9c99637063fa653c2344b25c005209dw20h20,heartgold-soulsilver
aqua-suit,https://cdn.pokedb.org/11cac907c1c69c7aed3f2a788ffeddf7c556f7aeb278590f82e8e1ed9151492f,https://cdn.pokedb.org/11cac907c1c69c7aed3f2a788ffeddf7c556f7aeb278590f82e8e1ed9151492fw20h20,platinum
armor-fossil,https://cdn.pokedb.org/054ea7fa3688cd09ffd3aabd3abd4962463c05b063069c59ac5d088bca8a3b26,https://cdn.pokedb.org/054ea7fa3688cd09ffd3aabd3abd4962463c05b063069c59ac5d088bca8a3b26w20h20,diamond-pearl
armor-pass,https://cdn.pokedb.org/adf43bc49fcbfd05fb549bf8fd849f0555d789668dc5d02213e44ca32d234a5c,https://cdn.pokedb.org/adf43bc49fcbfd05fb549bf8fd849f0555d789668dc5d02213e44ca32d234a5cw20h20,sword-shield
armorite-ore,https://cdn.pokedb.org/fddcc3a383c21b06eb585fde4f1f489d6cdf8267f682404f6cf7f9e71b341179,https://cdn.pokedb.org/fddcc3a383c21b06eb585fde4f1f489d6cdf8267f682404f6cf7f9e71b341179w20h20,sword-shield
arrokuda-scales,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,scarlet-violet
articuno-candy,https://cdn.pokedb.org/4ac98a5c5959d74538f1891e26892143e7a7e3e245aa5bc5d581e1924d2d4dbb,https://cdn.pokedb.org/4ac98a5c5959d74538f1891e26892143e7a7e3e245aa5bc5d581e1924d2d4dbbw20h20,go
articuno-treat,https://cdn.pokedb.org/11396ecb0ac496e1454467b99bdc139e62287d80089b8eba679dc61d57b11c9c,https://cdn.pokedb.org/11396ecb0ac496e1454467b99bdc139e62287d80089b8eba679dc61d57b11c9cw20h20,the-indigo-disk
aspear-berry,https://cdn.pokedb.org/b7d3773ce6eac0b88dbfc8430aaad90419c642e8d0c3a1ffa629d4266182e758,https://cdn.pokedb.org/b7d3773ce6eac0b88dbfc8430aaad90419c642e8d0c3a1ffa629d4266182e758w20h20,legends-arceus
aspear-berry,https://cdn.pokedb.org/51a3227914cf1c4a474696542abe1320b81af9a11a9304d89c51bfc1c50afd35,https://cdn.pokedb.org/51a3227914cf1c4a474696542abe1320b81af9a11a9304d89c51bfc1c50afd35w20h20,brilliant-diamond-shining-pearl
aspear-berry,https://cdn.pokedb.org/d1c98ed2ad93955f14f44173ec9f59836a4a399e2db59b571d8533290a4d9a3a,https://cdn.pokedb.org/d1c98ed2ad93955f14f44173ec9f59836a4a399e2db59b571d8533290a4d9a3aw20h20,scarlet-violet
aspear-berry,https://cdn.pokedb.org/16fc490cf598ca4f4e64508217d667060694aa352f1fe5f5590082852608f888,https://cdn.pokedb.org/16fc490cf598ca4f4e64508217d667060694aa352f1fe5f5590082852608f888w20h20,firered-leafgreen
aspear-berry,https://cdn.pokedb.org/9569df19a39878da5d74cefe7b65371505bf3a6588991ff4940db888fbfc1df6,https://cdn.pokedb.org/9569df19a39878da5d74cefe7b65371505bf3a6588991ff4940db888fbfc1df6w20h20,ruby-sapphire
assault-vest,https://cdn.pokedb.org/ac679fc32905fc4072f8bf6be4a7190c08a6386719ac92d91a8a853190dce657,https://cdn.pokedb.org/ac679fc32905fc4072f8bf6be4a7190c08a6386719ac92d91a8a853190dce657w20h20,x-y
assault-vest,https://cdn.pokedb.org/471e9db819a053d0fe17528832ed1adc42add89df12b04268efaee69413f2965,https://cdn.pokedb.org/471e9db819a053d0fe17528832ed1adc42add89df12b04268efaee69413f2965w20h20,scarlet-violet
audinite,https://cdn.pokedb.org/936e44b0304b690b506df8b532f579132512de52cbc3c1aacdf59c4b7e200362,https://cdn.pokedb.org/936e44b0304b690b506df8b532f579132512de52cbc3c1aacdf59c4b7e200362w20h20,platinum
aurora-ticket,https://cdn.pokedb.org/b601d12f76065db3726bfa017eacd79f2eac1a5797b371c05d283782611b3e83,https://cdn.pokedb.org/b601d12f76065db3726bfa017eacd79f2eac1a5797b371c05d283782611b3e83w20h20,firered-leafgreen
auspicious-armor,https://cdn.pokedb.org/9688bdb5c0da31975703700439576b0c260eb782c0fa95e5d77d4095ae18be86,https://cdn.pokedb.org/9688bdb5c0da31975703700439576b0c260eb782c0fa95e5d77d4095ae18be86w20h20,scarlet-violet
autograph,https://cdn.pokedb.org/c247dd16deb46bf9cbfcf2199ed93f3642e5f75107d8e63d9dd28f91f47ee917,https://cdn.pokedb.org/c247dd16deb46bf9cbfcf2199ed93f3642e5f75107d8e63d9dd28f91f47ee917w20h20,lets-go-pikachu-lets-go-eevee
avocado,https://cdn.pokedb.org/cedc21c93ea5b98d5b091c2de093d9eea2b22798a66ead11dfa93344ef9d9e2c,https://cdn.pokedb.org/cedc21c93ea5b98d5b091c2de093d9eea2b22798a66ead11dfa93344ef9d9e2cw20h20,scarlet-violet
awakening,https://cdn.pokedb.org/bb3f88b630fec180701f137f0021dae70df2d137ecbc9c17ebaa6a88b3d8ff44,https://cdn.pokedb.org/bb3f88b630fec180701f137f0021dae70df2d137ecbc9c17ebaa6a88b3d8ff44w20h20,black-white
awakening,https://cdn.pokedb.org/ab5481419f9cbb95004159b42da77ee93eeabe2d836d951f4f3bb0816e423a3b,https://cdn.pokedb.org/ab5481419f9cbb95004159b42da77ee93eeabe2d836d951f4f3bb0816e423a3bw20h20,brilliant-diamond-shining-pearl
awakening,https://cdn.pokedb.org/b377a20ed4deaadd6ef00d6ebb6a864d45165377bc20032347ba95a9179e0416,https://cdn.pokedb.org/b377a20ed4deaadd6ef00d6ebb6a864d45165377bc20032347ba95a9179e0416w20h20,scarlet-violet
awakening,https://cdn.pokedb.org/e2acce241aa5be9564b8242d04a00efb6367b06ea436c450ed94abac0a8dea00,https://cdn.pokedb.org/e2acce241aa5be9564b8242d04a00efb6367b06ea436c450ed94abac0a8dea00w20h20,firered-leafgreen
axew-scales,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,scarlet-violet
azure-flute,https://cdn.pokedb.org/60b456d7f8e561202527946902879220704a30de33b8ae4af521eb30189604b6,https://cdn.pokedb.org/60b456d7f8e561202527946902879220704a30de33b8ae4af521eb30189604b6w20h20,legends-arceus
azure-flute,https://cdn.pokedb.org/da79941dc0b45a07c7e53902cc547b5f1a064547285238ef3a0c5c2523dae9e4,https://cdn.pokedb.org/da79941dc0b45a07c7e53902cc547b5f1a064547285238ef3a0c5c2523dae9e4w20h20,brilliant-diamond-shining-pearl
azure-flute,https://cdn.pokedb.org/8ee3c1f4bf80471bd8c33a243fa53c392ebbbab1ea021b0a80494eb0c80265bd,https://cdn.pokedb.org/8ee3c1f4bf80471bd8c33a243fa53c392ebbbab1ea021b0a80494eb0c80265bdw20h20,diamond-pearl
azurill-fur,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,scarlet-violet
babiri-berry,https://cdn.pokedb.org/b89d605963c323c0b9a38cb8ba28392a929dabf3b2090abec48f09715b9f6220,https://cdn.pokedb.org/b89d605963c323c0b9a38cb8ba28392a929dabf3b2090abec48f09715b9f6220w20h20,diamond-pearl
babiri-berry,https://cdn.pokedb.org/80637436f49e98242fb0e06dc241d7ea5f38466054ac9a4459aebb45f8f96a4d,https://cdn.pokedb.org/80637436f49e98242fb0e06dc241d7ea5f38466054ac9a4459aebb45f8f96a4dw20h20,scarlet-violet
babiri-berry,https://cdn.pokedb.org/bb827d9e8f38947a445f71025c9185cc23b419be4f7a180dd4cc3c7adf8bb2a1,https://cdn.pokedb.org/bb827d9e8f38947a445f71025c9185cc23b419be4f7a180dd4cc3c7adf8bb2a1w20h20,brilliant-diamond-shining-pearl
bachs-food-tin,https://cdn.pokedb.org/7545f819e154366555d81fa4cb9a0ec6d03ac63e95c8ac8bb08e1feef379eee8,https://cdn.pokedb.org/7545f819e154366555d81fa4cb9a0ec6d03ac63e95c8ac8bb08e1feef379eee8w20h20,sword-shield
bacon,https://cdn.pokedb.org/6481a068483f84bcc94ed793e4894d777c3a4cca34099d184c7af608d1a58e7f,https://cdn.pokedb.org/6481a068483f84bcc94ed793e4894d777c3a4cca34099d184c7af608d1a58e7fw20h20,scarlet-violet
bagon-scales,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45,https://cdn.pokedb.org/d93fb90bdc2ee50ccb8f262d9e69f5cbd26e7e6c1bbbc5a2d18d5302aa55ed45w20h20,scarlet-violet
baguette,https://cdn.pokedb.org/009c87990830b215735aae8077ef42d81bdfcd24960dca6f20f8d73c5e697d99,https://cdn.pokedb.org/009c87990830b215735aae8077ef42d81bdfcd24960dca6f20f8d73c5e697d99w20h20,scarlet-violet
balm-mushroom,https://cdn.pokedb.org/2cf4086a332d110d1997d4a0c211e0f9c443602a0cdaad545655044bd79a52a7,https://cdn.pokedb.org/2cf4086a332d110d1997d4a0c211e0f9c443602a0cdaad545655044bd79a52a7w20h20,black-white
balm-mushroom,https://cdn.pokedb.org/350d5c429555323f5254100d5ea099fbb7d127bf2426f584e57a6fa6530dc3fc,https://cdn.pokedb.org/350d5c429555323f5254100d5ea099fbb7d127bf2426f584e57a6fa6530dc3fcw20h20,scarlet-violet
banana,https://cdn.pokedb.org/4c93244b5e31c6715ddfc10be9d1275425ded8a6f4295ffb672bc90923f2e44c,https://cdn.pokedb.org/4c93244b5e31c6715ddfc10be9d1275425ded8a6f4295ffb672bc90923f2e44cw20h20,scarlet-violet
band-autograph,https://cdn.pokedb.org/17342f6551872aa6f940d95bb8ba3b7fd7de56be6ecb593f614a3145e7ef0021,https://cdn.pokedb.org/17342f6551872aa6f940d95bb8ba3b7fd7de56be6ecb593f614a3145e7ef0021w20h20,sword-shield
banettite,https://cdn.pokedb.org/4fe2cec25d73dd48d5c4daecbc614560aadf873946f471e30f06b92f69e1f14d,https://cdn.pokedb.org/4fe2cec25d73dd48d5c4daecbc614560aadf873946f471e30f06b92f69e1f14dw20h20,x-y
