move_id,version_identifier,flavor_text
9,black-white,The target is punched with an electrified fist. It may also leave the target with paralysis.
9,crystal,An electric punch. It may paralyze.
9,diamond-pearl,The foe is punched with an electrified fist. It may leave the target with paralysis.
9,emerald,An electrified punch that may paralyze the foe.
9,firered-leafgreen,The foe is punched with an electrified fist. It may leave the foe paralyzed.
9,gold-silver,An electric punch. It may paralyze.
9,heartgold-soulsilver,The foe is punched with an electrified fist. It may leave the target with paralysis.
9,lets-go-pikachu-lets-go-eevee,The target is punched with an electrified fist. This may also leave the target with paralysis.
9,omega-ruby-alpha-sapphire,The target is punched with an electrified fist. This may also leave the target with paralysis.
9,platinum,The foe is punched with an electrified fist. It may leave the target with paralysis.
9,ruby-sapphire,An electrified punch that may paralyze the foe.
9,sun-moon,The target is punched with an electrified fist. This may also leave the target with paralysis.
9,sword-shield,The target is punched with an electrified fist. This may also leave the target with paralysis.
9,ultra-sun-ultra-moon,The target is punched with an electrified fist. This may also leave the target with paralysis.
9,x-y,The target is punched with an electrified fist. This may also leave the target with paralysis.
10,black-2-white-2,"Hard, pointed, and sharp claws rake the target to inflict damage."
10,black-white,"Hard, pointed, and sharp claws rake the target to inflict damage."
10,crystal,Scratches with sharp claws.
10,diamond-pearl,"Hard, pointed, and sharp claws rake the foe to inflict damage."
10,emerald,Scratches the foe with sharp claws.
10,firered-leafgreen,"Hard, pointed, and sharp claws rake the foe."
10,gold-silver,Scratches with sharp claws.
10,heartgold-soulsilver,"Hard, pointed, and sharp claws rake the foe to inflict damage."
10,lets-go-pikachu-lets-go-eevee,"Hard, pointed, sharp claws rake the target to inflict damage."
10,omega-ruby-alpha-sapphire,"Hard, pointed, sharp claws rake the target to inflict damage."
10,platinum,"Hard, pointed, and sharp claws rake the foe to inflict damage."
10,ruby-sapphire,Scratches the foe with sharp claws.
10,sun-moon,"Hard, pointed, sharp claws rake the target to inflict damage."
10,sword-shield,"Hard, pointed, sharp claws rake the target to inflict damage."
10,ultra-sun-ultra-moon,"Hard, pointed, sharp claws rake the target to inflict damage."
10,x-y,"Hard, pointed, sharp claws rake the target to inflict damage."
11,black-2-white-2,The target is gripped and squeezed from both sides to inflict damage.
11,black-white,The target is gripped and squeezed from both sides to inflict damage.
11,crystal,Grips with powerful pincers.
11,diamond-pearl,"Huge, impressive pincers grip and squeeze the foe."
11,emerald,Grips the foe with large and powerful pincers.
11,firered-leafgreen,"Huge, impressive pincers grip and squeeze the foe."
11,gold-silver,Grips with powerful pincers.
11,heartgold-soulsilver,"Huge, impressive pincers grip and squeeze the foe."
11,lets-go-pikachu-lets-go-eevee,The target is gripped and squeezed from both sides to inflict damage.
11,omega-ruby-alpha-sapphire,The target is gripped and squeezed from both sides to inflict damage.
11,platinum,"Huge, impressive pincers grip and squeeze the foe."
11,ruby-sapphire,Grips the foe with large and powerful pincers.
11,sun-moon,The target is gripped and squeezed from both sides to inflict damage.
11,sword-shield,The target is gripped and squeezed from both sides to inflict damage.
11,ultra-sun-ultra-moon,The target is gripped and squeezed from both sides to inflict damage.
11,x-y,The target is gripped and squeezed from both sides to inflict damage.
12,black-2-white-2,"A vicious, tearing attack with big pincers. The target will faint instantly if this attack hits."
12,black-white,"A vicious, tearing attack with big pincers. The target will faint instantly if this attack hits."
12,crystal,"A one-hit KO, pincer attack."
12,diamond-pearl,"A vicious, tearing attack with pincers. The foe will faint instantly if this attack hits."
12,emerald,A powerful pincer attack that may cause fainting.
12,firered-leafgreen,A vicious tearing attack with pincers. The foe will faint if it hits.
12,gold-silver,"A one-hit KO, pincer attack."
12,heartgold-soulsilver,"A vicious, tearing attack with pincers. The foe will faint instantly if this attack hits."
12,lets-go-pikachu-lets-go-eevee,"A vicious, tearing attack with big pincers. The target faints instantly if this attack hits."
12,omega-ruby-alpha-sapphire,"A vicious, tearing attack with big pincers. The target faints instantly if this attack hits."
12,platinum,"A vicious, tearing attack with pincers. The foe will faint instantly if this attack hits."
12,ruby-sapphire,A powerful pincer attack that may cause fainting.
12,sun-moon,"A vicious, tearing attack with big pincers. The target faints instantly if this attack hits."
12,sword-shield,"A vicious, tearing attack with big pincers. The target faints instantly if this attack hits."
12,ultra-sun-ultra-moon,"A vicious, tearing attack with big pincers. The target faints instantly if this attack hits."
12,x-y,"A vicious, tearing attack with big pincers. The target faints instantly if this attack hits."
13,black-2-white-2,A two-turn attack. Blades of wind hit opposing Pokémon on the second turn. Critical hits land more easily.
13,black-white,A two-turn attack. Blades of wind hit opposing Pokémon on the second turn. Critical hits land more easily.
13,crystal,1st turn: Prepare 2nd turn: Attack
13,diamond-pearl,A two-turn attack. Blades of wind hit the foe on the second turn. It has a high critical-hit ratio.
13,emerald,A 2-turn move that strikes the foe on the 2nd turn.
13,firered-leafgreen,Blades of wind hit the foe on the 2nd turn. It has a high critical-hit ratio.
13,gold-silver,1st turn: Prepare 2nd turn: Attack
13,heartgold-soulsilver,A two-turn attack. Blades of wind hit the foe on the second turn. It has a high critical-hit ratio.
13,lets-go-pikachu-lets-go-eevee,"In this two-turn attack, blades of wind hit opposing Pokémon on the second turn. Critical hits land more easily."
13,omega-ruby-alpha-sapphire,A two-turn attack. Blades of wind hit opposing Pokémon on the second turn. Critical hits land more easily.
13,platinum,A two-turn attack. Blades of wind hit the foe on the second turn. It has a high critical-hit ratio.
13,ruby-sapphire,A 2-turn move that strikes the foe on the 2nd turn.
13,sun-moon,"In this two-turn attack, blades of wind hit opposing Pokémon on the second turn. Critical hits land more easily."
13,sword-shield,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered."
13,ultra-sun-ultra-moon,"In this two-turn attack, blades of wind hit opposing Pokémon on the second turn. Critical hits land more easily."
13,x-y,A two-turn attack. Blades of wind hit opposing Pokémon on the second turn. Critical hits land more easily.
14,black-2-white-2,A frenetic dance to uplift the fighting spirit. It sharply raises the user’s Attack stat.
14,black-white,A frenetic dance to uplift the fighting spirit. It sharply raises the user’s Attack stat.
14,crystal,A dance that increases ATTACK.
14,diamond-pearl,A frenetic dance to uplift the fighting spirit. It sharply raises the user’s Attack stat.
14,emerald,A fighting dance that sharply raises ATTACK.
14,firered-leafgreen,A frenetic dance of fighting. It sharply raises the ATTACK stat.
14,gold-silver,A dance that increases ATTACK.
14,heartgold-soulsilver,A frenetic dance to uplift the fighting spirit. It sharply raises the user’s Attack stat.
14,lets-go-pikachu-lets-go-eevee,A frenetic dance to uplift the fighting spirit. This sharply raises the user’s Attack stat.
14,omega-ruby-alpha-sapphire,A frenetic dance to uplift the fighting spirit. This sharply raises the user’s Attack stat.
14,platinum,A frenetic dance to uplift the fighting spirit. It sharply raises the user’s Attack stat.
14,ruby-sapphire,A fighting dance that sharply raises ATTACK.
14,sun-moon,A frenetic dance to uplift the fighting spirit. This sharply raises the user’s Attack stat.
14,sword-shield,A frenetic dance to uplift the fighting spirit. This sharply raises the user’s Attack stat.
14,ultra-sun-ultra-moon,A frenetic dance to uplift the fighting spirit. This sharply raises the user’s Attack stat.
14,x-y,A frenetic dance to uplift the fighting spirit. This sharply raises the user’s Attack stat.
15,black-2-white-2,The target is cut with a scythe or a claw. It can also be used to cut down thin trees.
15,black-white,The target is cut with a scythe or a claw. It can also be used to cut down thin trees.
15,crystal,"Cuts using claws, scythes, etc."
15,diamond-pearl,The foe is cut with a scythe or a claw. It can also be used to cut down thin trees.
15,emerald,"Cuts the foe with sharp scythes, claws, etc."
15,firered-leafgreen,A basic attack. It can be used to cut down thin trees and grass.
15,gold-silver,"Cuts using claws, scythes, etc."
15,heartgold-soulsilver,The foe is cut with a scythe or a claw. It can also be used to cut down thin trees.
15,lets-go-pikachu-lets-go-eevee,The target is cut with a scythe or claw.
15,omega-ruby-alpha-sapphire,The target is cut with a scythe or claw. This can also be used to cut down thin trees.
15,platinum,The foe is cut with a scythe or a claw. It can also be used to cut down thin trees.
15,ruby-sapphire,"Cuts the foe with sharp scythes, claws, etc."
15,sun-moon,The target is cut with a scythe or claw.
15,sword-shield,The target is cut with a scythe or claw.
15,ultra-sun-ultra-moon,The target is cut with a scythe or claw.
15,x-y,The target is cut with a scythe or claw. This can also be used to cut down thin trees.
16,black-2-white-2,A gust of wind is whipped up by wings and launched at the target to inflict damage.
16,black-white,A gust of wind is whipped up by wings and launched at the target to inflict damage.
16,crystal,Whips up a strong gust of wind.
16,diamond-pearl,A gust of wind is whipped up by wings and launched at the foe to inflict damage.
16,emerald,Strikes the foe with a gust of wind whipped up by wings.
16,firered-leafgreen,Strikes the foe with a gust of wind whipped up by wings.
16,gold-silver,Whips up a strong gust of wind.
16,heartgold-soulsilver,A gust of wind is whipped up by wings and launched at the foe to inflict damage.
16,lets-go-pikachu-lets-go-eevee,A gust of wind is whipped up by wings and launched at the target to inflict damage.
16,omega-ruby-alpha-sapphire,A gust of wind is whipped up by wings and launched at the target to inflict damage.
16,platinum,A gust of wind is whipped up by wings and launched at the foe to inflict damage.
16,ruby-sapphire,Strikes the foe with a gust of wind whipped up by wings.
16,sun-moon,A gust of wind is whipped up by wings and launched at the target to inflict damage.
16,sword-shield,A gust of wind is whipped up by wings and launched at the target to inflict damage.
16,ultra-sun-ultra-moon,A gust of wind is whipped up by wings and launched at the target to inflict damage.
16,x-y,A gust of wind is whipped up by wings and launched at the target to inflict damage.
17,black-2-white-2,"The target is struck with large, imposing wings spread wide to inflict damage."
17,black-white,"The target is struck with large, imposing wings spread wide to inflict damage."
17,crystal,Strikes the target with wings.
17,diamond-pearl,"The foe is struck with large, imposing wings spread wide to inflict damage."
17,emerald,Strikes the foe with wings spread wide.
17,firered-leafgreen,"The foe is struck with large, imposing wings spread wide."
17,gold-silver,Strikes the target with wings.
17,heartgold-soulsilver,"The foe is struck with large, imposing wings spread wide to inflict damage."
17,lets-go-pikachu-lets-go-eevee,"The target is struck with large, imposing wings spread wide to inflict damage."
17,omega-ruby-alpha-sapphire,"The target is struck with large, imposing wings spread wide to inflict damage."
17,platinum,"The foe is struck with large, imposing wings spread wide to inflict damage."
17,ruby-sapphire,Strikes the foe with wings spread wide.
17,sun-moon,"The target is struck with large, imposing wings spread wide to inflict damage."
17,sword-shield,"The target is struck with large, imposing wings spread wide to inflict damage."
17,ultra-sun-ultra-moon,"The target is struck with large, imposing wings spread wide to inflict damage."
17,x-y,"The target is struck with large, imposing wings spread wide to inflict damage."
18,black-2-white-2,"The target is blown away and switched. In the wild, a battle against a single Pokémon ends."
18,black-white,"The target is blown away, to be replaced by another Pokémon in its party. In the wild, the battle ends."
18,crystal,Blows away the foe & ends battle.
18,diamond-pearl,"The foe is blown away, to be replaced by another Pokémon in its party. In the wild, the battle ends."
18,emerald,Blows away the foe with wind and ends the battle.
18,firered-leafgreen,"The foe is made to switch out with an ally. In the wild, the battle ends."
18,gold-silver,Blows away the foe & ends battle.
18,heartgold-soulsilver,"The foe is blown away, to be replaced by another Pokémon in its party. In the wild, the battle ends."
18,lets-go-pikachu-lets-go-eevee,"The target is blown away, and a different Pokémon is dragged out."
18,omega-ruby-alpha-sapphire,"The target is blown away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
18,platinum,"The foe is blown away, to be replaced by another Pokémon in its party. In the wild, the battle ends."
18,ruby-sapphire,Blows away the foe with wind and ends the battle.
18,sun-moon,"The target is blown away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
18,sword-shield,"The target is blown away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
18,ultra-sun-ultra-moon,"The target is blown away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
18,x-y,"The target is blown away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon."
19,black-2-white-2,"The user soars, then strikes its target on the second turn. It can also be used for flying to any familiar town."
19,black-white,"The user soars, then strikes its target on the second turn. It can also be used for flying to any familiar town."
19,crystal,1st turn: Fly 2nd turn: Attack
19,diamond-pearl,"The user soars, then strikes on the second turn. It can also be used for flying to any familiar town."
19,emerald,"Flies up on the first turn, then strikes the next turn."
19,firered-leafgreen,A 2-turn move that hits on the 2nd turn. Use it to fly to any known town.
19,gold-silver,1st turn: Fly 2nd turn: Attack
19,heartgold-soulsilver,"The user soars, then strikes on the second turn. It can also be used for flying to any familiar town."
19,lets-go-pikachu-lets-go-eevee,The user flies up into the sky and then strikes its target on the next turn.
19,omega-ruby-alpha-sapphire,The user soars and then strikes its target on the next turn. This can also be used to fly to any familiar town.
19,platinum,"The user soars, then strikes on the second turn. It can also be used for flying to any familiar town."
19,ruby-sapphire,"Flies up on the first turn, then strikes the next turn."
19,sun-moon,The user soars and then strikes its target on the next turn.
19,sword-shield,The user flies up into the sky and then strikes its target on the next turn.
19,ultra-sun-ultra-moon,The user soars and then strikes its target on the next turn.
19,x-y,The user soars and then strikes its target on the next turn. This can also be used to fly to any familiar town.
20,black-2-white-2,Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.
20,black-white,Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.
20,crystal,Binds the target for 2-5 turns.
20,diamond-pearl,A long body or tentacles are used to bind and squeeze the foe for two to five turns.
20,emerald,Binds and squeezes the foe for 2 to 5 turns.
20,firered-leafgreen,A long body or tentacles are used to bind the foe for two to five turns.
20,gold-silver,Binds the target for 2-5 turns.
20,heartgold-soulsilver,A long body or tentacles are used to bind and squeeze the foe for two to five turns.
20,lets-go-pikachu-lets-go-eevee,Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.
20,omega-ruby-alpha-sapphire,Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.
20,platinum,A long body or tentacles are used to bind and squeeze the foe for two to five turns.
20,ruby-sapphire,Binds and squeezes the foe for 2 to 5 turns.
20,sun-moon,Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.
20,sword-shield,Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.
20,ultra-sun-ultra-moon,Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.
20,x-y,Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.
21,black-2-white-2,"The target is slammed with a long tail, vines, etc., to inflict damage."
21,black-white,"The target is slammed with a long tail, vines, etc., to inflict damage."
21,crystal,"Slams the foe with a tail, vine, etc."
21,diamond-pearl,"The foe is slammed with a long tail, vines, etc., to inflict damage."
21,emerald,"Slams the foe with a long tail, vine, etc."
21,firered-leafgreen,"The foe is struck with a long tail, vines, etc."
21,gold-silver,"Slams the foe with a tail, vine, etc."
21,heartgold-soulsilver,"The foe is slammed with a long tail, vines, etc., to inflict damage."
21,lets-go-pikachu-lets-go-eevee,"The target is slammed with a long tail, vines, or the like to inflict damage."
21,omega-ruby-alpha-sapphire,"The target is slammed with a long tail, vines, or the like to inflict damage."
21,platinum,"The foe is slammed with a long tail, vines, etc., to inflict damage."
21,ruby-sapphire,"Slams the foe with a long tail, vine, etc."
21,sun-moon,"The target is slammed with a long tail, vines, or the like to inflict damage."
21,sword-shield,"The target is slammed with a long tail, vines, or the like to inflict damage."
21,ultra-sun-ultra-moon,"The target is slammed with a long tail, vines, or the like to inflict damage."
21,x-y,"The target is slammed with a long tail, vines, or the like to inflict damage."
22,black-2-white-2,"The target is struck with slender, whiplike vines to inflict damage."
22,black-white,"The target is struck with slender, whiplike vines to inflict damage."
22,crystal,Whips the foe with slender vines.
22,diamond-pearl,"The foe is struck with slender, whiplike vines to inflict damage."
22,emerald,"Strikes the foe with slender, whiplike vines."
22,firered-leafgreen,"The foe is struck with slender, whiplike vines."
22,gold-silver,Whips the foe with slender vines.
22,heartgold-soulsilver,"The foe is struck with slender, whiplike vines to inflict damage."
22,lets-go-pikachu-lets-go-eevee,"The target is struck with slender, whiplike vines to inflict damage."
22,omega-ruby-alpha-sapphire,"The target is struck with slender, whiplike vines to inflict damage."
22,platinum,"The foe is struck with slender, whiplike vines to inflict damage."
22,ruby-sapphire,"Strikes the foe with slender, whiplike vines."
22,sun-moon,"The target is struck with slender, whiplike vines to inflict damage."
22,sword-shield,"The target is struck with slender, whiplike vines to inflict damage."
22,ultra-sun-ultra-moon,"The target is struck with slender, whiplike vines to inflict damage."
22,x-y,"The target is struck with slender, whiplike vines to inflict damage."
23,black-2-white-2,The target is stomped with a big foot. It may also make the target flinch.
23,black-white,The target is stomped with a big foot. It may also make the target flinch.
23,crystal,An attack that may cause flinching.
23,diamond-pearl,The foe is stomped with a big foot. It may also make the target flinch.
23,emerald,Stomps the enemy with a big foot. May cause flinching.
23,firered-leafgreen,The foe is stomped with a big foot. It may make the foe flinch.
23,gold-silver,An attack that may cause flinching.
23,heartgold-soulsilver,The foe is stomped with a big foot. It may also make the target flinch.
23,lets-go-pikachu-lets-go-eevee,The target is stomped with a big foot. This may also make the target flinch.
23,omega-ruby-alpha-sapphire,The target is stomped with a big foot. This may also make the target flinch.
23,platinum,The foe is stomped with a big foot. It may also make the target flinch.
23,ruby-sapphire,Stomps the enemy with a big foot. May cause flinching.
23,sun-moon,The target is stomped with a big foot. This may also make the target flinch.
23,sword-shield,The target is stomped with a big foot. This may also make the target flinch.
23,ultra-sun-ultra-moon,The target is stomped with a big foot. This may also make the target flinch.
23,x-y,The target is stomped with a big foot. This may also make the target flinch.
24,black-2-white-2,The target is quickly kicked twice in succession using both feet.
24,black-white,The target is quickly kicked twice in succession using both feet.
24,crystal,A double kicking attack.
24,diamond-pearl,The foe is quickly kicked twice in succession using both feet.
24,emerald,A double-kicking attack that strikes the foe twice.
24,firered-leafgreen,Two legs are used to quickly kick the foe twice in one turn.
24,gold-silver,A double kicking attack.
24,heartgold-soulsilver,The foe is quickly kicked twice in succession using both feet.
24,lets-go-pikachu-lets-go-eevee,The target is quickly kicked twice in succession using both feet.
24,omega-ruby-alpha-sapphire,The target is quickly kicked twice in succession using both feet.
24,platinum,The foe is quickly kicked twice in succession using both feet.
24,ruby-sapphire,A double-kicking attack that strikes the foe twice.
24,sun-moon,The target is quickly kicked twice in succession using both feet.
24,sword-shield,The target is quickly kicked twice in succession using both feet.
24,ultra-sun-ultra-moon,The target is quickly kicked twice in succession using both feet.
24,x-y,The target is quickly kicked twice in succession using both feet.
25,black-2-white-2,The target is attacked by a kick launched with muscle-packed power.
25,black-white,The target is attacked by a kick launched with muscle-packed power.
25,crystal,A powerful kicking attack.
25,diamond-pearl,The foe is attacked by a kick launched with muscle-packed power.
25,emerald,An extremely powerful kick with intense force.
25,firered-leafgreen,The foe is attacked by a kick fired with muscle-packed power.
25,gold-silver,A powerful kicking attack.
25,heartgold-soulsilver,The foe is attacked by a kick launched with muscle-packed power.
25,lets-go-pikachu-lets-go-eevee,The target is attacked by a kick launched with muscle-packed power.
25,omega-ruby-alpha-sapphire,The target is attacked by a kick launched with muscle-packed power.
25,platinum,The foe is attacked by a kick launched with muscle-packed power.
25,ruby-sapphire,An extremely powerful kick with intense force.
25,sun-moon,The target is attacked by a kick launched with muscle-packed power.
25,sword-shield,The target is attacked by a kick launched with muscle-packed power.
