ndex_id,form_name,version_identifier,audio_path
24,Normal Form,red-blue,https://cdn.pokedb.org/bcd465e2ade96bfe6372f94c0b0cdd764ac5747f3509acbe15debd5017e98d65
24,Normal Form,stadium,https://cdn.pokedb.org/b7bcdefb3371ad981f37bf10a66d7ff7898bfd5f8e8bd45797de5a3a3ed5b4ea
24,Normal Form,x-y,https://cdn.pokedb.org/49eae2c4e0f5d2e12df0d79e4bf89c50f31b86ff90253b53ad4a5d956eb6ec70
25,Gigantamax,sword-shield,https://cdn.pokedb.org/eb167429b143213360c29e95db33930ee820884c583533e004d837ce49470479
25,Normal Form,red-blue,https://cdn.pokedb.org/edb1348e3302defe1ba5872b61b4815b2061a7af41fc02f2f62b1f5de4eb5d0f
25,Normal Form,stadium,https://cdn.pokedb.org/920ab6b8416e17af0cd8b3dd0ec24062a6cfd643e4baedfb1abfbecbf630af32
25,Normal Form,x-y,https://cdn.pokedb.org/9f1b02954c6f25e5d0707f54ec052b206644de87c9d8ad0102e3b3c6bae30245
26,Normal Form,red-blue,https://cdn.pokedb.org/08414ca5263d4e0e8df3eab764b38d3c00761822ec995da095d4f6d5964fc371
26,Normal Form,stadium,https://cdn.pokedb.org/98d547d4074302cc4abed83a063c621e304b5eb359b0c81df5a27a7255662db7
26,Normal Form,x-y,https://cdn.pokedb.org/d680ce823be9ba3e7a2be1ebe0d0cbe7e96d84f5526df3f69f6c56f0d87519f0
27,Normal Form,red-blue,https://cdn.pokedb.org/2a82847eca48eceefeb513dec70ade3dda4169d07eb07ec275157d10b41a755a
27,Normal Form,stadium,https://cdn.pokedb.org/289dddea882bc5ea79bc09d322f4509ea89def0c206658d80d1f6250fdfb1172
27,Normal Form,x-y,https://cdn.pokedb.org/828c5a8382753c9771d994c60758e5f7bd4e62577dd6442edda3952248d0f1ec
28,Normal Form,red-blue,https://cdn.pokedb.org/a5ad4684f8e1c0342345acbbb63529ed38a8a2ef1305f89c04a496fb5c150133
28,Normal Form,stadium,https://cdn.pokedb.org/615534c195d787a188af45e4f582e4926e936da23870bbf237ab5a8c9e600a43
28,Normal Form,x-y,https://cdn.pokedb.org/1ef53cc21adae4dd1fecfbb60612dce4d7ccb30ad0e126a3909cc0886f097f2f
29,Normal Form,red-blue,https://cdn.pokedb.org/f8389eac50a18df253ac8c147deb98977ddd150c60be176de8b21c19a49fba0a
29,Normal Form,stadium,https://cdn.pokedb.org/010c53211264b65ed203140a8009f6ac2aa7949fb78b0918a5533e947dcf1745
29,Normal Form,x-y,https://cdn.pokedb.org/0125ee2fa2ca0c54b4618db6b77ffd8d5881470f9aec5c8b91a316dee0260247
30,Normal Form,red-blue,https://cdn.pokedb.org/9b969b9e81268938a6fe94ef79276c3ac1c170e39ecacc1731ac0764ecdd9c98
30,Normal Form,stadium,https://cdn.pokedb.org/e38f03c4959a630231bf4101b83c282605a623b3f925079608f642346e43ec11
30,Normal Form,x-y,https://cdn.pokedb.org/32ecfb6687eb5856ea6c1d11129a4695de798020aa88cd50b700ee97abc188c9
31,Normal Form,red-blue,https://cdn.pokedb.org/a2ba66716b3b501458d232a9891f84f5fca717c6420efd102d599b4bf4205d42
31,Normal Form,stadium,https://cdn.pokedb.org/29b4bd09cf423d5b4c02f65700a28975a3e883e28b4a8d78a3d47b2a451a03cb
31,Normal Form,x-y,https://cdn.pokedb.org/ca9054faafc3ef57d039e1c7aadf63b902c664219dc624eeb7feb6093eb49dde
32,Normal Form,red-blue,https://cdn.pokedb.org/51cfb31124dfbd5e6404c91a74c5abeef5e8bc266b51a585d95c0fe1213b3f6d
32,Normal Form,stadium,https://cdn.pokedb.org/07c9a41d9d267dc9a9019f1619647a8218bef42064994a71674619fde3a0ae73
32,Normal Form,x-y,https://cdn.pokedb.org/567148c805c1b68fbb3c8cd25eec77fbfdd775272c562af404e23b8dc7c9c8da
33,Normal Form,red-blue,https://cdn.pokedb.org/fd18eedbad62fbd34044a2406d113819cf3aa2a55d8b3c744fd20ec1d479d5b4
33,Normal Form,stadium,https://cdn.pokedb.org/0beb8503e1434dc70132d8ed494bb3e98acc928c6942d51365390454c2b75cc5
33,Normal Form,x-y,https://cdn.pokedb.org/1a34f310e35250f80bb7999defa61551c560528f358b2401d55c40b77704052c
34,Normal Form,red-blue,https://cdn.pokedb.org/4f865126ae877cb77edbafd922aa2fafc60c79fbca86e385e89b79bfe0f2165e
34,Normal Form,stadium,https://cdn.pokedb.org/4d953ce236f28e2b0142224b3b04ad3cfe00174436d62bb81ce3bdd5bdcf154d
34,Normal Form,x-y,https://cdn.pokedb.org/66fb25489aef289fc4cf236ec1407cfe4bb528c474ff0b5751be3facfda87be4
35,Normal Form,red-blue,https://cdn.pokedb.org/c5890c6f7d9bc825157213b6b040ca57f9ff2fa950ad772892b335c7e28fc68b
35,Normal Form,stadium,https://cdn.pokedb.org/ad5b2e83826cfb7270e1995a9106c65c6e6191b0607b4eeff8530aa0661ead34
35,Normal Form,x-y,https://cdn.pokedb.org/5f6ad9bb9d2720d3095d11d74f572b83458991d1314891865e866a59433bc11d
36,Normal Form,red-blue,https://cdn.pokedb.org/cdaba154f09666fa327d6f4f1e1bf6d8f92c3bd020bbc3543d0ec8025830110d
36,Normal Form,stadium,https://cdn.pokedb.org/1d92c130bf333ff4d473bee4eced8656302eeb4d28ab9510612928010891e07d
36,Normal Form,x-y,https://cdn.pokedb.org/72f7e94d310d753ba8950ac82758d032c27893be917c845a2d582ae1fa81b80f
37,Normal Form,red-blue,https://cdn.pokedb.org/c810009920278cdfc6bc7c1c048bd58c86d516e8fe298a946bab0b074c013708
37,Normal Form,stadium,https://cdn.pokedb.org/cdc5a830e988f0fa5de2145476fb9a0a1994da893986c6e40e5db90213d9d5d2
37,Normal Form,x-y,https://cdn.pokedb.org/6fb49b2e14c499cb528079242480823dbcf2152e951d673022f8193206512712
38,Normal Form,red-blue,https://cdn.pokedb.org/e438de440e0edb4ccf5f48803d0af3c5d4d606898f2472a358b41b55efea4316
38,Normal Form,stadium,https://cdn.pokedb.org/b260105ecf16eb486f51d7e051a37888170bb520219fa594ee55c258c054fb26
38,Normal Form,x-y,https://cdn.pokedb.org/4cd6aad1a6878e4fc7ca1dd494763f5f40f4cd51321c94359a26ef19d8099498
39,Normal Form,red-blue,https://cdn.pokedb.org/f6254a4254a28764707e397a7fbf0b684f994d61a4a3814be53aeb1ae0bea280
39,Normal Form,stadium,https://cdn.pokedb.org/a6469d0157ab4abef80cd20c5d615ad7b399b7eb9bf96959fb3ab8a558fabd06
39,Normal Form,x-y,https://cdn.pokedb.org/ab5e009706a4aa4c53a1f9b3d297ff451efffca54e252a437c4b927640e526cd
40,Normal Form,red-blue,https://cdn.pokedb.org/3ba7766646fbe701dc316a1e022dae3195745c91d82cbd8c1cf666ad05fc9d76
40,Normal Form,stadium,https://cdn.pokedb.org/5154ae224a92235fcc5b17101fb3b092308f76e2743bb9ce458f0491c05d9697
40,Normal Form,x-y,https://cdn.pokedb.org/33a95737b11713652941b2495761056657f5a8a541531bcfb18b67882e095f27
41,Normal Form,red-blue,https://cdn.pokedb.org/864fc18033ee67396682ab0a2fde1dd46820322d11560cd36a2edab62575d4d0
41,Normal Form,stadium,https://cdn.pokedb.org/6a08f69b2a7dc37b8e150dfc1f444b32071d7d7be2595859222171bcde7baba7
41,Normal Form,x-y,https://cdn.pokedb.org/2cd210db8517ad4270ee1c6b68ec6dec818bd93f0204195ed3cbe8148380e59b
42,Normal Form,red-blue,https://cdn.pokedb.org/cbdbde504b99f289322336d7a0dd37b3c1700f52094c9f2f657e2e0868bf2619
42,Normal Form,stadium,https://cdn.pokedb.org/246057bdd56262e3ddf20893a1f2b053de4c98eb423ee0b0e2884d2b78aae4b6
42,Normal Form,x-y,https://cdn.pokedb.org/5f9c696cf54940a1c4bacc06da2bb425eae80287f4b5828f5249801519a50b3d
43,Normal Form,red-blue,https://cdn.pokedb.org/2d15261ad9c1e628ee986585e168172ea642fa97ad0381d823f713b7fdd0f735
43,Normal Form,stadium,https://cdn.pokedb.org/e08886a90a008a59d3f0f59ad8a0d042e4b2878d6ae2a461783fd5b7b797542e
43,Normal Form,x-y,https://cdn.pokedb.org/728f0f1fb0865f0297a2055ece6e2415497a280e8dfbf094b46285eb0b166790
44,Normal Form,red-blue,https://cdn.pokedb.org/f4e3ddfdcfc93157e371b82537119cc2b69f5cc59bb6fc7d0c234231e2a5dcea
44,Normal Form,stadium,https://cdn.pokedb.org/e75151584ec448325432710ecd3fab46838c33bedf8462312bb184e696ff4da3
44,Normal Form,x-y,https://cdn.pokedb.org/25d267d1d648a2631be3a8c769b4e3a9faebf5f37a8c8ded182beac652be8fb2
45,Normal Form,red-blue,https://cdn.pokedb.org/e129449a1f0ec6eec1faf13205aa4901cfd8ef8da2fbd946259e865e6d93b643
45,Normal Form,stadium,https://cdn.pokedb.org/437b6708d0494d7a7db403ecdd8bdb62f3fd3456f1d80d030fcf0e7c6075dcd7
45,Normal Form,x-y,https://cdn.pokedb.org/58802a6887d73e212ddd6fd877a2505e26ccb32a331b103cb27a41aa4b4f6868
46,Normal Form,red-blue,https://cdn.pokedb.org/d5c86749a7f9265a4af03f652830e48509be43872271696061bb143b38d3c4b2
46,Normal Form,stadium,https://cdn.pokedb.org/0944e42be64ba01a3473e41c5fe9de942acf6d35ee1c043ec8ff713868c01b18
46,Normal Form,x-y,https://cdn.pokedb.org/a2413106edb7a1f908ec70e3210074ffb3b7a6991e65e566b3bd3e072fd2b3f1
47,Normal Form,red-blue,https://cdn.pokedb.org/92bd12bdc716e6b59c8c538fb9e5e8da20bbc9253be1327635850c14254395fd
47,Normal Form,stadium,https://cdn.pokedb.org/206dcb82d3ebf22173c62156b619393683063a1fd7b185aee10430dd60df5755
47,Normal Form,x-y,https://cdn.pokedb.org/5e2bec76fe1ce1c6c72b6f7ef1fcf8a0a8cce74e65a6dc551ae15a48ea038088
48,Normal Form,red-blue,https://cdn.pokedb.org/6bd39e9ce4217a9ff26f2880fe758beb8bf839827efc7261c812882c27af0ff9
48,Normal Form,stadium,https://cdn.pokedb.org/1d1490e5740d6b7c2f4c2ab419f5e071a394a48af1957e2dcd5111d42a00a8ac
48,Normal Form,x-y,https://cdn.pokedb.org/226546c0bdb614f87b5979e73399e96ae506268024b5932f0888c4010011fc11
49,Normal Form,red-blue,https://cdn.pokedb.org/b935f8a965dba4777b56b3b6645eb1ab33b646ddab32245f02682a47f6726ec1
49,Normal Form,stadium,https://cdn.pokedb.org/1d8b471e670f8e4438ba06658bd9d9aaca446947f7a6d1da291f44b95a7fc9c1
49,Normal Form,x-y,https://cdn.pokedb.org/ccca1ec817288cdddbe413d1f3a98749b59014485a4a01194a8db11fc3bdeeaf
50,Normal Form,red-blue,https://cdn.pokedb.org/657faf2fc8ad52d47a97bc75ed4e48bf7f3d3f46d2f2b177d8865ba88efd8408
50,Normal Form,stadium,https://cdn.pokedb.org/2062c1dfef05162dcf7b46ab18a136595e1c020756808a4a450759c1490fa648
50,Normal Form,x-y,https://cdn.pokedb.org/8b780aae4e28e3190dc576261a45228c75f9e04565a829f3e749b48523ea4f94
51,Normal Form,red-blue,https://cdn.pokedb.org/937e383298ca879b9bd6ca5deb8635220169335f01a5a30a34a579603f650b6e
51,Normal Form,stadium,https://cdn.pokedb.org/8f991f233560f34334e12a5989cdb5419d90313714ebf9ba90da20d9c509d056
51,Normal Form,x-y,https://cdn.pokedb.org/4b01419938dd3a4abb70ecda362c2777629993560d5b1e37c2152ce04df9aadd
52,Gigantamax,sword-shield,https://cdn.pokedb.org/67a1456665475168ad1543e973ee2cfef2975c93be7cf5a331873393a699cf26
52,Normal Form,red-blue,https://cdn.pokedb.org/89c081694b15d0c50dfbb9ec9d23a095aee7a4eacb894d983a9f5b4a21e358ae
52,Normal Form,stadium,https://cdn.pokedb.org/966b6db606dd963e7f4b2b7755f041b59eb0b4eefdffe249bf264aa49d75e54f
52,Normal Form,x-y,https://cdn.pokedb.org/622ac15331bc72808c0c8319e59264face99acac0d969699e3743860c03eba89
53,Normal Form,red-blue,https://cdn.pokedb.org/d5ea2c952c41f6578a487b24e1da49bc6efbeb291a64d49105acb67696ea7319
53,Normal Form,stadium,https://cdn.pokedb.org/5ca078ec8a933147a327b7e30cc8e1933f9d1ec113be5c8277f600cde3548973
53,Normal Form,x-y,https://cdn.pokedb.org/044d765b6a8dab6b66daef92aebbac44effe04645434927261508bdaf7e4cbe3
54,Normal Form,red-blue,https://cdn.pokedb.org/dee3b30d3e971ad88b5ced8244c92079480609bdb05e2de51e8bb495bb1a840f
54,Normal Form,stadium,https://cdn.pokedb.org/709f202da970f8f5012703a525cccb56573b22bc936ac87bf4c09a07a8763109
54,Normal Form,x-y,https://cdn.pokedb.org/73405b7fc1df62c18fea3d78dbdf78f3f6849125720fcfe5c3db233c1b8e2647
55,Normal Form,red-blue,https://cdn.pokedb.org/13acccadb5a06a77bc4b697819760c87b49c22d53f5c7c944683bc2342a2e786
55,Normal Form,stadium,https://cdn.pokedb.org/738b80935a4040587fe2a858482f100b1a7e837548974bfa3fce464363770e93
55,Normal Form,x-y,https://cdn.pokedb.org/454cd2d6d80e23ee4591c28712d9ca9556b59861c5a15e44f3a5a4ba32463ac1
56,Normal Form,red-blue,https://cdn.pokedb.org/624e3262b91e6f997d6a0c6c0ed4cf71bd26c0b16cb2f372a9c085c4001da212
56,Normal Form,stadium,https://cdn.pokedb.org/615e7f2ae389665a3cf4f85756ce3ca682d0c710a3367953a70ef00fd62fc2b3
56,Normal Form,x-y,https://cdn.pokedb.org/96535f27e90551557e86fbfaad8cd523290dee4085736baa3ba79aafb8e7b799
57,Normal Form,red-blue,https://cdn.pokedb.org/2d30977d2470b719700fb47dbda5e0e350d90185e98925a348a959d8663f3c1c
57,Normal Form,stadium,https://cdn.pokedb.org/e04b08a28f972fc3ea503eb7b97f40a5e4f1638bda1f5b0062724dcc77f64224
57,Normal Form,x-y,https://cdn.pokedb.org/5fba72c8b69c9f7ffd1067923d6e5695a92618706ef7b82e0d1b4c39aad352e5
58,Normal Form,red-blue,https://cdn.pokedb.org/9534a389329ea7496f3034404f0b3ca16d9d20ccdac1dce78552fc53fec8746c
58,Normal Form,stadium,https://cdn.pokedb.org/7a31e7211e8236bbd4ad334fc9e3631700d37711581fff596dffcaf5897fee10
58,Normal Form,x-y,https://cdn.pokedb.org/852560fd3ef7bb2d05bb1764150ed717dda8dc2eda0889f31e52a13c127e1165
59,Normal Form,red-blue,https://cdn.pokedb.org/1416045742ccf43a5579ac8947801b56d27e3261ff1c5bca5d3c431b1404b8aa
59,Normal Form,stadium,https://cdn.pokedb.org/6ac4f2681d7771d8707b617066d08a4f7d24a7e077231168a2fb6593ee8a322a
59,Normal Form,x-y,https://cdn.pokedb.org/b6111e3641be2b8959ec9276041f914b57f822745770405ee20e94073b3e3ae2
60,Normal Form,red-blue,https://cdn.pokedb.org/951f43d1fda24b40ec1219f3ca9bc8adb80a656dbdad9104c6d5da054a16c654
60,Normal Form,stadium,https://cdn.pokedb.org/4e8954f03e35a9dead48c548201eb29b026ebdac7f36206319981fcdc87f050c
60,Normal Form,x-y,https://cdn.pokedb.org/ccf3a034010fce69992ee319bc87d296797b2cdf618e3d75058c5a359e30c239
61,Normal Form,red-blue,https://cdn.pokedb.org/dc0b83d7b1b83c7b86aca0b2b826b4044aa20ce77ac7e95f133d51ac6d37c80a
61,Normal Form,stadium,https://cdn.pokedb.org/1cefd88e9714f0c2d1ba3f52c53c56ac9a217867ee9ffffba1c46b93f53e4543
61,Normal Form,x-y,https://cdn.pokedb.org/898eb53eee1d3ce7b07dc3edf938545e55536d14773786a38b5b091ab3b1e1da
62,Normal Form,red-blue,https://cdn.pokedb.org/9f86d605174af23acd708f03cbe511bc4bfd3682f12fc30d5cf52d45649b71b5
62,Normal Form,stadium,https://cdn.pokedb.org/d862def71e408954530c9a8eb17987759983de97016a35253f223aae9f414c8d
62,Normal Form,x-y,https://cdn.pokedb.org/1493c6c24edfb1eaf73e6b99290f3b3923a5e1df77c9571c5b891e906605fa31
63,Normal Form,red-blue,https://cdn.pokedb.org/d4dc721032288371dff288eada45e1a7f6704ad48ae3ac0fa040adc9d2388af0
63,Normal Form,stadium,https://cdn.pokedb.org/b7b79209a2b2231d187c074c2c7897f97c6ae40d0a7020ea96adca0b7874a0aa
63,Normal Form,x-y,https://cdn.pokedb.org/c63cb3271e3d4aaf7aaa517a00ded01a732e8aa1e83a3a7a47e44b0f5b0d3bc7
64,Normal Form,red-blue,https://cdn.pokedb.org/42c0eb02422cae0232d3b0f74650946d8db40c4a284bb4fa349cb7790b5a4e17
64,Normal Form,stadium,https://cdn.pokedb.org/b383f1ac0e135899b3c56f8bb9f8548e7b666ab221e2f9fc26e247f28a30d161
64,Normal Form,x-y,https://cdn.pokedb.org/6b1d65dbe92fd1bfca6778333df3f4c5ef73c1ed5eefb93ab8767b32fdc07e05
